| People and Society | MACEDONIA |
| --- | --- |
| Population: | 2,100,025 (July 2016 est.) |
| Nationality: | noun: Macedonian(s) |
| Nationality: | adjective: Macedonian |
| Ethnic groups: | Macedonian 64.2%, Albanian 25.2%, Turkish 3.9%, Roma (Gypsy) 2.7%, Serb 1.8%, other 2.2% (2002 est.) |
| Languages: | Macedonian (official) 66.5%, Albanian (official) 25.1%, Turkish 3.5%, Roma 1.9%, Serbian 1.2%, other 1.8% (2002 est.) |
| Religions: | Macedonian Orthodox 64.8%, Muslim 33.3%, other Christian 0.4%, other and unspecified 1.5% (2002 est.) |
| Age structure: | 0-14 years: 17.27% (male 187,752/female 174,935) |
| Age structure: | 15-24 years: 13.69% (male 148,340/female 139,195) |
| Age structure: | 25-54 years: 43.65% (male 465,622/female 451,028) |
| Age structure: | 55-64 years: 12.3% (male 126,548/female 131,749) |
| Age structure: | 65 years and over: 13.09% (male 117,787/female 157,069) (2016 est.) |
| Dependency ratios: | total dependency ratio: 41.4% |
| Dependency ratios: | youth dependency ratio: 24% |
| Dependency ratios: | elderly dependency ratio: 17.4% |
| Dependency ratios: | potential support ratio: 5.7% (2015 est.) |
| Median age: | total: 37.5 years |
| Median age: | male: 36.4 years |
| Median age: | female: 38.6 years (2016 est.) |
| Population growth rate: | 0.18% (2016 est.) |
| Birth rate: | 11.5 births/1,000 population (2016 est.) |
| Death rate: | 9.1 deaths/1,000 population (2016 est.) |
| Net migration rate: | -0.5 migrant(s)/1,000 population (2016 est.) |
| Population distribution: | a fairly even distribution throughout most of the country, with urban areas attracting larger and denser populations |
| Urbanization: | urban population: 57.1% of total population (2015) |
| Urbanization: | rate of urbanization: 0.11% annual rate of change (2010-15 est.) |
| Major urban areas - population: | SKOPJE (capital) 503,000 (2015) |
| Sex ratio: | at birth: 1.08 male(s)/female |
| Sex ratio: | 0-14 years: 1.07 male(s)/female |
| Sex ratio: | 15-24 years: 1.07 male(s)/female |
| Sex ratio: | 25-54 years: 1.03 male(s)/female |
| Sex ratio: | 55-64 years: 0.96 male(s)/female |
| Sex ratio: | 65 years and over: 0.75 male(s)/female |
| Sex ratio: | total population: 0.99 male(s)/female (2016 est.) |
| Mother's mean age at first birth: | 26.6 (2013 est.) |
| Maternal mortality rate: | 8 deaths/100,000 live births (2015 est.) |
| Infant mortality rate: | total: 7.5 deaths/1,000 live births |
| Infant mortality rate: | male: 7.8 deaths/1,000 live births |
| Infant mortality rate: | female: 7.2 deaths/1,000 live births (2016 est.) |
| Life expectancy at birth: | total population: 76.2 years |
| Life expectancy at birth: | male: 73.6 years |
| Life expectancy at birth: | female: 79 years (2016 est.) |
| Total fertility rate: | 1.6 children born/woman (2016 est.) |
| Contraceptive prevalence rate: | 40.2% (2011) |
| Health expenditures: | 6.5% of GDP (2014) |
| Physicians density: | 2.62 physicians/1,000 population (2009) |
| Hospital bed density: | 4.5 beds/1,000 population (2011) |
| Drinking water source: | improved: |
| Drinking water source: | urban: 99.8% of population |
| Drinking water source: | rural: 98.9% of population |
| Drinking water source: | total: 99.4% of population |
| unimproved: | urban: 0.2% of population |
| unimproved: | rural: 1.1% of population |
| unimproved: | total: 0.6% of population (2015 est.) |
| Sanitation facility access: | improved: |
| Sanitation facility access: | urban: 97.2% of population |
| Sanitation facility access: | rural: 82.6% of population |
| Sanitation facility access: | total: 90.9% of population |
| unimproved: | urban: 2.8% of population |
| unimproved: | rural: 17.4% of population |
| unimproved: | total: 9.1% of population (2015 est.) |
| HIV/AIDS - adult prevalence rate: | 0.01% (2013 est.) |
| HIV/AIDS - people living with HIV/AIDS: | 200 (2013 est.) |
| HIV/AIDS - deaths: | fewer than 100 (2013 est.) |
| Obesity - adult prevalence rate: | 20.8% (2014) |
| Children under the age of 5 years underweight: | 1.3% (2011) |
| Literacy: | definition: age 15 and over can read and write |
| Literacy: | total population: 97.8% |
| Literacy: | male: 98.8% |
| Literacy: | female: 96.8% (2015 est.) |
| School life expectancy (primary to tertiary education): | total: 13 years |
| School life expectancy (primary to tertiary education): | male: 13 years |
| School life expectancy (primary to tertiary education): | female: 13 years (2012) |
| Child labor - children ages 5-14: | total number: 16,782 |
| Child labor - children ages 5-14: | percentage: 6% (2005 est.) |
| Unemployment, youth ages 15-24: | total: 53.1% |
| Unemployment, youth ages 15-24: | male: 52% |
| Unemployment, youth ages 15-24: | female: 55% (2014 est.) |
