| People and Society | Tunisia |
| --- | --- |
| Population: | 11,516,189 (July 2018 est.) |
| Nationality: | noun: Tunisian(s) |
| Nationality: | adjective: Tunisian |
| Ethnic groups: | Arab 98%, European 1%, Jewish and other 1% |
| Languages: | Arabic (official, one of the languages of commerce), French (commerce), Berber (Tamazight) |
| Languages: | note: despite having no official status, French plays a major role in the country and is spoken by about two thirds of the population |
| Religions: | Muslim (official; Sunni) 99.1%, other (includes Christian, Jewish, Shia Muslim, and Baha'i) 1% |
| Religions: | MENA religious affiliation: [Adobe] PDF |
| Demographic profile: | The Tunisian Government took steps in the 1960s to decrease population growth and gender inequality in order to improve socioeconomic development. Through its introduction of a national family planning program (the first in Africa) and by raising the legal age of marriage, Tunisia rapidly reduced its total fertility rate from about 7 children per woman in 1960 to 2 today. Unlike many of its North African and Middle Eastern neighbors, Tunisia will soon be shifting from being a youth-bulge country to having a transitional age structure, characterized by lower fertility and mortality rates, a slower population growth rate, a rising median age, and a longer average life expectancy. |
| Demographic profile: | Currently, the sizable young working-age population is straining Tunisiaâ€™s labor market and education and health care systems. Persistent high unemployment among Tunisiaâ€™s growing workforce, particularly its increasing number of university graduates and women, was a key factor in the uprisings that led to the overthrow of the BEN ALI regime in 2011. In the near term, Tunisiaâ€™s large number of jobless young, working-age adults; deficiencies in primary and secondary education; and the ongoing lack of job creation and skills mismatches could contribute to future unrest. In the longer term, a sustained low fertility rate will shrink future youth cohorts and alleviate demographic pressure on Tunisiaâ€™s labor market, but employment and education hurdles will still need to be addressed. |
| Demographic profile: | Tunisia has a history of labor emigration. In the 1960s, workers migrated to European countries to escape poor economic conditions and to fill Europeâ€™s need for low-skilled labor in construction and manufacturing. The Tunisian Government signed bilateral labor agreements with France, Germany, Belgium, Hungary, and the Netherlands, with the expectation that Tunisian workers would eventually return home. At the same time, growing numbers of Tunisians headed to Libya, often illegally, to work in the expanding oil industry. In the mid-1970s, with European countries beginning to restrict immigration and Tunisian-Libyan tensions brewing, Tunisian economic migrants turned toward the Gulf countries. After mass expulsions from Libya in 1983, Tunisian migrants increasingly sought family reunification in Europe or moved illegally to southern Europe, while Tunisia itself developed into a transit point for sub-Saharan migrants heading to Europe. |
| Demographic profile: | Following the ousting of BEN ALI in 2011, the illegal migration of unemployed Tunisian youths to Italy and onward to France soared into the tens of thousands. Thousands more Tunisian and foreign workers escaping civil war in Libya flooded into Tunisia and joined the exodus. A readmission agreement signed by Italy and Tunisia in April 2011 helped stem the outflow, leaving Tunisia and international organizations to repatriate, resettle, or accommodate some 1 million Libyans and third-country nationals. |
| Age structure: | 0-14 years: 25.25% (male 1,502,655 /female 1,405,310) |
| Age structure: | 15-24 years: 13.53% (male 787,178 /female 770,929) |
| Age structure: | 25-54 years: 43.25% (male 2,426,011 /female 2,554,253) |
| Age structure: | 55-64 years: 9.75% (male 560,233 /female 562,436) |
| Age structure: | 65 years and over: 8.22% (male 448,784 /female 498,400) (2018 est.) |
| Dependency ratios: | total dependency ratio: 45.6 (2015 est.) |
| Dependency ratios: | youth dependency ratio: 34.5 (2015 est.) |
| Dependency ratios: | elderly dependency ratio: 11.1 (2015 est.) |
