| People and Society | Tunisia |
| --- | --- |
| Nationality: | noun: Tunisian(s) |
| Nationality: | adjective: Tunisian |
| Ethnic groups: | Arab 98%, European 1%, Jewish and other 1% |
| Languages: | Arabic (official, one of the languages of commerce), French (commerce), Berber (Tamazight) |
| Religions: | Muslim (Islam - official) 98%, Christian 1%, Jewish and other 1% |
| Population: | 10,835,873 (July 2013 est.) |
| Age structure: | 0-14 years: 23% (male 1,286,781/female 1,206,678) |
| Age structure: | 15-24 years: 16.5% (male 899,534/female 890,909) |
| Age structure: | 25-54 years: 44.7% (male 2,356,154/female 2,484,023) |
| Age structure: | 55-64 years: 8.1% (male 442,983/female 429,767) |
| Age structure: | 65 years and over: 7.7% (male 411,590/female 427,454) (2013 est.) |
| population pyramid: | Dependency ratios: |
| population pyramid: | total dependency ratio: 43.6 % |
| population pyramid: | youth dependency ratio: 33.3 % |
| population pyramid: | elderly dependency ratio: 10.3 % |
| population pyramid: | potential support ratio: 9.7 (2013) |
| Median age: | total: 31 years |
| Median age: | male: 30.5 years |
| Median age: | female: 31.3 years (2013 est.) |
| Population growth rate: | 0.95% (2013 est.) |
| Birth rate: | 17.12 births/1,000 population (2013 est.) |
| Death rate: | 5.9 deaths/1,000 population (2013 est.) |
| Net migration rate: | -1.76 migrant(s)/1,000 population (2013 est.) |
| Urbanization: | urban population: 66.3% of total population (2011) |
| Urbanization: | rate of urbanization: 1.34% annual rate of change (2010-15 est.) |
| Major urban areas - population: | TUNIS (capital) 759,000 (2009) |
| Sex ratio: | at birth: 1.07 male(s)/female |
| Sex ratio: | 0-14 years: 1.07 male(s)/female |
| Sex ratio: | 15-24 years: 1.01 male(s)/female |
| Sex ratio: | 25-54 years: 0.95 male(s)/female |
| Sex ratio: | 55-64 years: 1.03 male(s)/female |
| Sex ratio: | 65 years and over: 0.96 male(s)/female |
| Sex ratio: | total population: 0.99 male(s)/female (2013 est.) |
| Maternal mortality rate: | 56 deaths/100,000 live births (2010) |
| Infant mortality rate: | total: 24.07 deaths/1,000 live births |
| Infant mortality rate: | male: 27.59 deaths/1,000 live births |
| Infant mortality rate: | female: 20.3 deaths/1,000 live births (2013 est.) |
| Life expectancy at birth: | total population: 75.46 years |
| Life expectancy at birth: | male: 73.4 years |
| Life expectancy at birth: | female: 77.66 years (2013 est.) |
| Total fertility rate: | 2.01 children born/woman (2013 est.) |
| Contraceptive prevalence rate: | 63% (2012) |
| Health expenditures: | 6.2% of GDP (2011) |
| Physicians density: | 1.22 physicians/1,000 population (2010) |
| Hospital bed density: | 2.1 beds/1,000 population (2010) |
| Drinking water source: | improved: |
| Drinking water source: | urban: 99% of population |
| Drinking water source: | rural: 84% of population |
| Drinking water source: | total: 94% of population |
| unimproved: | urban: 1% of population |
| unimproved: | rural: 16% of population |
| unimproved: | total: 6% of population (2008 est.) |
| Sanitation facility access: | improved: |
| Sanitation facility access: | urban: 96% of population |
| Sanitation facility access: | rural: 64% of population |
| Sanitation facility access: | total: 85% of population |
| unimproved: | urban: 4% of population |
| unimproved: | rural: 36% of population |
| unimproved: | total: 15% of population (2008 est.) |
| HIV/AIDS - adult prevalence rate: | less than 0.1% (2009 est.) |
| HIV/AIDS - people living with HIV/AIDS: | 2,400 (2009 est.) |
| HIV/AIDS - deaths: | fewer than 100 (2009 est.) |
| Obesity - adult prevalence rate: | 22.3% (2008) |
| Children under the age of 5 years underweight: | 3.3% (2006) |
| Education expenditures: | 6.2% of GDP (2010) |
| Literacy: | definition: age 15 and over can read and write |
| Literacy: | total population: 79.1% |
| Literacy: | male: 87.4% |
| Literacy: | female: 71.1% (2010 est.) |
| School life expectancy (primary to tertiary education): | total: 15 years |
| School life expectancy (primary to tertiary education): | male: 14 years |
| School life expectancy (primary to tertiary education): | female: 15 years (2011) |
| Unemployment, youth ages 15-24: | total: 30.7% |
| Unemployment, youth ages 15-24: | male: 31.4% |
| Unemployment, youth ages 15-24: | female: 29.3% (2005) |
