| People and Society | Tunisia |
| --- | --- |
| Nationality: | noun: Tunisian(s) |
| Nationality: | adjective: Tunisian |
| Ethnic groups: | Arab 98%, European 1%, Jewish and other 1% |
| Languages: | Arabic (official, one of the languages of commerce), French (commerce) |
| Religions: | Muslim 98%, Christian 1%, Jewish and other 1% |
| Population: | 10,629,186 (July 2011 est.) |
| Age structure: | 0-14 years: 23.2% (male 1,274,348/female 1,193,131) |
| Age structure: | 15-64 years: 69.3% (male 3,638,014/female 3,728,294) |
| Age structure: | 65 years and over: 7.5% (male 390,055/female 405,344) (2011 est.) |
| Median age: | total: 30 years |
| Median age: | male: 29.6 years |
| Median age: | female: 30.4 years (2011 est.) |
| Population growth rate: | 0.978% (2011 est.) |
| Birth rate: | 17.4 births/1,000 population (2011 est.) |
| Death rate: | 5.83 deaths/1,000 population (July 2011 est.) |
| Net migration rate: | -1.79 migrant(s)/1,000 population (2011 est.) |
| Urbanization: | urban population: 67% of total population (2010) |
| Urbanization: | rate of urbanization: 1.5% annual rate of change (2010-15 est.) |
| Major cities - population: | TUNIS (capital) 759,000 (2009) |
| Sex ratio: | at birth: 1.07 male(s)/female |
| Sex ratio: | under 15 years: 1.07 male(s)/female |
| Sex ratio: | 15-64 years: 1.01 male(s)/female |
| Sex ratio: | 65 years and over: 0.86 male(s)/female |
| Sex ratio: | total population: 1.01 male(s)/female (2011 est.) |
| Maternal mortality rate: | 60 deaths/100,000 live births (2008) |
| Infant mortality rate: | total: 25.92 deaths/1,000 live births |
| Infant mortality rate: | male: 29.6 deaths/1,000 live births |
| Infant mortality rate: | female: 21.97 deaths/1,000 live births (2011 est.) |
| Life expectancy at birth: | total population: 75.01 years |
| Life expectancy at birth: | male: 73 years |
| Life expectancy at birth: | female: 77.17 years (2011 est.) |
| Total fertility rate: | 2.03 children born/woman (2011 est.) |
| Health expenditures: | 6.2% of GDP (2009) |
| Physicians density: | 1.19 physicians/1,000 population (2009) |
| Hospital bed density: | 2.1 beds/1,000 population (2009) |
| Drinking water source: | improved: |
| Drinking water source: | urban: 99% of population |
| Drinking water source: | rural: 84% of population |
| Drinking water source: | total: 94% of population |
| unimproved: | urban: 1% of population |
| unimproved: | rural: 16% of population |
| unimproved: | total: 6% of population (2008) |
| Sanitation facility access: | improved: |
| Sanitation facility access: | urban: 96% of population |
| Sanitation facility access: | rural: 64% of population |
| Sanitation facility access: | total: 85% of population |
| unimproved: | urban: 4% of population |
| unimproved: | rural: 36% of population |
| unimproved: | total: 15% of population (2008) |
| HIV/AIDS - adult prevalence rate: | less than 0.1% (2009 est.) |
| HIV/AIDS - people living with HIV/AIDS: | 2,400 (2009 est.) |
| HIV/AIDS - deaths: | fewer than 100 (2009 est.) |
| Children under the age of 5 years underweight: | 3.3% (2006) |
| Education expenditures: | 7.1% of GDP (2007) |
| Literacy: | definition: age 15 and over can read and write |
| Literacy: | total population: 74.3% |
| Literacy: | male: 83.4% |
| Literacy: | female: 65.3% (2004 census) |
| School life expectancy (primary to tertiary education): | total: 15 years |
| School life expectancy (primary to tertiary education): | male: 14 years |
| School life expectancy (primary to tertiary education): | female: 15 years (2008) |
| Unemployment, youth ages 15-24: | total: 30.7% |
| Unemployment, youth ages 15-24: | male: 31.4% |
| Unemployment, youth ages 15-24: | female: 29.3% (2005) |
