| People and Society | TUNISIA |
| --- | --- |
| Population: | 11,403,800 (July 2017 est.) |
| Nationality: | noun: Tunisian(s) |
| Nationality: | adjective: Tunisian |
| Ethnic groups: | Arab 98%, European 1%, Jewish and other 1% |
| Languages: | Arabic (official, one of the languages of commerce), French (commerce), Berber (Tamazight) |
| Languages: | note: despite having no official status, French plays a major role in the country and is spoken by about two-thirds of the population |
| Religions: | Muslim (official; Sunni) 99.1%, other (includes Christian, Jewish, Shia Muslim, and Baha'i) 1% |
| Demographic profile: | The Tunisian Government took steps in the 1960s to decrease population growth and gender inequality in order to improve socioeconomic development. Through its introduction of a national family planning program (the first in Africa) and by raising the legal age of marriage, Tunisia rapidly reduced its total fertility rate from about 7 children per woman in 1960 to 2 today. Unlike many of its North African and Middle Eastern neighbors, Tunisia will soon be shifting from being a youth-bulge country to having a transitional age structure, characterized by lower fertility and mortality rates, a slower population growth rate, a rising median age, and a longer average life expectancy. |
| Demographic profile: | Currently, the sizable young working-age population is straining Tunisia’s labor market and education and health care systems. Persistent high unemployment among Tunisia’s growing workforce, particularly its increasing number of university graduates and women, was a key factor in the uprisings that led to the overthrow of the BEN ALI regime in 2011. In the near term, Tunisia’s large number of jobless young, working-age adults; deficiencies in primary and secondary education; and the ongoing lack of job creation and skills mismatches could contribute to future unrest. In the longer term, a sustained low fertility rate will shrink future youth cohorts and alleviate demographic pressure on Tunisia’s labor market, but employment and education hurdles will still need to be addressed. |
| Demographic profile: | Tunisia has a history of labor emigration. In the 1960s, workers migrated to European countries to escape poor economic conditions and to fill Europe’s need for low-skilled labor in construction and manufacturing. The Tunisian Government signed bilateral labor agreements with France, Germany, Belgium, Hungary, and the Netherlands, with the expectation that Tunisian workers would eventually return home. At the same time, growing numbers of Tunisians headed to Libya, often illegally, to work in the expanding oil industry. In the mid-1970s, with European countries beginning to restrict immigration and Tunisian-Libyan tensions brewing, Tunisian economic migrants turned toward the Gulf countries. After mass expulsions from Libya in 1983, Tunisian migrants increasingly sought family reunification in Europe or moved illegally to southern Europe, while Tunisia itself developed into a transit point for sub-Saharan migrants heading to Europe. |
| Demographic profile: | Following the ousting of BEN ALI in 2011, the illegal migration of unemployed Tunisian youths to Italy and onward to France soared into the tens of thousands. Thousands more Tunisian and foreign workers escaping civil war in Libya flooded into Tunisia and joined the exodus. A readmission agreement signed by Italy and Tunisia in April 2011 helped stem the outflow, leaving Tunisia and international organizations to repatriate, resettle, or accommodate some 1 million Libyans and third-country nationals. |
| Age structure: | 0-14 years: 25.15% (male 1,482,303/female 1,385,407) |
| Age structure: | 15-24 years: 13.99% (male 805,376/female 790,119) |
| Age structure: | 25-54 years: 43.38% (male 2,410,724/female 2,536,015) |
| Age structure: | 55-64 years: 9.54% (male 543,865/female 543,642) |
| Age structure: | 65 years and over: 7.95% (male 429,681/female 476,668) (2017 est.) |
| Dependency ratios: | total dependency ratio: 45.6 |
| Dependency ratios: | youth dependency ratio: 34.5 |
| Dependency ratios: | elderly dependency ratio: 11.1 |
| Dependency ratios: | potential support ratio: 9 (2015 est.) |
| Median age: | total: 31.6 years |
| Median age: | male: 31 years |
| Median age: | female: 32.2 years (2017 est.) |
| Population growth rate: | 1.01% (2017 est.) |
| Birth rate: | 18.2 births/1,000 population (2017 est.) |
| Death rate: | 6.3 deaths/1,000 population (2017 est.) |
| Net migration rate: | -1.7 migrant(s)/1,000 population (2017 est.) |
| Population distribution: | the overwhelming majority of the population is located in the northern half of the country; the south remains largely underpopulated |
| Urbanization: | urban population: 67.3% of total population (2017) |
| Urbanization: | rate of urbanization: 1.28% annual rate of change (2015-20 est.) |
| Major urban areas - population: | TUNIS (capital) 1.993 million (2015) |
| Sex ratio: | at birth: 1.07 male(s)/female |
| Sex ratio: | 0-14 years: 1.06 male(s)/female |
| Sex ratio: | 15-24 years: 1.01 male(s)/female |
| Sex ratio: | 25-54 years: 0.94 male(s)/female |
| Sex ratio: | 55-64 years: 1.03 male(s)/female |
| Sex ratio: | 65 years and over: 0.97 male(s)/female |
| Sex ratio: | total population: 0.99 male(s)/female (2016 est.) |
| Maternal mortality rate: | 62 deaths/100,000 live births (2015 est.) |
| Infant mortality rate: | total: 12.1 deaths/1,000 live births |
| Infant mortality rate: | male: 13.3 deaths/1,000 live births |
| Infant mortality rate: | female: 10.8 deaths/1,000 live births (2017 est.) |
| Life expectancy at birth: | total population: 75.7 years |
| Life expectancy at birth: | male: 74.1 years |
| Life expectancy at birth: | female: 77.4 years (2017 est.) |
| Total fertility rate: | 2.23 children born/woman (2017 est.) |
| Contraceptive prevalence rate: | 62.5% (2011/12) |
| Health expenditures: | 7% of GDP (2014) |
| Physicians density: | 1.65 physicians/1,000 population (2014) |
