| People and Society | Saint Helena, Ascension, and Tristan da Cunha |
| --- | --- |
| Nationality: | noun: Saint Helenian(s) |
| Nationality: | adjective: Saint Helenian |
| Nationality: | note: referred to locally as "Saints" |
| Ethnic groups: | African descent 50%, white 25%, Chinese 25% |
| Languages: | English |
| Religions: | Protestant (Anglican (majority), Baptist, Seventh-Day Adventist), Roman Catholic |
| Population: | 7,754 (July 2013 est.) |
| Population: | note: only Saint Helena, Ascension, and Tristan da Cunha islands are inhabited |
| Age structure: | 0-14 years: 17.2% (male 679/female 653) |
| Age structure: | 15-24 years: 11.7% (male 464/female 447) |
| Age structure: | 25-54 years: 45.6% (male 1,750/female 1,787) |
| Age structure: | 55-64 years: 12.2% (male 506/female 443) |
| Age structure: | 65 years and over: 13.2% (male 520/female 505) (2013 est.) |
| population pyramid: | Median age: |
| population pyramid: | total: 40 years |
| population pyramid: | male: 40 years |
| population pyramid: | female: 39.9 years (2013 est.) |
| Population growth rate: | 0.3% (2013 est.) |
| Birth rate: | 10.19 births/1,000 population (2013 est.) |
| Death rate: | 7.22 deaths/1,000 population (2013 est.) |
| Net migration rate: | 0 migrant(s)/1,000 population (2013 est.) |
| Urbanization: | urban population: 39.5% of total population (2011) |
| Urbanization: | rate of urbanization: -0.87% annual rate of change (2010-15 est.) |
| Major urban areas - population: | JAMESTOWN (capital) 1,000 (2009) |
| Sex ratio: | at birth: 1.05 male(s)/female |
| Sex ratio: | 0-14 years: 1.04 male(s)/female |
| Sex ratio: | 15-24 years: 1.04 male(s)/female |
| Sex ratio: | 25-54 years: 0.98 male(s)/female |
| Sex ratio: | 55-64 years: 1.17 male(s)/female |
| Sex ratio: | 65 years and over: 1.01 male(s)/female |
| Sex ratio: | total population: 1.02 male(s)/female (2013 est.) |
| Infant mortality rate: | total: 15.25 deaths/1,000 live births |
| Infant mortality rate: | male: 17.97 deaths/1,000 live births |
| Infant mortality rate: | female: 12.38 deaths/1,000 live births (2013 est.) |
| Life expectancy at birth: | total population: 79.06 years |
| Life expectancy at birth: | male: 76.13 years |
| Life expectancy at birth: | female: 82.14 years (2013 est.) |
| Total fertility rate: | 1.57 children born/woman (2013 est.) |
| HIV/AIDS - adult prevalence rate: | NA |
| HIV/AIDS - people living with HIV/AIDS: | NA |
| HIV/AIDS - deaths: | NA |
| Education expenditures: | NA |
| Literacy: | definition: age 20 and over can read and write |
| Literacy: | total population: 97% |
| Literacy: | male: 97% |
| Literacy: | female: 98% (1987 est.) |
