| People and Society | PALAU |
| --- | --- |
| Population: | 21,431 (July 2017 est.) |
| Nationality: | noun: Palauan(s) |
| Nationality: | adjective: Palauan |
| Ethnic groups: | Palauan (Micronesian with Malayan and Melanesian admixtures) 73%, Carolinian 2%, Asian 21.7%, caucasian 1.2%, other 2.1% (2015 est.) |
| Languages: | Palauan (official on most islands) 65.2%, other Micronesian 1.9%, English (official) 19.1%, Filipino 9.9%, Chinese 1.2%, other 2.8% |
| Languages: | note: Sonsoralese is official in Sonsoral; Tobian is official in Tobi; Angaur and Japanese are official in Angaur (2015 est.) |
| Religions: | Roman Catholic 45.3%, Protestant 34.9% (includes Evangelical 26.4%, Seventh Day Adventist 6.9%, Assembly of God .9%, Baptist .7%), Modekngei 5.7% (indigenous to Palau), Muslim 3%, Mormon 1.5%, other 9.7% (2015 est.) |
| Age structure: | 0-14 years: 19.69% (male 2,177/female 2,043) |
| Age structure: | 15-24 years: 16.68% (male 1,788/female 1,787) |
| Age structure: | 25-54 years: 45.89% (male 6,005/female 3,830) |
| Age structure: | 55-64 years: 9.65% (male 731/female 1,338) |
| Age structure: | 65 years and over: 8.08% (male 446/female 1,286) (2017 est.) |
| Median age: | total: 33.4 years |
| Median age: | male: 32.7 years |
| Median age: | female: 35 years (2017 est.) |
| Population growth rate: | 0.39% (2017 est.) |
| Birth rate: | 11.3 births/1,000 population (2017 est.) |
| Death rate: | 8.1 deaths/1,000 population (2017 est.) |
| Net migration rate: | 0.8 migrant(s)/1,000 population (2017 est.) |
| Population distribution: | most of the population is located on the southern end of the main island of Babelthuap |
| Urbanization: | urban population: 88.2% of total population (2017) |
| Urbanization: | rate of urbanization: 1.6% annual rate of change (2015-20 est.) |
| Major urban areas - population: | MELEKEOK (capital) 299 (2012) |
| Sex ratio: | at birth: 1.06 male(s)/female |
| Sex ratio: | 0-14 years: 1.07 male(s)/female |
| Sex ratio: | 15-24 years: 1 male(s)/female |
| Sex ratio: | 25-54 years: 1.57 male(s)/female |
| Sex ratio: | 55-64 years: 0.54 male(s)/female |
| Sex ratio: | 65 years and over: 0.37 male(s)/female |
| Sex ratio: | total population: 1.09 male(s)/female (2016 est.) |
| Infant mortality rate: | total: 10.6 deaths/1,000 live births |
| Infant mortality rate: | male: 12.1 deaths/1,000 live births |
| Infant mortality rate: | female: 9 deaths/1,000 live births (2017 est.) |
| Life expectancy at birth: | total population: 73.4 years |
| Life expectancy at birth: | male: 70.2 years |
| Life expectancy at birth: | female: 76.8 years (2017 est.) |
| Total fertility rate: | 1.71 children born/woman (2017 est.) |
| Health expenditures: | 9% of GDP (2014) |
| Physicians density: | 1.42 physicians/1,000 population (2010) |
| Hospital bed density: | 4.8 beds/1,000 population (2010) |
| Drinking water source: | improved: |
| Drinking water source: | urban: 97% of population |
| Drinking water source: | rural: 86% of population |
| Drinking water source: | total: 95.3% of population |
| unimproved: | urban: 3% of population |
| unimproved: | rural: 14% of population |
| unimproved: | total: 4.7% of population (2011 est.) |
| Sanitation facility access: | improved: |
| Sanitation facility access: | urban: 100% of population |
| Sanitation facility access: | rural: 100% of population |
| Sanitation facility access: | total: 100% of population |
| unimproved: | urban: 0% of population |
| unimproved: | rural: 0% of population |
| unimproved: | total: 0% of population (2015 est.) |
| HIV/AIDS - adult prevalence rate: | NA |
| HIV/AIDS - people living with HIV/AIDS: | NA |
| HIV/AIDS - deaths: | NA |
| Obesity - adult prevalence rate: | 55.3% (2016) |
| Literacy: | definition: age 15 and over can read and write |
| Literacy: | total population: 96.6% |
| Literacy: | male: 96.8% |
| Literacy: | female: 86% (2015 est.) |
| School life expectancy (primary to tertiary education): | total: 17 years |
| School life expectancy (primary to tertiary education): | male: 16 years |
| School life expectancy (primary to tertiary education): | female: 18 years (2013) |
