| People and Society | PALAU |
| --- | --- |
| Nationality: | noun: Palauan(s) |
| Nationality: | adjective: Palauan |
| Ethnic groups: | Palauan (Micronesian with Malayan and Melanesian admixtures) 72.5%, Carolinian 1%, other Micronesian 2.4%, Filipino 16.3%, Chinese 1.6%, Vietnamese 1.6%, other Asian 3.4%, white 0.9%, other 0.3% (2005 est.) |
| Languages: | Palauan (official on most islands) 66.6%, Carolinian 0.7%, other Micronesian 0.7%, English (official) 15.5%, Filipino 10.8%, Chinese 1.8%, other Asian 2.6%, other 1.3% |
| Languages: | note: Sonsoral (Sonsoralese and English are official), Tobi (Tobi and English are official), and Angaur (Angaur, Japanese, and English are official) (2005 est.) |
| Religions: | Roman Catholic 49.4%, Protestant 30.9% (includes Protestant (general) 23.1%, Seventh Day Adventist 5.3%, and other Protestant 2.5%), Modekngei 8.7% (indigenous to Palau), Jehovah's Witnesses 1.1%, other 8.8%, none or unspecified 1.1% (2005 est.) |
| Population: | 21,265 (July 2015 est.) |
| Age structure: | 0-14 years: 20.26% (male 2,225/female 2,084) |
| Age structure: | 15-24 years: 17.18% (male 1,819/female 1,834) |
| Age structure: | 25-54 years: 46.21% (male 5,992/female 3,834) |
| Age structure: | 55-64 years: 9.03% (male 667/female 1,253) |
| Age structure: | 65 years and over: 7.32% (male 418/female 1,139) (2015 est.) |
| population pyramid: | Median age: |
| population pyramid: | total: 33.2 years |
| population pyramid: | male: 32.6 years |
| population pyramid: | female: 34.4 years (2015 est.) |
| Population growth rate: | 0.38% (2015 est.) |
| Birth rate: | 11.05 births/1,000 population (2015 est.) |
| Death rate: | 7.99 deaths/1,000 population (2015 est.) |
| Net migration rate: | 0.71 migrant(s)/1,000 population (2015 est.) |
| Urbanization: | urban population: 87.1% of total population (2015) |
| Urbanization: | rate of urbanization: 1.66% annual rate of change (2010-15 est.) |
| Major urban areas - population: | MELEKEOK (capital) 299 (2012) |
| Sex ratio: | at birth: 1.06 male(s)/female |
| Sex ratio: | 0-14 years: 1.07 male(s)/female |
| Sex ratio: | 15-24 years: 0.99 male(s)/female |
| Sex ratio: | 25-54 years: 1.56 male(s)/female |
| Sex ratio: | 55-64 years: 0.53 male(s)/female |
| Sex ratio: | 65 years and over: 0.37 male(s)/female |
| Sex ratio: | total population: 1.1 male(s)/female (2015 est.) |
| Infant mortality rate: | total: 11.15 deaths/1,000 live births |
| Infant mortality rate: | male: 12.67 deaths/1,000 live births |
| Infant mortality rate: | female: 9.53 deaths/1,000 live births (2015 est.) |
| Life expectancy at birth: | total population: 72.87 years |
| Life expectancy at birth: | male: 69.69 years |
| Life expectancy at birth: | female: 76.23 years (2015 est.) |
| Total fertility rate: | 1.71 children born/woman (2015 est.) |
| Health expenditures: | 9.9% of GDP (2013) |
| Physicians density: | 1.38 physicians/1,000 population (2010) |
| Hospital bed density: | 4.8 beds/1,000 population (2010) |
| Drinking water source: | improved: |
| Drinking water source: | urban: 97% of population |
| Drinking water source: | rural: 86% of population |
| Drinking water source: | total: 95.3% of population |
| unimproved: | urban: 3% of population |
| unimproved: | rural: 14% of population |
| unimproved: | total: 4.7% of population (2011 est.) |
| Sanitation facility access: | improved: |
| Sanitation facility access: | urban: 100% of population |
| Sanitation facility access: | rural: 100% of population |
| Sanitation facility access: | total: 100% of population |
| unimproved: | urban: 0% of population |
| unimproved: | rural: 0% of population |
| unimproved: | total: 0% of population (2015 est.) |
| HIV/AIDS - adult prevalence rate: | NA |
| HIV/AIDS - people living with HIV/AIDS: | NA |
| HIV/AIDS - deaths: | NA |
| Obesity - adult prevalence rate: | 47.1% (2014) |
| Literacy: | definition: age 15 and over can read and write |
| Literacy: | total population: 99.5% |
| Literacy: | male: 99.5% |
| Literacy: | female: 99.6% (2015 est.) |
| School life expectancy (primary to tertiary education): | total: 14 years |
| School life expectancy (primary to tertiary education): | male: 14 years |
| School life expectancy (primary to tertiary education): | female: 14 years (2013) |
