| People and Society | GAMBIA, THE |
| --- | --- |
| Population: | 2,009,648 (July 2016 est.) |
| Nationality: | noun: Gambian(s) |
| Nationality: | adjective: Gambian |
| Ethnic groups: | Mandinka/Jahanka 33.8%, Fulani/Tukulur/Lorobo 22.1%, Wollof 12.2%, Jola/Karoninka 10.9%, Serahuleh 7%, Serere 3.2%, Manjago 2.1%, Bambara 1%, Creole/Aku Marabout 0.8%, other 0.9%, non-Gambian 5.2%, no answer 0.7% (2013 est.) |
| Languages: | English (official), Mandinka, Wolof, Fula, other indigenous vernaculars |
| Religions: | Muslim 95.7%, Christian 4.2%, none 0.1%, no answer 0.1% (2013 est.) |
| Demographic profile: | The Gambia’s youthful age structure – almost 60% of the population is under the age of 25 – is likely to persist because the country’s total fertility rate remains strong at nearly 4 children per woman. The overall literacy rate is around 55%, and is significantly lower for women than for men. At least 70% of the populace are farmers who are reliant on rain-fed agriculture and cannot afford improved seeds and fertilizers. Crop failures caused by droughts between 2011 and 2013 have increased poverty, food shortages, and malnutrition. |
| Demographic profile: | The Gambia is a source country for migrants and a transit and destination country for migrants and refugees. Since the 1980s, economic deterioration, drought, and high unemployment, especially among youths, have driven both domestic migration (largely urban) and migration abroad (legal and illegal). Emigrants are largely skilled workers, including doctors and nurses, and provide a significant amount of remittances. The top receiving countries for Gambian emigrants are Spain, the US, Nigeria, Senegal, and the UK. While the Gambia and Spain do not share historic, cultural, or trade ties, rural Gambians have migrated to Spain in large numbers because of its proximity and the availability of jobs in its underground economy (this flow slowed following the onset of Spain’s late 2007 economic crisis). |
| Demographic profile: | The Gambia’s role as a host country to refugees is a result of wars in several of its neighboring West African countries. Since 2006, refugees from the Casamance conflict in Senegal have replaced their pattern of flight and return with permanent settlement in The Gambia, often moving in with relatives along the Senegal-Gambia border. The strain of providing for about 7,400 Casamance refugees has increased poverty among Gambian villagers. |
| Age structure: | 0-14 years: 37.88% (male 382,215/female 379,029) |
| Age structure: | 15-24 years: 20.64% (male 204,979/female 209,866) |
| Age structure: | 25-54 years: 33.92% (male 333,875/female 347,779) |
| Age structure: | 55-64 years: 4.14% (male 39,978/female 43,177) |
| Age structure: | 65 years and over: 3.42% (male 32,011/female 36,739) (2016 est.) |
| Dependency ratios: | total dependency ratio: 94.2% |
| Dependency ratios: | youth dependency ratio: 89.7% |
| Dependency ratios: | elderly dependency ratio: 4.5% |
| Dependency ratios: | potential support ratio: 22.3% (2015 est.) |
| Median age: | total: 20.7 years |
| Median age: | male: 20.4 years |
| Median age: | female: 21 years (2016 est.) |
| Population growth rate: | 2.11% (2016 est.) |
| Birth rate: | 30.1 births/1,000 population (2016 est.) |
| Death rate: | 7.1 deaths/1,000 population (2016 est.) |
| Net migration rate: | -2 migrant(s)/1,000 population (2016 est.) |
| Urbanization: | urban population: 59.6% of total population (2015) |
| Urbanization: | rate of urbanization: 4.33% annual rate of change (2010-15 est.) |
| Major urban areas - population: | BANJUL (capital) 504,000 (2015) |
| Sex ratio: | at birth: 1.03 male(s)/female |
| Sex ratio: | 0-14 years: 1.01 male(s)/female |
| Sex ratio: | 15-24 years: 0.98 male(s)/female |
| Sex ratio: | 25-54 years: 0.96 male(s)/female |
| Sex ratio: | 55-64 years: 0.93 male(s)/female |
