| People and Society | GAMBIA, THE |
| --- | --- |
| Population: | 2,051,363 (July 2017 est.) |
| Nationality: | noun: Gambian(s) |
| Nationality: | adjective: Gambian |
| Ethnic groups: | Mandinka/Jahanka 34%, Fulani/Tukulur/Lorobo 22.4%, Wolof 12.6%, Jola/Karoninka 10.7%, Serahuleh 6.6%, Serer 3.2%, Manjago 2.1%, Bambara 1%, Creole/Aku Marabout 0.7%, other 0.9%, non-Gambian 5.2%, no answer 0.6% (2013 est.) |
| Languages: | English (official), Mandinka, Wolof, Fula, other indigenous vernaculars |
| Religions: | Muslim 95.7%, Christian 4.2%, none 0.1%, no answer 0.1% (2013 est.) |
| Demographic profile: | The Gambia’s youthful age structure – almost 60% of the population is under the age of 25 – is likely to persist because the country’s total fertility rate remains strong at nearly 4 children per woman. The overall literacy rate is around 55%, and is significantly lower for women than for men. At least 70% of the populace are farmers who are reliant on rain-fed agriculture and cannot afford improved seeds and fertilizers. Crop failures caused by droughts between 2011 and 2013 have increased poverty, food shortages, and malnutrition. |
| Demographic profile: | The Gambia is a source country for migrants and a transit and destination country for migrants and refugees. Since the 1980s, economic deterioration, drought, and high unemployment, especially among youths, have driven both domestic migration (largely urban) and migration abroad (legal and illegal). Emigrants are largely skilled workers, including doctors and nurses, and provide a significant amount of remittances. The top receiving countries for Gambian emigrants are Spain, the US, Nigeria, Senegal, and the UK. While the Gambia and Spain do not share historic, cultural, or trade ties, rural Gambians have migrated to Spain in large numbers because of its proximity and the availability of jobs in its underground economy (this flow slowed following the onset of Spain’s late 2007 economic crisis). |
| Demographic profile: | The Gambia’s role as a host country to refugees is a result of wars in several of its neighboring West African countries. Since 2006, refugees from the Casamance conflict in Senegal have replaced their pattern of flight and return with permanent settlement in The Gambia, often moving in with relatives along the Senegal-Gambia border. The strain of providing for about 7,400 Casamance refugees has increased poverty among Gambian villagers. |
| Age structure: | 0-14 years: 37.44% (male 385,646/female 382,328) |
| Age structure: | 15-24 years: 20.47% (male 207,611/female 212,366) |
| Age structure: | 25-54 years: 34.4% (male 345,788/female 359,976) |
| Age structure: | 55-64 years: 4.2% (male 41,295/female 44,865) |
| Age structure: | 65 years and over: 3.48% (male 33,153/female 38,335) (2017 est.) |
| Dependency ratios: | total dependency ratio: 92.3 |
| Dependency ratios: | youth dependency ratio: 87.8 |
| Dependency ratios: | elderly dependency ratio: 4.5 |
| Dependency ratios: | potential support ratio: 22.3 (2015 est.) |
| Median age: | total: 21 years |
| Median age: | male: 20.7 years |
| Median age: | female: 21.3 years (2017 est.) |
| Population growth rate: | 2.05% (2017 est.) |
| Birth rate: | 29.4 births/1,000 population (2017 est.) |
| Death rate: | 7 deaths/1,000 population (2017 est.) |
| Net migration rate: | -1.9 migrant(s)/1,000 population (2017 est.) |
| Population distribution: | settlements are found scattered along the Gambia River; the largest communities, including the capital of Banjul, and the country's largest city, Serekunda, are found at the mouth of the Gambia River along the Atlantic coast |
| Urbanization: | urban population: 60.8% of total population (2017) |
| Urbanization: | rate of urbanization: 3.96% annual rate of change (2015-20 est.) |
| Major urban areas - population: | BANJUL (capital) 504,000 (2015) |
| Sex ratio: | at birth: 1.03 male(s)/female |
| Sex ratio: | 0-14 years: 1.01 male(s)/female |
| Sex ratio: | 15-24 years: 0.98 male(s)/female |
| Sex ratio: | 25-54 years: 0.96 male(s)/female |
| Sex ratio: | 55-64 years: 0.93 male(s)/female |
| Sex ratio: | 65 years and over: 0.88 male(s)/female |
| Sex ratio: | total population: 0.98 male(s)/female (2016 est.) |
| Mother's mean age at first birth: | 20.9 years |
| Mother's mean age at first birth: | note: median age at first birth among women 25-29 (2013 est.) |
| Maternal mortality rate: | 706 deaths/100,000 live births (2015 est.) |
