| People and Society | Gambia, The |
| --- | --- |
| Nationality: | noun: Gambian(s) |
| Nationality: | adjective: Gambian |
| Ethnic groups: | African 99% (Mandinka 42%, Fula 18%, Wolof 16%, Jola 10%, Serahuli 9%, other 4%), non-African 1% (2003 census) |
| Languages: | English (official), Mandinka, Wolof, Fula, other indigenous vernaculars |
| Religions: | Muslim 90%, Christian 8%, indigenous beliefs 2% |
| Population: | 1,797,860 (July 2011 est.) |
| Age structure: | 0-14 years: 40% (male 360,732/female 358,440) |
| Age structure: | 15-64 years: 56.9% (male 501,946/female 520,826) |
| Age structure: | 65 years and over: 3.1% (male 26,645/female 29,271) (2011 est.) |
| Median age: | total: 19.4 years |
| Median age: | male: 19.2 years |
| Median age: | female: 19.7 years (2011 est.) |
| Population growth rate: | 2.396% (2011 est.) |
| Birth rate: | 34.19 births/1,000 population (2011 est.) |
| Death rate: | 7.65 deaths/1,000 population (July 2011 est.) |
| Net migration rate: | -2.58 migrant(s)/1,000 population (2011 est.) |
| Urbanization: | urban population: 58% of total population (2010) |
| Urbanization: | rate of urbanization: 3.7% annual rate of change (2010-15 est.) |
| Major cities - population: | BANJUL (capital) 436,000 (2009) |
| Sex ratio: | at birth: 1.03 male(s)/female |
| Sex ratio: | under 15 years: 1.01 male(s)/female |
| Sex ratio: | 15-64 years: 0.98 male(s)/female |
| Sex ratio: | 65 years and over: 0.98 male(s)/female |
| Sex ratio: | total population: 1 male(s)/female (2011 est.) |
| Maternal mortality rate: | 400 deaths/100,000 live births (2008) |
| Infant mortality rate: | total: 71.67 deaths/1,000 live births |
| Infant mortality rate: | male: 77.3 deaths/1,000 live births |
| Infant mortality rate: | female: 65.87 deaths/1,000 live births (2011 est.) |
| Life expectancy at birth: | total population: 63.51 years |
| Life expectancy at birth: | male: 61.23 years |
| Life expectancy at birth: | female: 65.86 years (2011 est.) |
| Total fertility rate: | 4.23 children born/woman (2011 est.) |
| Health expenditures: | 10.1% of GDP (2009) |
| Physicians density: | 0.038 physicians/1,000 population (2008) |
| Hospital bed density: | 1.13 beds/1,000 population (2009) |
| Drinking water source: | improved: |
| Drinking water source: | urban: 96% of population |
| Drinking water source: | rural: 86% of population |
| Drinking water source: | total: 92% of population |
| unimproved: | urban: 4% of population |
| unimproved: | rural: 14% of population |
| unimproved: | total: 8% of population (2008) |
| Sanitation facility access: | improved: |
| Sanitation facility access: | urban: 68% of population |
| Sanitation facility access: | rural: 65% of population |
| Sanitation facility access: | total: 67% of population |
| unimproved: | urban: 32% of population |
| unimproved: | rural: 35% of population |
| unimproved: | total: 33% of population (2008) |
| HIV/AIDS - adult prevalence rate: | 2% (2009 est.) |
| HIV/AIDS - people living with HIV/AIDS: | 18,000 (2009 est.) |
| HIV/AIDS - deaths: | fewer than 1,000 (2009 est.) |
| Major infectious diseases: | degree of risk: very high |
| Major infectious diseases: | food or waterborne diseases: bacterial and protozoal diarrhea, hepatitis A, and typhoid fever |
| Major infectious diseases: | vectorborne diseases: malaria |
| Major infectious diseases: | water contact disease: schistosomiasis |
| Major infectious diseases: | respiratory disease: meningococcal meningitis |
| Major infectious diseases: | animal contact disease: rabies (2009) |
| Children under the age of 5 years underweight: | 15.8% (2006) |
| Education expenditures: | 2% of GDP (2004) |
| Literacy: | definition: age 15 and over can read and write |
| Literacy: | total population: 40.1% |
| Literacy: | male: 47.8% |
| Literacy: | female: 32.8% (2003 est.) |
| School life expectancy (primary to tertiary education): | total: 9 years |
| School life expectancy (primary to tertiary education): | male: 9 years |
| School life expectancy (primary to tertiary education): | female: 9 years (2008) |
