| People and Society | Belarus |
| --- | --- |
| Population: | 9,477,918 (July 2020 est.) |
| Nationality: | noun: Belarusian(s) |
| Nationality: | adjective: Belarusian |
| Ethnic groups: | Belarusian 83.7%, Russian 8.3%, Polish 3.1%, Ukrainian 1.7%, other 2.4%, unspecified 0.9% (2009 est.) |
| Languages: | Russian (official) 70.2%, Belarusian (official) 23.4%, other 3.1% (includes small Polish- and Ukrainian-speaking minorities), unspecified 3.3% (2009 est.) |
| Religions: | Orthodox 48.3%, Catholic 7.1%, other 3.5%, non-believers 41.1% (2011 est.) |
| Age structure: | 0-14 years: 16.09% (male 784,231/female 740,373) |
| Age structure: | 15-24 years: 9.59% (male 467,393/female 441,795) |
| Age structure: | 25-54 years: 43.94% (male 2,058,648/female 2,105,910) |
| Age structure: | 55-64 years: 14.45% (male 605,330/female 763,972) |
| Age structure: | 65 years and over: 15.93% (male 493,055/female 1,017,211) (2020 est.) |
| Dependency ratios: | total dependency ratio: 48.9 |
| Dependency ratios: | youth dependency ratio: 25.7 |
| Dependency ratios: | elderly dependency ratio: 23.2 |
| Dependency ratios: | potential support ratio: 4.3 (2020 est.) |
| Median age: | total: 40.9 years |
| Median age: | male: 38 years |
| Median age: | female: 43.9 years (2020 est.) |
| Population growth rate: | -0.27% (2020 est.) |
| Birth rate: | 9.5 births/1,000 population (2020 est.) |
| Death rate: | 13.1 deaths/1,000 population (2020 est.) |
| Net migration rate: | 0.7 migrant(s)/1,000 population (2020 est.) |
| Population distribution: | a fairly even distribution throughout most of the country, with urban areas attracting larger and denser populations |
| Urbanization: | urban population: 79.5% of total population (2020) |
| Urbanization: | rate of urbanization: 0.44% annual rate of change (2015-20 est.) |
| Urbanization: | total population growth rate v. urban population growth rate, 2000-2030: [Adobe] PDF |
| Major urban areas - population: | 2.028 million MINSK (capital) (2020) |
| Sex ratio: | at birth: 1.06 male(s)/female |
| Sex ratio: | 0-14 years: 1.06 male(s)/female |
| Sex ratio: | 15-24 years: 1.06 male(s)/female |
| Sex ratio: | 25-54 years: 0.98 male(s)/female |
| Sex ratio: | 55-64 years: 0.79 male(s)/female |
| Sex ratio: | 65 years and over: 0.48 male(s)/female |
| Sex ratio: | total population: 0.87 male(s)/female (2020 est.) |
| Mother's mean age at first birth: | 26.5 years (2017 est.) |
| Maternal mortality rate: | 2 deaths/100,000 live births (2017 est.) |
| Infant mortality rate: | total: 3.5 deaths/1,000 live births |
| Infant mortality rate: | male: 3.9 deaths/1,000 live births |
| Infant mortality rate: | female: 3.1 deaths/1,000 live births (2020 est.) |
| Life expectancy at birth: | total population: 73.8 years |
| Life expectancy at birth: | male: 68.3 years |
| Life expectancy at birth: | female: 79.5 years (2020 est.) |
| Total fertility rate: | 1.5 children born/woman (2020 est.) |
| Contraceptive prevalence rate: | 72.1% (2017) |
| Contraceptive prevalence rate: | note:Â  percent of women aged 18-49 |
| Drinking water source: | improved: urban: 100% of population |
| Drinking water source: | rural: 98.3% of population |
| Drinking water source: | total: 99.8% of population |
| Drinking water source: | unimproved: urban: 0% of population |
| Drinking water source: | rural: 1.7% of population |
| Drinking water source: | total: 0.2% of population (2017 est.) |
| Current Health Expenditure: | 5.9% (2017) |
| Physicians density: | 5.19 physicians/1,000 population (2015) |
| Hospital bed density: | 10.8 beds/1,000 population (2014) |
| Sanitation facility access: | improved: urban: 99.8% of population |
| Sanitation facility access: | rural: 97.9% of population |
| Sanitation facility access: | total: 99.4% of population |
| Sanitation facility access: | unimproved: urban: 0.2% of population |
| Sanitation facility access: | rural: 2.1% of population |
| Sanitation facility access: | total: 0.6% of population (2017 est.) |
| HIV/AIDS - adult prevalence rate: | 0.4% (2019 est.) |
| HIV/AIDS - people living with HIV/AIDS: | 28,000 (2019 est.) |
| HIV/AIDS - deaths: | <200 (2019 est.) |
| Obesity - adult prevalence rate: | 24.5% (2016) |
| Education expenditures: | 4.8% of GDP (2017) |
| Literacy: | definition: age 15 and over can read and write |
| Literacy: | total population: 99.8% |
| Literacy: | male: 99.8% |
| Literacy: | female: 99.7% (2018) |
| School life expectancy (primary to tertiary education): | total: 15 years |
| School life expectancy (primary to tertiary education): | male: 15 years |
| School life expectancy (primary to tertiary education): | female: 16 years (2018) |
| Unemployment, youth ages 15-24: | total: 10.6% |
| Unemployment, youth ages 15-24: | male: 12.7% |
| Unemployment, youth ages 15-24: | female: 8.4% (2018 est.) |
