| People and Society | BELARUS |
| --- | --- |
| Population: | 9,549,747 (July 2017 est.) |
| Nationality: | noun: Belarusian(s) |
| Nationality: | adjective: Belarusian |
| Ethnic groups: | Belarusian 83.7%, Russian 8.3%, Polish 3.1%, Ukrainian 1.7%, other 2.4%, unspecified 0.9% (2009 est.) |
| Languages: | Russian (official) 70.2%, Belarusian (official) 23.4%, other 3.1% (includes small Polish- and Ukrainian-speaking minorities), unspecified 3.3% (2009 est.) |
| Religions: | Orthodox 48.3%, Catholic 7.1%, other 3.5%, non-believers 41.1% (2011 est.) |
| Age structure: | 0-14 years: 15.78% (male 774,995/female 732,191) |
| Age structure: | 15-24 years: 10.29% (male 505,420/female 477,123) |
| Age structure: | 25-54 years: 44.76% (male 2,104,170/female 2,170,515) |
| Age structure: | 55-64 years: 14.21% (male 599,630/female 757,744) |
| Age structure: | 65 years and over: 14.95% (male 457,766/female 970,193) (2017 est.) |
| Dependency ratios: | total dependency ratio: 43.8 |
| Dependency ratios: | youth dependency ratio: 23.2 |
| Dependency ratios: | elderly dependency ratio: 20.6 |
| Dependency ratios: | potential support ratio: 4.9 (2015 est.) |
| Median age: | total: 40 years |
| Median age: | male: 37.1 years |
| Median age: | female: 43.1 years (2017 est.) |
| Population growth rate: | -0.22% (2017 est.) |
| Birth rate: | 10.3 births/1,000 population (2017 est.) |
| Death rate: | 13.2 deaths/1,000 population (2017 est.) |
| Net migration rate: | 0.7 migrant(s)/1,000 population (2017 est.) |
| Population distribution: | a fairly even distribution throughout most of the country, with urban areas attracting larger and denser populations |
| Urbanization: | urban population: 77.4% of total population (2017) |
| Urbanization: | rate of urbanization: -0.04% annual rate of change (2015-20 est.) |
| Major urban areas - population: | MINSK (capital) 1.915 million (2015) |
| Sex ratio: | at birth: 1.06 male(s)/female |
| Sex ratio: | 0-14 years: 1.06 male(s)/female |
| Sex ratio: | 15-24 years: 1.06 male(s)/female |
| Sex ratio: | 25-54 years: 0.97 male(s)/female |
| Sex ratio: | 55-64 years: 0.79 male(s)/female |
| Sex ratio: | 65 years and over: 0.46 male(s)/female |
| Sex ratio: | total population: 0.87 male(s)/female (2016 est.) |
| Mother's mean age at first birth: | 25.7 years (2014 est.) |
| Maternal mortality rate: | 4 deaths/100,000 live births (2015 est.) |
| Infant mortality rate: | total: 3.6 deaths/1,000 live births |
| Infant mortality rate: | male: 4 deaths/1,000 live births |
| Infant mortality rate: | female: 3.1 deaths/1,000 live births (2017 est.) |
| Life expectancy at birth: | total population: 73 years |
| Life expectancy at birth: | male: 67.5 years |
| Life expectancy at birth: | female: 78.8 years (2017 est.) |
| Total fertility rate: | 1.48 children born/woman (2017 est.) |
| Contraceptive prevalence rate: | 63.1% (2012) |
| Health expenditures: | 5.7% of GDP (2014) |
| Physicians density: | 4.07 physicians/1,000 population (2014) |
| Hospital bed density: | 11.3 beds/1,000 population (2011) |
| Drinking water source: | improved: |
| Drinking water source: | urban: 99.9% of population |
| Drinking water source: | rural: 99.1% of population |
| Drinking water source: | total: 99.7% of population |
| unimproved: | urban: 0.1% of population |
| unimproved: | rural: 0.9% of population |
| unimproved: | total: 0.3% of population (2015 est.) |
| Sanitation facility access: | improved: |
| Sanitation facility access: | urban: 94.1% of population |
| Sanitation facility access: | rural: 95.2% of population |
| Sanitation facility access: | total: 94.3% of population |
| unimproved: | urban: 5.9% of population |
| unimproved: | rural: 4.8% of population |
| unimproved: | total: 5.7% of population (2015 est.) |
| HIV/AIDS - adult prevalence rate: | 0.4% (2016 est.) |
| HIV/AIDS - people living with HIV/AIDS: | 19,000 (2016 est.) |
| HIV/AIDS - deaths: | <200 (2016 est.) |
| Obesity - adult prevalence rate: | 24.5% (2016) |
| Education expenditures: | 4.9% of GDP (2015) |
| Literacy: | definition: age 15 and over can read and write |
| Literacy: | total population: 99.7% |
| Literacy: | male: 99.8% |
| Literacy: | female: 99.7% (2015 est.) |
| School life expectancy (primary to tertiary education): | total: 16 years |
| School life expectancy (primary to tertiary education): | male: 15 years |
| School life expectancy (primary to tertiary education): | female: 16 years (2015) |
| Unemployment, youth ages 15-24: | total: 12.5% |
| Unemployment, youth ages 15-24: | male: 12.4% |
| Unemployment, youth ages 15-24: | female: 12.6% (2009 est.) |
