| People and Society | Bermuda |
| --- | --- |
| Population: | 71,750 (July 2020 est.) |
| Nationality: | noun: Bermudian(s) |
| Nationality: | adjective: Bermudian |
| Ethnic groups: | African descent 53.8%, White 31%, mixed 7.5%, other 7.1%, unspecified 0.6% (2010 est.) |
| Languages: | English (official), Portuguese |
| Religions: | Protestant 46.2% (includes Anglican 15.8%, African Methodist Episcopal 8.6%, Seventh Day Adventist 6.7, Pentecostal 3.5%, Methodist 2.7%, Presbyterian 2.0%, Church of God 1.6%, Baptist 1.2%, Salvation Army 1.1%, Brethren 1.0%, other Protestant 2.0%), Roman Catholic 14.5%, Jehovah's Witness 1.3%, other Christian 9.1%, Muslim 1%, other 3.9%, none 17.8%, unspecified 6.2% (2010 est.) |
| Age structure: | 0-14 years: 16.7% (male 6,053/female 5,928) |
| Age structure: | 15-24 years: 11.88% (male 4,290/female 4,235) |
| Age structure: | 25-54 years: 35.31% (male 12,758/female 12,575) |
| Age structure: | 55-64 years: 16.37% (male 5,560/female 6,185) |
| Age structure: | 65 years and over: 19.74% (male 6,032/female 8,134) (2020 est.) |
| Median age: | total: 43.6 years |
| Median age: | male: 41.6 years |
| Median age: | female: 45.7 years (2020 est.) |
| Population growth rate: | 0.39% (2020 est.) |
| Birth rate: | 11.2 births/1,000 population (2020 est.) |
| Death rate: | 9.1 deaths/1,000 population (2020 est.) |
| Net migration rate: | 1.6 migrant(s)/1,000 population (2020 est.) |
| Population distribution: | relatively even population distribution throughout |
| Urbanization: | urban population: 100% of total population (2020) |
| Urbanization: | rate of urbanization: -0.44% annual rate of change (2015-20 est.) |
| Urbanization: | total population growth rate v. urban population growth rate, 2000-2030: [Adobe] PDF |
| Major urban areas - population: | 10,000 HAMILTON (capital) (2018) |
| Sex ratio: | at birth: 1.02 male(s)/female |
| Sex ratio: | 0-14 years: 1.02 male(s)/female |
| Sex ratio: | 15-24 years: 1.01 male(s)/female |
| Sex ratio: | 25-54 years: 1.01 male(s)/female |
| Sex ratio: | 55-64 years: 0.9 male(s)/female |
| Sex ratio: | 65 years and over: 0.74 male(s)/female |
| Sex ratio: | total population: 0.94 male(s)/female (2020 est.) |
| Infant mortality rate: | total: 2.5 deaths/1,000 live births |
| Infant mortality rate: | male: 2.6 deaths/1,000 live births |
| Infant mortality rate: | female: 2.4 deaths/1,000 live births (2020 est.) |
| Life expectancy at birth: | total population: 81.7 years |
| Life expectancy at birth: | male: 78.5 years |
| Life expectancy at birth: | female: 84.9 years (2020 est.) |
| Total fertility rate: | 1.91 children born/woman (2020 est.) |
| Drinking water source: | improved: total: 100% of population |
| Drinking water source: | unimproved: total: 0% of population (2017 est.) |
| Sanitation facility access: | improved: urban: 100% of population |
| Sanitation facility access: | total: 100% of population |
| Sanitation facility access: | unimproved: urban: 0% of population |
| Sanitation facility access: | total: 0% of population (2017) |
| HIV/AIDS - adult prevalence rate: | NA |
| HIV/AIDS - people living with HIV/AIDS: | NA |
| HIV/AIDS - deaths: | NA |
| Education expenditures: | 1.5% of GDP (2017) |
| School life expectancy (primary to tertiary education): | total: 13 years |
| School life expectancy (primary to tertiary education): | male: 12 years |
| School life expectancy (primary to tertiary education): | female: 14 years (2015) |
| Unemployment, youth ages 15-24: | total: 29.3% |
| Unemployment, youth ages 15-24: | male: 29.7% |
| Unemployment, youth ages 15-24: | female: 29% (2014 est.) |
