| People and Society | BARBADOS |
| --- | --- |
| Population: | 291,495 (July 2016 est.) |
| Nationality: | noun: Barbadian(s) or Bajan (colloquial) |
| Nationality: | adjective: Barbadian or Bajan (colloquial) |
| Ethnic groups: | black 92.4%, white 2.7%, mixed 3.1%, East Indian 1.3%, other 0.2%, unspecified 0.2% (2010 est.) |
| Languages: | English (official), Bajan (English-based creole language, widely spoken in informal settings) |
| Religions: | Protestant 66.4% (includes Anglican 23.9%, other Pentecostal 19.5%, Adventist 5.9%, Methodist 4.2%, Wesleyan 3.4%, Nazarene 3.2%, Church of God 2.4%, Baptist 1.8%, Moravian 1.2%, other Protestant 0.9%), Roman Catholic 3.8%, other Christian 5.4% (includes Jehovah's Witness 2.0%, other 3.4%), Rastafarian 1%, other 1.5%, none 20.6%, unspecified 1.2% (2010 est.) |
| Age structure: | 0-14 years: 18.13% (male 26,421/female 26,434) |
| Age structure: | 15-24 years: 13.03% (male 18,888/female 19,083) |
| Age structure: | 25-54 years: 44.35% (male 64,430/female 64,842) |
| Age structure: | 55-64 years: 13.18% (male 18,036/female 20,396) |
| Age structure: | 65 years and over: 11.31% (male 13,216/female 19,749) (2016 est.) |
| Dependency ratios: | total dependency ratio: 50.4% |
| Dependency ratios: | youth dependency ratio: 29.1% |
| Dependency ratios: | elderly dependency ratio: 21.3% |
| Dependency ratios: | potential support ratio: 4.7% (2015 est.) |
| Median age: | total: 38.3 years |
| Median age: | male: 37.2 years |
| Median age: | female: 39.4 years (2016 est.) |
| Population growth rate: | 0.3% (2016 est.) |
| Birth rate: | 11.8 births/1,000 population (2016 est.) |
| Death rate: | 8.5 deaths/1,000 population (2016 est.) |
| Net migration rate: | -0.3 migrant(s)/1,000 population (2016 est.) |
| Population distribution: | most densely populated country in the eastern Caribbean; approximately one-third live in urban areas |
| Urbanization: | urban population: 31.5% of total population (2015) |
| Urbanization: | rate of urbanization: 0.13% annual rate of change (2010-15 est.) |
| Major urban areas - population: | BRIDGETOWN (capital) 90,000 (2014) |
| Sex ratio: | at birth: 1.01 male(s)/female |
| Sex ratio: | 0-14 years: 1 male(s)/female |
| Sex ratio: | 15-24 years: 0.99 male(s)/female |
| Sex ratio: | 25-54 years: 0.99 male(s)/female |
| Sex ratio: | 55-64 years: 0.88 male(s)/female |
| Sex ratio: | 65 years and over: 0.66 male(s)/female |
| Sex ratio: | total population: 0.94 male(s)/female (2016 est.) |
| Maternal mortality rate: | 27 deaths/100,000 live births (2015 est.) |
| Infant mortality rate: | total: 10.5 deaths/1,000 live births |
| Infant mortality rate: | male: 11.6 deaths/1,000 live births |
| Infant mortality rate: | female: 9.4 deaths/1,000 live births (2016 est.) |
| Life expectancy at birth: | total population: 75.3 years |
| Life expectancy at birth: | male: 73 years |
| Life expectancy at birth: | female: 77.7 years (2016 est.) |
| Total fertility rate: | 1.68 children born/woman (2016 est.) |
| Health expenditures: | 7.5% of GDP (2014) |
| Physicians density: | 1.81 physicians/1,000 population (2005) |
| Hospital bed density: | 6.2 beds/1,000 population (2012) |
| Drinking water source: | improved: |
| Drinking water source: | urban: 99.7% of population |
| Drinking water source: | rural: 99.7% of population |
| Drinking water source: | total: 99.7% of population |
| unimproved: | urban: 0.3% of population |
| unimproved: | rural: 0.3% of population |
| unimproved: | total: 0.3% of population (2015 est.) |
| Sanitation facility access: | improved: |
| Sanitation facility access: | urban: 96.2% of population |
| Sanitation facility access: | rural: 96.2% of population |
| Sanitation facility access: | total: 96.2% of population |
| unimproved: | urban: 3.8% of population |
| unimproved: | rural: 3.8% of population |
| unimproved: | total: 3.8% of population (2015 est.) |
| HIV/AIDS - adult prevalence rate: | 1.57% (2015 est.) |
| HIV/AIDS - people living with HIV/AIDS: | 2,600 (2015 est.) |
| HIV/AIDS - deaths: | 100 (2015 est.) |
| Major infectious diseases: | note: active local transmission of Zika virus by Aedes species mosquitoes has been identified in this country (as of August 2016); it poses an important risk (a large number of cases possible) among US citizens if bitten by an infective mosquito; other less common ways to get Zika are through sex, via blood transfusion, or during pregnancy, in which the pregnant woman passes Zika virus to her fetus (2016) |
| Obesity - adult prevalence rate: | 33.2% (2014) |
| Children under the age of 5 years underweight: | 3.5% (2012) |
| Education expenditures: | 6.7% of GDP (2014) |
| School life expectancy (primary to tertiary education): | total: 15 years |
| School life expectancy (primary to tertiary education): | male: 14 years |
| School life expectancy (primary to tertiary education): | female: 17 years (2011) |
| Unemployment, youth ages 15-24: | total: 29.6% |
| Unemployment, youth ages 15-24: | male: 27.7% |
| Unemployment, youth ages 15-24: | female: 31.9% (2013 est.) |
