| People and Society | BARBADOS |
| --- | --- |
| Nationality: | noun: Barbadian(s) or Bajan (colloquial) |
| Nationality: | adjective: Barbadian or Bajan (colloquial) |
| Ethnic groups: | black 92.4%, white 2.7%, mixed 3.1%, East Indian 1.3%, other 0.2%, unspecified 0.2% (2010 est.) |
| Languages: | English (official), Bajan (English-based creole language, widely spoken in informal settings) |
| Religions: | Protestant 66.3% (includes Anglican 23.9%, other Pentecostal 19.5%, Adventist 5.9%, Methodist 4.2%, Wesleyan 3.4%, Nazarene 3.2%, Church of God 2.4%, Baptist 1.8%, Moravian 1.2%, other Protestant .8%), Roman Catholic 3.8%, other Christian 5.4% (includes Jehovah's Witness 2.0%, other 3.4%), Rastafarian 1%, other 1.5%, none 20.6%, unspecified 1.2% (2010 est.) |
| Population: | 290,604 (July 2015 est.) |
| Age structure: | 0-14 years: 18.29% (male 26,570/female 26,583) |
| Age structure: | 15-24 years: 13.35% (male 19,323/female 19,461) |
| Age structure: | 25-54 years: 44.62% (male 64,604/female 65,069) |
| Age structure: | 55-64 years: 12.87% (male 17,483/female 19,907) |
| Age structure: | 65 years and over: 10.88% (male 12,596/female 19,008) (2015 est.) |
| population pyramid: | Dependency ratios: |
| population pyramid: | total dependency ratio: 50.4% |
| population pyramid: | youth dependency ratio: 29.1% |
| population pyramid: | elderly dependency ratio: 21.3% |
| population pyramid: | potential support ratio: 4.7% (2015 est.) |
| Median age: | total: 37.6 years |
| Median age: | male: 36.5 years |
| Median age: | female: 38.7 years (2014 est.) |
| Population growth rate: | 0.31% (2015 est.) |
| Birth rate: | 11.87 births/1,000 population (2015 est.) |
| Death rate: | 8.44 deaths/1,000 population (2015 est.) |
| Net migration rate: | -0.3 migrant(s)/1,000 population (2015 est.) |
| Urbanization: | urban population: 31.5% of total population (2015) |
| Urbanization: | rate of urbanization: 0.13% annual rate of change (2010-15 est.) |
| Major urban areas - population: | BRIDGETOWN (capital) 90,000 (2014) |
| Sex ratio: | at birth: 1.01 male(s)/female |
| Sex ratio: | 0-14 years: 1 male(s)/female |
| Sex ratio: | 15-24 years: 0.99 male(s)/female |
| Sex ratio: | 25-54 years: 0.99 male(s)/female |
| Sex ratio: | 55-64 years: 0.88 male(s)/female |
| Sex ratio: | 65 years and over: 0.66 male(s)/female |
| Sex ratio: | total population: 0.94 male(s)/female (2015 est.) |
| Infant mortality rate: | total: 10.42 deaths/1,000 live births |
| Infant mortality rate: | male: 11.52 deaths/1,000 live births |
| Infant mortality rate: | female: 9.31 deaths/1,000 live births (2015 est.) |
| Life expectancy at birth: | total population: 75.18 years |
| Life expectancy at birth: | male: 72.82 years |
| Life expectancy at birth: | female: 77.56 years (2015 est.) |
| Total fertility rate: | 1.68 children born/woman (2015 est.) |
| Health expenditures: | 6.8% of GDP (2013) |
| Physicians density: | 1.81 physicians/1,000 population (2005) |
| Hospital bed density: | 6.2 beds/1,000 population (2012) |
| Drinking water source: | improved: |
| Drinking water source: | urban: 99.7% of population |
| Drinking water source: | rural: 99.7% of population |
| Drinking water source: | total: 99.7% of population |
| unimproved: | urban: 0.3% of population |
| unimproved: | rural: 0.3% of population |
| unimproved: | total: 0.3% of population (2015 est.) |
| Sanitation facility access: | improved: |
| Sanitation facility access: | urban: 96.2% of population |
| Sanitation facility access: | rural: 96.2% of population |
| Sanitation facility access: | total: 96.2% of population |
| unimproved: | urban: 3.8% of population |
| unimproved: | rural: 3.8% of population |
| unimproved: | total: 3.8% of population (2015 est.) |
| HIV/AIDS - adult prevalence rate: | 0.88% (2013 est.) |
| HIV/AIDS - people living with HIV/AIDS: | 1,500 (2012 est.) |
| HIV/AIDS - deaths: | NA |
| Obesity - adult prevalence rate: | 33.2% (2014) |
| Children under the age of 5 years underweight: | 3.5% (2013) |
| Education expenditures: | 5.6% of GDP (2012) |
| School life expectancy (primary to tertiary education): | total: 15 years |
| School life expectancy (primary to tertiary education): | male: 14 years |
| School life expectancy (primary to tertiary education): | female: 17 years (2011) |
