| People and Society | Kazakhstan |
| --- | --- |
| Nationality: | noun: Kazakhstani(s) |
| Nationality: | adjective: Kazakhstani |
| Ethnic groups: | Kazakh (Qazaq) 63.1%, Russian 23.7%, Uzbek 2.9%, Ukrainian 2.1%, Uighur 1.4%, Tatar 1.3%, German 1.1%, other 4.4% (2009 est.) |
| Languages: | Kazakh (Qazaq, state language) 64.4%, Russian (official, used in everyday business, designated the "language of interethnic communication") 95% (2001 est.) |
| Religions: | Muslim 70.2%, Christian 26.2% (mainly Russian Orthodox), other 0.2%, atheist 2.8%, unspecified 0.5% (2009 est.) |
| Population: | 17,948,816 (July 2014 est.) |
| Age structure: | 0-14 years: 25.1% (male 2,247,628/female 2,254,744) |
| Age structure: | 15-24 years: 16.1% (male 1,469,275/female 1,418,175) |
| Age structure: | 25-54 years: 42.6% (male 3,720,498/female 3,927,626) |
| Age structure: | 55-64 years: 9.2% (male 724,683/female 935,416) |
| Age structure: | 65 years and over: 6.8% (male 429,565/female 821,206) (2014 est.) |
| population pyramid: | Dependency ratios: |
| population pyramid: | total dependency ratio: 48.7 % |
| population pyramid: | youth dependency ratio: 38.7 % |
| population pyramid: | elderly dependency ratio: 10 % |
| population pyramid: | potential support ratio: 10 (2014 est.) |
| Median age: | total: 29.7 years |
| Median age: | male: 28.4 years |
| Median age: | female: 31.1 years (2014 est.) |
| Population growth rate: | 1.17% (2014 est.) |
| Birth rate: | 19.61 births/1,000 population (2014 est.) |
| Death rate: | 8.31 deaths/1,000 population (2014 est.) |
| Net migration rate: | 0.42 migrant(s)/1,000 population (2014 est.) |
| Urbanization: | urban population: 53.6% of total population (2011) |
| Urbanization: | rate of urbanization: 0.87% annual rate of change (2010-15 est.) |
| Major urban areas - population: | Almaty 1.426 million; ASTANA (capital) 664,000 (2011) |
| Sex ratio: | at birth: 0.94 male(s)/female |
| Sex ratio: | 0-14 years: 1 male(s)/female |
| Sex ratio: | 15-24 years: 1.04 male(s)/female |
| Sex ratio: | 25-54 years: 0.95 male(s)/female |
| Sex ratio: | 55-64 years: 0.92 male(s)/female |
| Sex ratio: | 65 years and over: 0.52 male(s)/female |
| Sex ratio: | total population: 0.92 male(s)/female (2014 est.) |
| Mother's mean age at first birth: | 25 (2011 est.) |
| Maternal mortality rate: | 51 deaths/100,000 live births (2010) |
| Infant mortality rate: | total: 21.61 deaths/1,000 live births |
| Infant mortality rate: | male: 24.34 deaths/1,000 live births |
| Infant mortality rate: | female: 19.06 deaths/1,000 live births (2014 est.) |
| Life expectancy at birth: | total population: 70.24 years |
| Life expectancy at birth: | male: 64.98 years |
| Life expectancy at birth: | female: 75.17 years (2014 est.) |
| Total fertility rate: | 2.34 children born/woman (2014 est.) |
| Contraceptive prevalence rate: | 51% (2011) |
| Health expenditures: | 3.9% of GDP (2011) |
| Physicians density: | 3.84 physicians/1,000 population (2011) |
| Hospital bed density: | 7.6 beds/1,000 population (2009) |
| Drinking water source: | improved: |
| Drinking water source: | urban: 99.2% of population |
| Drinking water source: | rural: 86% of population |
| Drinking water source: | total: 93.1% of population |
| unimproved: | urban: 0.8% of population |
| unimproved: | rural: 14% of population |
| unimproved: | total: 6.9% of population (2012 est.) |
| Sanitation facility access: | improved: |
| Sanitation facility access: | urban: 97% of population |
| Sanitation facility access: | rural: 98% of population |
| Sanitation facility access: | total: 97.5% of population |
| unimproved: | urban: 3% of population |
| unimproved: | rural: 2% of population |
| unimproved: | total: 2.5% of population (2012 est.) |
| HIV/AIDS - adult prevalence rate: | 0.1% (2009 est.) |
| HIV/AIDS - people living with HIV/AIDS: | 13,000 (2009 est.) |
| HIV/AIDS - deaths: | fewer than 500 (2009 est.) |
| Obesity - adult prevalence rate: | 23.7% (2008) |
| Children under the age of 5 years underweight: | 3.7% (2011) |
| Education expenditures: | 3.1% of GDP (2009) |
| Literacy: | definition: age 15 and over can read and write |
| Literacy: | total population: 99.7% |
| Literacy: | male: 99.8% |
| Literacy: | female: 99.7% (2009 est.) |
| School life expectancy (primary to tertiary education): | total: 15 years |
| School life expectancy (primary to tertiary education): | male: 15 years |
| School life expectancy (primary to tertiary education): | female: 15 years (2012) |
| Child labor - children ages 5-14: | total number: 59,254 |
| Child labor - children ages 5-14: | percentage: 2 % (2006 est.) |
| Unemployment, youth ages 15-24: | total: 3.9% |
| Unemployment, youth ages 15-24: | male: 2.9% |
| Unemployment, youth ages 15-24: | female: 5.1% (2012) |
