| People and Society | KAZAKHSTAN |
| --- | --- |
| Nationality: | noun: Kazakhstani(s) |
| Nationality: | adjective: Kazakhstani |
| Ethnic groups: | Kazakh (Qazaq) 63.1%, Russian 23.7%, Uzbek 2.9%, Ukrainian 2.1%, Uighur 1.4%, Tatar 1.3%, German 1.1%, other 4.4% (2009 est.) |
| Languages: | Kazakh (official, Qazaq) 64.4%, Russian (official, used in everyday business, designated the "language of interethnic communication") 95% (2001 est.) |
| Religions: | Muslim 70.2%, Christian 26.2% (mainly Russian Orthodox), other 0.2%, atheist 2.8%, unspecified 0.5% (2009 est.) |
| Population: | 18,157,122 (July 2015 est.) |
| Age structure: | 0-14 years: 25.41% (male 2,294,513/female 2,319,233) |
| Age structure: | 15-24 years: 15.33% (male 1,417,344/female 1,366,655) |
| Age structure: | 25-54 years: 42.59% (male 3,768,418/female 3,965,188) |
| Age structure: | 55-64 years: 9.49% (male 753,011/female 970,569) |
| Age structure: | 65 years and over: 7.17% (male 448,857/female 853,334) (2015 est.) |
| population pyramid: | Dependency ratios: |
| population pyramid: | total dependency ratio: 50.3% |
| population pyramid: | youth dependency ratio: 40.1% |
| population pyramid: | elderly dependency ratio: 10.1% |
| population pyramid: | potential support ratio: 9.9% (2015 est.) |
| Median age: | total: 29.7 years |
| Median age: | male: 28.4 years |
| Median age: | female: 31.1 years (2014 est.) |
| Population growth rate: | 1.14% (2015 est.) |
| Birth rate: | 19.15 births/1,000 population (2015 est.) |
| Death rate: | 8.21 deaths/1,000 population (2015 est.) |
| Net migration rate: | 0.41 migrant(s)/1,000 population (2015 est.) |
| Urbanization: | urban population: 53.2% of total population (2015) |
| Urbanization: | rate of urbanization: 0.86% annual rate of change (2010-15 est.) |
| Major urban areas - population: | Almaty 1.523 million; ASTANA (capital) 759,000 (2015) |
| Sex ratio: | at birth: 0.94 male(s)/female |
| Sex ratio: | 0-14 years: 0.99 male(s)/female |
| Sex ratio: | 15-24 years: 1.04 male(s)/female |
| Sex ratio: | 25-54 years: 0.95 male(s)/female |
| Sex ratio: | 55-64 years: 0.78 male(s)/female |
| Sex ratio: | 65 years and over: 0.53 male(s)/female |
| Sex ratio: | total population: 0.92 male(s)/female (2015 est.) |
| Infant mortality rate: | total: 20.92 deaths/1,000 live births |
| Infant mortality rate: | male: 23.63 deaths/1,000 live births |
| Infant mortality rate: | female: 18.39 deaths/1,000 live births (2015 est.) |
| Life expectancy at birth: | total population: 70.55 years |
| Life expectancy at birth: | male: 65.3 years |
| Life expectancy at birth: | female: 75.46 years (2015 est.) |
| Total fertility rate: | 2.31 children born/woman (2015 est.) |
| Contraceptive prevalence rate: | 51% (2010/11) |
| Health expenditures: | 4.3% of GDP (2013) |
| Physicians density: | 3.62 physicians/1,000 population (2013) |
| Hospital bed density: | 7.2 beds/1,000 population (2012) |
| Drinking water source: | improved: |
| Drinking water source: | urban: 99.4% of population |
| Drinking water source: | rural: 85.6% of population |
| Drinking water source: | total: 92.9% of population |
| unimproved: | urban: 0.6% of population |
| unimproved: | rural: 14.4% of population |
| unimproved: | total: 7.1% of population (2015 est.) |
| Sanitation facility access: | improved: |
| Sanitation facility access: | urban: 97% of population |
| Sanitation facility access: | rural: 98.1% of population |
| Sanitation facility access: | total: 97.5% of population |
| unimproved: | urban: 3% of population |
| unimproved: | rural: 1.9% of population |
| unimproved: | total: 2.5% of population (2015 est.) |
| HIV/AIDS - adult prevalence rate: | NA |
| HIV/AIDS - people living with HIV/AIDS: | NA |
| HIV/AIDS - deaths: | NA |
| Obesity - adult prevalence rate: | 23.5% (2014) |
| Children under the age of 5 years underweight: | 3.7% (2011) |
| Education expenditures: | 3.1% of GDP (2009) |
| Literacy: | definition: age 15 and over can read and write |
| Literacy: | total population: 99.8% |
| Literacy: | male: 99.8% |
| Literacy: | female: 99.8% (2015 est.) |
| School life expectancy (primary to tertiary education): | total: 15 years |
| School life expectancy (primary to tertiary education): | male: 15 years |
| School life expectancy (primary to tertiary education): | female: 15 years (2012) |
| Child labor - children ages 5-14: | total number: 59,254 |
| Child labor - children ages 5-14: | percentage: 2% (2006 est.) |
| Unemployment, youth ages 15-24: | total: 3.9% |
| Unemployment, youth ages 15-24: | male: 2.9% |
| Unemployment, youth ages 15-24: | female: 5.1% (2012 est.) |
