| People and Society | American Samoa |
| --- | --- |
| Population: | 50,826 (July 2018 est.) |
| Nationality: | noun: American Samoan(s) (US nationals) |
| Nationality: | adjective: American Samoan |
| Ethnic groups: | Pacific Islander 92.6% (includes Samoan 88.9%, Tongan 2.9%, other .8%), Asian 3.6% (includes Filipino 2.2%, other 1.4%), mixed 2.7%, other 1.2% (2010 est.) |
| Ethnic groups: | note: data represent population by ethnic origin or race |
| Languages: | Samoan 88.6% (closely related to Hawaiian and other Polynesian languages), English 3.9%, Tongan 2.7%, other Pacific islander 3%, other 1.8% (2010 est.) |
| Languages: | note: most people are bilingual |
| Religions: | Christian 98.3%, other 1%, unaffiliated 0.7% (2010 est.) |
| Age structure: | 0-14 years: 29.59% (male 7,732 /female 7,305) |
| Age structure: | 15-24 years: 18.42% (male 4,695 /female 4,669) |
| Age structure: | 25-54 years: 36.79% (male 9,255 /female 9,442) |
| Age structure: | 55-64 years: 8.96% (male 2,244 /female 2,310) |
| Age structure: | 65 years and over: 6.24% (male 1,486 /female 1,688) (2018 est.) |
| Median age: | total: 26.1 years (2018 est.) |
| Median age: | male: 25.6 years |
| Median age: | female: 26.5 years |
| Population growth rate: | -1.35% (2018 est.) |
| Birth rate: | 19 births/1,000 population (2018 est.) |
| Death rate: | 5.9 deaths/1,000 population (2018 est.) |
| Net migration rate: | -26.6 migrant(s)/1,000 population (2018 est.) |
| Urbanization: | urban population: 87.1% of total population (2019) |
| Urbanization: | rate of urbanization: 0.07% annual rate of change (2015-20 est.) |
| Major urban areas - population: | 49,000 PAGO PAGO (capital) (2018) |
| Sex ratio: | at birth: 1.06 male(s)/female |
| Sex ratio: | 0-14 years: 1.06 male(s)/female |
| Sex ratio: | 15-24 years: 1.01 male(s)/female |
| Sex ratio: | 25-54 years: 0.98 male(s)/female |
| Sex ratio: | 55-64 years: 0.97 male(s)/female |
| Sex ratio: | 65 years and over: 0.88 male(s)/female |
| Sex ratio: | total population: 1 male(s)/female (2018 est.) |
| Infant mortality rate: | total: 10.8 deaths/1,000 live births (2018 est.) |
| Infant mortality rate: | male: 12.7 deaths/1,000 live births |
| Infant mortality rate: | female: 8.9 deaths/1,000 live births |
| Life expectancy at birth: | total population: 73.9 years (2018 est.) |
| Life expectancy at birth: | male: 71.6 years |
| Life expectancy at birth: | female: 76.2 years |
| Total fertility rate: | 2.57 children born/woman (2018 est.) |
| Drinking water source: | improved: urban: 100% of population |
| Drinking water source: | rural: 100% of population |
| Drinking water source: | total: 100% of population |
| Drinking water source: | unimproved: urban: 0% of population |
| Drinking water source: | rural: 0% of population |
| Drinking water source: | total: 0% of population (2015 est.) |
| Sanitation facility access: | improved: urban: 62.5% of population (2015 est.) |
| Sanitation facility access: | rural: 62.5% of population (2015 est.) |
| Sanitation facility access: | total: 62.5% of population (2015 est.) |
| Sanitation facility access: | unimproved: urban: 37.5% of population (2015 est.) |
| Sanitation facility access: | rural: 37.5% of population (2015 est.) |
| Sanitation facility access: | total: 37.5% of population (2015 est.) |
| HIV/AIDS - adult prevalence rate: | NA |
| HIV/AIDS - people living with HIV/AIDS: | NA |
| HIV/AIDS - deaths: | NA |
| Major infectious diseases: | note: active local transmission of Zika virus by Aedes species mosquitoes has been identified in this country (as of August 2016); it poses an important risk (a large number of cases possible) among US citizens if bitten by an infective mosquito; other less common ways to get Zika are through sex, via blood transfusion, or during pregnancy, in which the pregnant woman passes Zika virus to her fetus |
| Education expenditures: | NA |
