| People and Society | Kenya |
| --- | --- |
| Nationality: | noun: Kenyan(s) |
| Nationality: | adjective: Kenyan |
| Ethnic groups: | Kikuyu 22%, Luhya 14%, Luo 13%, Kalenjin 12%, Kamba 11%, Kisii 6%, Meru 6%, other African 15%, non-African (Asian, European, and Arab) 1% |
| Languages: | English (official), Kiswahili (official), numerous indigenous languages |
| Religions: | Protestant 45%, Roman Catholic 33%, Muslim 10%, indigenous beliefs 10%, other 2% |
| Religions: | note: a large majority of Kenyans are Christian, but estimates for the percentage of the population that adheres to Islam or indigenous beliefs vary widely |
| Population: | 43,013,341 (July 2012 est.) |
| Population: | note: estimates for this country explicitly take into account the effects of excess mortality due to AIDS; this can result in lower life expectancy, higher infant mortality, higher death rates, lower population growth rates, and changes in the distribution of population by age and sex than would otherwise be expected |
| Age structure: | 0-14 years: 42.5% (male 9,176,000/ female 9,120,710) |
| Age structure: | 15-64 years: 54.8% (male 11,765,106/ female 11,787,917) |
| Age structure: | 65 years and over: 2.7% (male 512,921/ female 650,687) (2012 est.) |
| Age structure: | population pyramid: [] |
| Median age: | total: 18.8 years |
| Median age: | male: 18.7 years |
| Median age: | female: 18.9 years (2012 est.) |
| Population growth rate: | 2.444% (2012 est.) |
| Birth rate: | 31.93 births/1,000 population (2012 est.) |
| Death rate: | 7.26 deaths/1,000 population (July 2012 est.) |
| Net migration rate: | -0.23 migrant(s)/1,000 population (2012 est.) |
| Urbanization: | urban population: 22% of total population (2010) |
| Urbanization: | rate of urbanization: 4.2% annual rate of change (2010-15 est.) |
| Major cities - population: | NAIROBI (capital) 3.375 million; Mombassa 966,000 (2009) |
| Sex ratio: | at birth: 1.02 male(s)/female |
| Sex ratio: | under 15 years: 1.01 male(s)/female |
| Sex ratio: | 15-64 years: 1 male(s)/female |
| Sex ratio: | 65 years and over: 0.79 male(s)/female |
| Sex ratio: | total population: 1 male(s)/female (2011 est.) |
| Maternal mortality rate: | 360 deaths/100,000 live births (2010) |
| Infant mortality rate: | total: 43.61 deaths/1,000 live births |
| Infant mortality rate: | male: 48.41 deaths/1,000 live births |
| Infant mortality rate: | female: 38.71 deaths/1,000 live births (2012 est.) |
| Life expectancy at birth: | total population: 63.07 years |
| Life expectancy at birth: | male: 61.62 years |
| Life expectancy at birth: | female: 64.55 years (2012 est.) |
| Total fertility rate: | 3.98 children born/woman (2012 est.) |
| Health expenditures: | 12.2% of GDP (2009) |
| Physicians density: | 0.14 physicians/1,000 population (2002) |
| Hospital bed density: | 1.4 beds/1,000 population (2006) |
| Sanitation facility access: | improved: |
| Sanitation facility access: | urban: 27% of population |
| Sanitation facility access: | rural: 32% of population |
| Sanitation facility access: | total: 31% of population |
| unimproved: | urban: 73% of population |
| unimproved: | rural: 68% of population |
| unimproved: | total: 69% of population |
| HIV/AIDS - adult prevalence rate: | 6.3% (2009 est.) |
| HIV/AIDS - people living with HIV/AIDS: | 1.5 million (2009 est.) |
| HIV/AIDS - deaths: | 80,000 (2009 est.) |
| Major infectious diseases: | degree of risk: high |
| Major infectious diseases: | food or waterborne diseases: bacterial and protozoal diarrhea, hepatitis A, and typhoid fever |
| Major infectious diseases: | vectorborne disease: malaria and Rift Valley fever |
| Major infectious diseases: | water contact disease: schistosomiasis |
| Major infectious diseases: | animal contact disease: rabies (2009) |
| Children under the age of 5 years underweight: | 16.5% (2003) |
| Education expenditures: | 7% of GDP (2006) |
| Literacy: | definition: age 15 and over can read and write |
| Literacy: | total population: 87.4% |
| Literacy: | male: 90.6% |
| Literacy: | female: 84.2% (2010 est.) |
| School life expectancy (primary to tertiary education): | total: 11 years |
| School life expectancy (primary to tertiary education): | male: 11 years |
| School life expectancy (primary to tertiary education): | female: 11 years (2009) |
