| People and Society | KENYA |
| --- | --- |
| Nationality: | noun: Kenyan(s) |
| Nationality: | adjective: Kenyan |
| Ethnic groups: | Kikuyu 22%, Luhya 14%, Luo 13%, Kalenjin 12%, Kamba 11%, Kisii 6%, Meru 6%, other African 15%, non-African (Asian, European, and Arab) 1% |
| Languages: | English (official), Kiswahili (official), numerous indigenous languages |
| Religions: | Christian 82.5% (Protestant 47.4%, Catholic 23.3%, other 11.8%), Muslim 11.1%, Traditionalists 1.6%, other 1.7%, none 2.4%, unspecified 0.7% (2009 census) |
| Population: | 45,925,301 |
| Population: | note: estimates for this country explicitly take into account the effects of excess mortality due to AIDS; this can result in lower life expectancy, higher infant mortality, higher death rates, lower population growth rates, and changes in the distribution of population by age and sex than would otherwise be expected (July 2015 est.) |
| Age structure: | 0-14 years: 41.56% (male 9,572,641/female 9,512,607) |
| Age structure: | 15-24 years: 18.66% (male 4,280,499/female 4,289,960) |
| Age structure: | 25-54 years: 33.17% (male 7,700,801/female 7,530,526) |
| Age structure: | 55-64 years: 3.76% (male 784,775/female 944,041) |
| Age structure: | 65 years and over: 2.85% (male 568,784/female 740,667) (2015 est.) |
| population pyramid: | Dependency ratios: |
| population pyramid: | total dependency ratio: 80.9% |
| population pyramid: | youth dependency ratio: 75.8% |
| population pyramid: | elderly dependency ratio: 5.1% |
| population pyramid: | potential support ratio: 19.7% (2015 est.) |
| Median age: | total: 19.3 years |
| Median age: | male: 19.1 years |
| Median age: | female: 19.4 years (2015 est.) |
| Population growth rate: | 1.93% (2015 est.) |
| Birth rate: | 26.4 births/1,000 population (2015 est.) |
| Death rate: | 6.89 deaths/1,000 population (2015 est.) |
| Net migration rate: | -0.22 migrant(s)/1,000 population (2015 est.) |
| Urbanization: | urban population: 25.6% of total population (2015) |
| Urbanization: | rate of urbanization: 4.34% annual rate of change (2010-15 est.) |
| Major urban areas - population: | NAIROBI (capital) 3.915 million; Mombassa 1.104 million (2015) |
| Sex ratio: | at birth: 1.02 male(s)/female |
| Sex ratio: | 0-14 years: 1.01 male(s)/female |
| Sex ratio: | 15-24 years: 1 male(s)/female |
| Sex ratio: | 25-54 years: 1.02 male(s)/female |
| Sex ratio: | 55-64 years: 0.83 male(s)/female |
| Sex ratio: | 65 years and over: 0.77 male(s)/female |
| Sex ratio: | total population: 1 male(s)/female (2015 est.) |
| Infant mortality rate: | total: 39.38 deaths/1,000 live births |
| Infant mortality rate: | male: 43.92 deaths/1,000 live births |
| Infant mortality rate: | female: 34.75 deaths/1,000 live births (2015 est.) |
| Life expectancy at birth: | total population: 63.77 years |
| Life expectancy at birth: | male: 62.3 years |
| Life expectancy at birth: | female: 65.26 years (2015 est.) |
| Total fertility rate: | 3.31 children born/woman (2015 est.) |
| Contraceptive prevalence rate: | 45.5% (2008/09) |
| Health expenditures: | 4.5% of GDP (2013) |
| Physicians density: | 0.2 physicians/1,000 population (2013) |
| Hospital bed density: | 1.4 beds/1,000 population (2010) |
| Drinking water source: | improved: |
| Drinking water source: | urban: 81.6% of population |
| Drinking water source: | rural: 56.8% of population |
| Drinking water source: | total: 63.2% of population |
| unimproved: | urban: 18.4% of population |
| unimproved: | rural: 43.2% of population |
| unimproved: | total: 36.8% of population (2015 est.) |
| Sanitation facility access: | improved: |
| Sanitation facility access: | urban: 31.2% of population |
| Sanitation facility access: | rural: 29.7% of population |
| Sanitation facility access: | total: 30.1% of population |
| unimproved: | urban: 68.8% of population |
| unimproved: | rural: 70.3% of population |
| unimproved: | total: 69.9% of population (2015 est.) |
| HIV/AIDS - adult prevalence rate: | 5.3% (2014 est.) |
| HIV/AIDS - people living with HIV/AIDS: | 1,366,900 (2014 est.) |
| HIV/AIDS - deaths: | 33,000 (2014 est.) |
| Major infectious diseases: | degree of risk: high |
| Major infectious diseases: | food or waterborne diseases: bacterial and protozoal diarrhea, hepatitis A, and typhoid fever |
| Major infectious diseases: | vectorborne disease: malaria, dengue fever, and Rift Valley fever |
| Major infectious diseases: | water contact disease: schistosomiasis |
| Major infectious diseases: | animal contact disease: rabies (2013) |
| Obesity - adult prevalence rate: | 5.9% (2014) |
| Children under the age of 5 years underweight: | 16.4% (2009) |
| Education expenditures: | 6.6% of GDP (2010) |
| Literacy: | definition: age 15 and over can read and write |
| Literacy: | total population: 78% |
| Literacy: | male: 81.1% |
| Literacy: | female: 74.9% (2015 est.) |
| School life expectancy (primary to tertiary education): | total: 11 years |
| School life expectancy (primary to tertiary education): | male: 11 years |
| School life expectancy (primary to tertiary education): | female: 11 years (2009) |
| Child labor - children ages 5-14: | total number: 2,146,058 |
| Child labor - children ages 5-14: | percentage: 26% (2000 est.) |
