| People and Society | KENYA |
| --- | --- |
| Population: | 47,615,739 |
| Population: | note: estimates for this country explicitly take into account the effects of excess mortality due to AIDS; this can result in lower life expectancy, higher infant mortality, higher death rates, lower population growth rates, and changes in the distribution of population by age and sex than would otherwise be expected (July 2017 est.) |
| Nationality: | noun: Kenyan(s) |
| Nationality: | adjective: Kenyan |
| Ethnic groups: | Kikuyu 22%, Luhya 14%, Luo 13%, Kalenjin 12%, Kamba 11%, Kisii 6%, Meru 6%, other African 15%, non-African (Asian, European, and Arab) 1% |
| Languages: | English (official), Kiswahili (official), numerous indigenous languages |
| Religions: | Christian 83% (Protestant 47.7%, Catholic 23.4%, other Christian 11.9%), Muslim 11.2%, Traditionalists 1.7%, other 1.6%, none 2.4%, unspecified 0.2% (2009 est.) |
| Demographic profile: | Kenya has experienced dramatic population growth since the mid-20th century as a result of its high birth rate and its declining mortality rate. More than 40% of Kenyans are under the age of 15 because of sustained high fertility, early marriage and childbearing, and an unmet need for family planning. Kenya’s persistent rapid population growth strains the labor market, social services, arable land, and natural resources. Although Kenya in 1967 was the first sub-Saharan country to launch a nationwide family planning program, progress in reducing the birth rate has largely stalled since the late 1990s, when the government decreased its support for family planning to focus on the HIV epidemic. Government commitment and international technical support spurred Kenyan contraceptive use, decreasing the fertility rate (children per woman) from about 8 in the late 1970s to less than 5 children twenty years later, but it has plateaued at just over 3 children today. |
| Demographic profile: | Kenya is a source of emigrants and a host country for refugees. In the 1960s and 1970s, Kenyans pursued higher education in the UK because of colonial ties, but as British immigration rules tightened, the US, the then Soviet Union, and Canada became attractive study destinations. Kenya’s stagnant economy and political problems during the 1980s and 1990s led to an outpouring of Kenyan students and professionals seeking permanent opportunities in the West and southern Africa. Nevertheless, Kenya’s relative stability since its independence in 1963 has attracted hundreds of thousands of refugees escaping violent conflicts in neighboring countries; Kenya shelters more than 300,000 Somali refugees as of April 2017. |
| Age structure: | 0-14 years: 40.02% (male 9,557,274/female 9,497,870) |
| Age structure: | 15-24 years: 19.15% (male 4,552,448/female 4,567,894) |
| Age structure: | 25-54 years: 33.91% (male 8,170,264/female 7,976,751) |
| Age structure: | 55-64 years: 3.92% (male 856,092/female 1,009,075) |
| Age structure: | 65 years and over: 3% (male 614,751/female 813,320) (2017 est.) |
| Dependency ratios: | total dependency ratio: 78.3 |
| Dependency ratios: | youth dependency ratio: 73.7 |
| Dependency ratios: | elderly dependency ratio: 4.6 |
| Dependency ratios: | potential support ratio: 21.7 (2015 est.) |
| Median age: | total: 19.7 years |
| Median age: | male: 19.6 years |
| Median age: | female: 19.9 years (2017 est.) |
| Population growth rate: | 1.69% (2017 est.) |
| Birth rate: | 23.9 births/1,000 population (2017 est.) |
| Death rate: | 6.7 deaths/1,000 population (2017 est.) |
| Net migration rate: | -0.2 migrant(s)/1,000 population (2017 est.) |
| Population distribution: | population heavily concentrated in the west along the shore of Lake Victoria; other areas of high density include the capital of Nairobi, and in the southeast along the Indian Ocean coast |
| Urbanization: | urban population: 26.5% of total population (2017) |
| Urbanization: | rate of urbanization: 4.15% annual rate of change (2015-20 est.) |
| Major urban areas - population: | NAIROBI (capital) 3.915 million; Mombassa 1.104 million (2015) |
| Sex ratio: | at birth: 1.02 male(s)/female |
| Sex ratio: | 0-14 years: 1.01 male(s)/female |
| Sex ratio: | 15-24 years: 1 male(s)/female |
| Sex ratio: | 25-54 years: 1.02 male(s)/female |
| Sex ratio: | 55-64 years: 0.84 male(s)/female |
| Sex ratio: | 65 years and over: 0.77 male(s)/female |
| Sex ratio: | total population: 1 male(s)/female (2016 est.) |
| Mother's mean age at first birth: | 20.3 years |
| Mother's mean age at first birth: | note: median age at first birth among women 25-29 (2014 est.) |
| Maternal mortality rate: | 510 deaths/100,000 live births (2015 est.) |
| Infant mortality rate: | total: 37.1 deaths/1,000 live births |
