| People and Society | Bahrain |
| --- | --- |
| Population: | 1,505,003 (July 2020 est.) |
| Population: | note: immigrants make up approximately 48% of the total population, according to UN data (2017) |
| Nationality: | noun: Bahraini(s) |
| Nationality: | adjective: Bahraini |
| Ethnic groups: | Bahraini 46%, Asian 45.5%, other Arab 4.7%, African 1.6%, European 1%, other 1.2% (includes Gulf Co-operative country nationals, North and South Americans, and Oceanians) (2010 est.) |
| Languages: | Arabic (official), English, Farsi, Urdu |
| Religions: | Muslim 73.7%, Christian 9.3%, Jewish 0.1%, other 16.9% (2017 est.) |
| Religions: | MENA religious affiliation: [Adobe] PDF |
| Age structure: | 0-14 years: 18.45% (male 141,039/female 136,687) |
| Age structure: | 15-24 years: 15.16% (male 129,310/female 98,817) |
| Age structure: | 25-54 years: 56.14% (male 550,135/female 294,778) |
| Age structure: | 55-64 years: 6.89% (male 64,761/female 38,870) |
| Age structure: | 65 years and over: 3.36% (male 25,799/female 24,807) (2020 est.) |
| Dependency ratios: | total dependency ratio: 26.5 |
| Dependency ratios: | youth dependency ratio: 23.1 |
| Dependency ratios: | elderly dependency ratio: 3.4 |
| Dependency ratios: | potential support ratio: 29.8 (2020 est.) |
| Median age: | total: 32.9 years |
| Median age: | male: 34.4 years |
| Median age: | female: 30.3 years (2020 est.) |
| Population growth rate: | 2.08% (2020 est.) |
| Birth rate: | 12.7 births/1,000 population (2020 est.) |
| Death rate: | 2.8 deaths/1,000 population (2020 est.) |
| Net migration rate: | 10.6 migrant(s)/1,000 population (2020 est.) |
| Population distribution: | smallest population of the Gulf States, but urbanization rate exceeds 90%; largest settlement concentration is found on the far northern end of the island in and around Manamah and Al Muharraq |
| Urbanization: | urban population: 89.5% of total population (2020) |
| Urbanization: | rate of urbanization: 4.38% annual rate of change (2015-20 est.) |
| Urbanization: | total population growth rate v. urban population growth rate, 2000-2030: [Adobe] PDF |
| Major urban areas - population: | 635,000 MANAMA (capital) (2020) |
| Sex ratio: | at birth: 1.03 male(s)/female |
| Sex ratio: | 0-14 years: 1.03 male(s)/female |
| Sex ratio: | 15-24 years: 1.31 male(s)/female |
| Sex ratio: | 25-54 years: 1.87 male(s)/female |
| Sex ratio: | 55-64 years: 1.67 male(s)/female |
| Sex ratio: | 65 years and over: 1.04 male(s)/female |
| Sex ratio: | total population: 1.53 male(s)/female (2020 est.) |
| Maternal mortality rate: | 14 deaths/100,000 live births (2017 est.) |
| Infant mortality rate: | total: 8.3 deaths/1,000 live births |
| Infant mortality rate: | male: 9.2 deaths/1,000 live births |
| Infant mortality rate: | female: 7.4 deaths/1,000 live births (2020 est.) |
| Life expectancy at birth: | total population: 79.4 years |
| Life expectancy at birth: | male: 77.1 years |
| Life expectancy at birth: | female: 81.8 years (2020 est.) |
| Total fertility rate: | 1.69 children born/woman (2020 est.) |
| Drinking water source: | improved: total: 100% of population |
| Drinking water source: | unimproved: total: 0% of population (2017 est.) |
| Current Health Expenditure: | 4.7% (2017) |
| Physicians density: | 0.93 physicians/1,000 population (2015) |
| Hospital bed density: | 1.7 beds/1,000 population (2017) |
| Sanitation facility access: | improved: total: 100% of population |
| Sanitation facility access: | unimproved: total: 0% of population (2017 est.) |
| HIV/AIDS - adult prevalence rate: | <.1% (2017 est.) |
| HIV/AIDS - people living with HIV/AIDS: | <500 (2017 est.) |
| HIV/AIDS - deaths: | <100 (2017 est.) |
| Obesity - adult prevalence rate: | 29.8% (2016) |
| Education expenditures: | 2.3% of GDP (2017) |
| Literacy: | definition: age 15 and over can read and write |
| Literacy: | total population: 97.5% |
| Literacy: | male: 99.9% |
| Literacy: | female: 94.9% (2018) |
| School life expectancy (primary to tertiary education): | total: 16 years |
| School life expectancy (primary to tertiary education): | male: 16 years |
| School life expectancy (primary to tertiary education): | female: 17 years (2019) |
| Unemployment, youth ages 15-24: | total: 5.3% |
| Unemployment, youth ages 15-24: | male: 2.6% |
| Unemployment, youth ages 15-24: | female: 12.2% (2012 est.) |
