| People and Society | BAHRAIN |
| --- | --- |
| Nationality: | noun: Bahraini(s) |
| Nationality: | adjective: Bahraini |
| Ethnic groups: | Bahraini 46%, Asian 45.5%, other Arabs 4.7%, African 1.6%, European 1%, other 1.2% (includes Gulf Co-operative country nationals, North and South Americans, and Oceanians) (2010 est.) |
| Languages: | Arabic (official), English, Farsi, Urdu |
| Religions: | Muslim 70.3%, Christian 14.5%, Hindu 9.8%, Buddhist 2.5%, Jewish 0.6%, folk religion |
| religious affiliation: | Population: |
| religious affiliation: | 1,346,613 |
| religious affiliation: | note: immigrants make up almost 55% of the total population, according to UN data (2013) (July 2015 est.) |
| Age structure: | 0-14 years: 19.48% (male 133,201/female 129,140) |
| Age structure: | 15-24 years: 15.84% (male 120,073/female 93,182) |
| Age structure: | 25-54 years: 56.13% (male 494,405/female 261,399) |
| Age structure: | 55-64 years: 5.79% (male 50,466/female 27,501) |
| Age structure: | 65 years and over: 2.77% (male 18,092/female 19,154) (2015 est.) |
| population pyramid: | Dependency ratios: |
| population pyramid: | total dependency ratio: 31.4% |
| population pyramid: | youth dependency ratio: 28.2% |
| population pyramid: | elderly dependency ratio: 3.2% |
| population pyramid: | potential support ratio: 31.6% (2015 est.) |
| Median age: | total: 31.8 years |
| Median age: | male: 33.3 years |
| Median age: | female: 29.1 years (2015 est.) |
| Population growth rate: | 2.41% (2015 est.) |
| Birth rate: | 13.66 births/1,000 population (2015 est.) |
| Death rate: | 2.69 deaths/1,000 population (2015 est.) |
| Net migration rate: | 13.09 migrant(s)/1,000 population (2015 est.) |
| Urbanization: | urban population: 88.8% of total population (2015) |
| Urbanization: | rate of urbanization: 1.71% annual rate of change (2010-15 est.) |
| Major urban areas - population: | MANAMA (capital) 411,000 (2015) |
| Sex ratio: | at birth: 1.03 male(s)/female |
| Sex ratio: | 0-14 years: 1.03 male(s)/female |
| Sex ratio: | 15-24 years: 1.29 male(s)/female |
| Sex ratio: | 25-54 years: 1.89 male(s)/female |
| Sex ratio: | 55-64 years: 1.84 male(s)/female |
| Sex ratio: | 65 years and over: 0.95 male(s)/female |
| Sex ratio: | total population: 1.54 male(s)/female (2015 est.) |
| Maternal mortality rate: | 15 deaths/100,000 live births (2015 est.) |
| Infant mortality rate: | total: 9.35 deaths/1,000 live births |
| Infant mortality rate: | male: 10.4 deaths/1,000 live births |
| Infant mortality rate: | female: 8.26 deaths/1,000 live births (2015 est.) |
| Life expectancy at birth: | total population: 78.73 years |
| Life expectancy at birth: | male: 76.53 years |
| Life expectancy at birth: | female: 80.98 years (2015 est.) |
| Total fertility rate: | 1.78 children born/woman (2015 est.) |
| Health expenditures: | 4.9% of GDP (2013) |
| Physicians density: | 0.92 physicians/1,000 population (2012) |
| Hospital bed density: | 2.1 beds/1,000 population (2012) |
| Drinking water source: | improved: |
| Drinking water source: | urban: 100% of population |
| Drinking water source: | rural: 100% of population |
| Drinking water source: | total: 100% of population |
| unimproved: | urban: 0% of population |
| unimproved: | rural: 0% of population |
| unimproved: | total: 0% of population (2015 est.) |
| Sanitation facility access: | improved: |
| Sanitation facility access: | urban: 99.2% of population |
| Sanitation facility access: | rural: 99.2% of population |
| Sanitation facility access: | total: 99.2% of population |
| unimproved: | urban: 0.8% of population |
| unimproved: | rural: 0.8% of population |
| unimproved: | total 0.8% of population (2015 est.) |
| HIV/AIDS - adult prevalence rate: | NA |
| HIV/AIDS - people living with HIV/AIDS: | NA |
| HIV/AIDS - deaths: | NA |
| Obesity - adult prevalence rate: | 34.1% (2014) |
| Education expenditures: | 2.7% of GDP (2012) |
| Literacy: | definition: age 15 and over can read and write |
| Literacy: | total population: 95.7% |
| Literacy: | male: 96.9% |
| Literacy: | female: 93.5% (2015 est.) |
| Child labor - children ages 5-14: | total number: 5,530 |
| Child labor - children ages 5-14: | percentage: 5% (2000 est.) |
| Unemployment, youth ages 15-24: | total: 5.3% |
| Unemployment, youth ages 15-24: | male: 2.6% |
| Unemployment, youth ages 15-24: | female: 12.2% (2012 est.) |
