| People and Society | CROATIA |
| --- | --- |
| Nationality: | noun: Croat(s), Croatian(s) |
| Nationality: | adjective: Croatian |
| Ethnic groups: | Croat 90.4%, Serb 4.4%, other 4.4% (including Bosniak, Hungarian, Slovene, Czech, and Roma), unspecified 0.8% (2011 est.) |
| Languages: | Croatian (official) 95.6%, Serbian 1.2%, other 3% (including Hungarian, Czech, Slovak, and Albanian), unspecified 0.2% (2011 est.) |
| Religions: | Roman Catholic 86.3%, Orthodox 4.4%, Muslim 1.5%, other 1.5%, unspecified 2.5%, not religious or atheist 3.8% (2011 est.) |
| Population: | 4,464,844 (July 2015 est.) |
| Age structure: | 0-14 years: 14.42% (male 330,355/female 313,312) |
| Age structure: | 15-24 years: 11.92% (male 272,249/female 259,935) |
| Age structure: | 25-54 years: 40.88% (male 903,896/female 921,337) |
| Age structure: | 55-64 years: 14.55% (male 314,697/female 335,007) |
| Age structure: | 65 years and over: 18.23% (male 331,889/female 482,167) (2015 est.) |
| population pyramid: | Dependency ratios: |
| population pyramid: | total dependency ratio: 51.1% |
| population pyramid: | youth dependency ratio: 22.5% |
| population pyramid: | elderly dependency ratio: 28.6% |
| population pyramid: | potential support ratio: 3.5% (2015 est.) |
| Median age: | total: 42.63 years |
| Median age: | male: 40.5 years |
| Median age: | female: 44.1 years (2015 est.) |
| Population growth rate: | -0.13% (2015 est.) |
| Birth rate: | 9.45 births/1,000 population (2015 est.) |
| Death rate: | 12.18 deaths/1,000 population (2015 est.) |
| Net migration rate: | 1.39 migrant(s)/1,000 population (2015 est.) |
| Urbanization: | urban population: 59% of total population (2015) |
| Urbanization: | rate of urbanization: 0.11% annual rate of change (2010-15 est.) |
| Major urban areas - population: | ZAGREB (capital) 687,000 (2015) |
| Sex ratio: | at birth: 1.06 male(s)/female |
| Sex ratio: | 0-14 years: 1.05 male(s)/female |
| Sex ratio: | 15-24 years: 1.05 male(s)/female |
| Sex ratio: | 25-54 years: 0.98 male(s)/female |
| Sex ratio: | 55-64 years: 0.94 male(s)/female |
| Sex ratio: | 65 years and over: 0.69 male(s)/female |
| Sex ratio: | total population: 0.93 male(s)/female (2015 est.) |
| Infant mortality rate: | total: 5.77 deaths/1,000 live births |
| Infant mortality rate: | male: 5.91 deaths/1,000 live births |
| Infant mortality rate: | female: 5.62 deaths/1,000 live births (2015 est.) |
| Life expectancy at birth: | total population: 76.61 years |
| Life expectancy at birth: | male: 73.02 years |
| Life expectancy at birth: | female: 80.4 years (2015 est.) |
| Total fertility rate: | 1.46 children born/woman (2015 est.) |
| Health expenditures: | 7.3% of GDP (2013) |
| Physicians density: | 2.84 physicians/1,000 population (2011) |
| Hospital bed density: | 5.9 beds/1,000 population (2012) |
| Drinking water source: | improved: |
| Drinking water source: | urban: 99.6% of population |
| Drinking water source: | rural: 99.7% of population |
| Drinking water source: | total: 99.6% of population |
| unimproved: | urban: 0.4% of population |
| unimproved: | rural: 0.3% of population |
| unimproved: | total: 0.4% of population (2015 est.) |
| Sanitation facility access: | improved: |
| Sanitation facility access: | urban: 97.8% of population |
| Sanitation facility access: | rural: 95.8% of population |
| Sanitation facility access: | total: 97% of population |
| unimproved: | urban: 2.2% of population |
| unimproved: | rural: 4.2% of population |
| unimproved: | total: 3% of population (2015 est.) |
| HIV/AIDS - adult prevalence rate: | NA |
| HIV/AIDS - people living with HIV/AIDS: | NA |
| HIV/AIDS - deaths: | NA |
| Major infectious diseases: | degree of risk: intermediate |
| Major infectious diseases: | vectorborne diseases: tickborne encephalitis |
| Major infectious diseases: | note: highly pathogenic H5N1 avian influenza has been identified in this country; it poses a negligible risk with extremely rare cases possible among US citizens who have close contact with birds (2013) |
| Obesity - adult prevalence rate: | 25.6% (2014) |
| Education expenditures: | 4.2% of GDP (2011) |
| Literacy: | definition: age 15 and over can read and write |
| Literacy: | total population: 99.3% |
| Literacy: | male: 99.7% |
| Literacy: | female: 98.9% (2015 est.) |
| School life expectancy (primary to tertiary education): | total: 15 years |
| School life expectancy (primary to tertiary education): | male: 14 years |
| School life expectancy (primary to tertiary education): | female: 15 years (2012) |
| Unemployment, youth ages 15-24: | total: 43.1% |
| Unemployment, youth ages 15-24: | male: 42.3% |
| Unemployment, youth ages 15-24: | female: 44.3% (2012 est.) |
