| People and Society | Croatia |
| --- | --- |
| Nationality: | noun: Croat(s), Croatian(s) |
| Nationality: | adjective: Croatian |
| Ethnic groups: | Croat 89.6%, Serb 4.5%, other 5.9% (including Bosniak, Hungarian, Slovene, Czech, and Roma) (2001 census) |
| Languages: | Croatian (official) 96.1%, Serbian 1%, other and undesignated (including Italian, Hungarian, Czech, Slovak, and German) 2.9% (2001 census) |
| Religions: | Roman Catholic 87.8%, Orthodox 4.4%, other Christian 0.4%, Muslim 1.3%, other and unspecified 0.9%, none 5.2% (2001 census) |
| Population: | 4,483,804 (July 2011 est.) |
| Age structure: | 0-14 years: 15.1% (male 346,553/female 328,677) |
| Age structure: | 15-64 years: 68.1% (male 1,516,884/female 1,536,065) |
| Age structure: | 65 years and over: 16.9% (male 296,268/female 459,357) (2011 est.) |
| Median age: | total: 41.4 years |
| Median age: | male: 39.5 years |
| Median age: | female: 43.3 years (2011 est.) |
| Population growth rate: | -0.076% (2011 est.) |
| Birth rate: | 9.6 births/1,000 population (2011 est.) |
| Death rate: | 11.91 deaths/1,000 population (July 2011 est.) |
| Net migration rate: | 1.55 migrant(s)/1,000 population (2011 est.) |
| Urbanization: | urban population: 58% of total population (2010) |
| Urbanization: | rate of urbanization: 0.4% annual rate of change (2010-15 est.) |
| Major cities - population: | ZAGREB (capital) 685,000 (2009) |
| Sex ratio: | at birth: 1.055 male(s)/female |
| Sex ratio: | under 15 years: 1.06 male(s)/female |
| Sex ratio: | 15-64 years: 0.99 male(s)/female |
| Sex ratio: | 65 years and over: 0.64 male(s)/female |
| Sex ratio: | total population: 0.93 male(s)/female (2011 est.) |
| Maternal mortality rate: | 14 deaths/100,000 live births (2008) |
| Infant mortality rate: | total: 6.16 deaths/1,000 live births |
| Infant mortality rate: | male: 6.24 deaths/1,000 live births |
| Infant mortality rate: | female: 6.08 deaths/1,000 live births (2011 est.) |
| Life expectancy at birth: | total population: 75.79 years |
| Life expectancy at birth: | male: 72.17 years |
| Life expectancy at birth: | female: 79.6 years (2011 est.) |
| Total fertility rate: | 1.43 children born/woman (2011 est.) |
| Health expenditures: | 7.8% of GDP (2009) |
| Physicians density: | 2.59 physicians/1,000 population (2007) |
| Hospital bed density: | 5.49 beds/1,000 population (2007) |
| Drinking water source: | improved: |
| Drinking water source: | urban: 100% of population |
| Drinking water source: | rural: 97% of population |
| Drinking water source: | total: 99% of population |
| unimproved: | urban: 0% of population |
| unimproved: | rural: 3% of population |
| unimproved: | total: 1% of population (2008) |
| Sanitation facility access: | improved: |
| Sanitation facility access: | urban: 99% of population |
| Sanitation facility access: | rural: 98% of population |
| Sanitation facility access: | total: 99% of population |
| unimproved: | urban: 1% of population |
| unimproved: | rural: 2% of population |
| unimproved: | total: 1% of population (2008) |
| HIV/AIDS - adult prevalence rate: | less than 0.1% (2009 est.) |
| HIV/AIDS - people living with HIV/AIDS: | fewer than 1,000 (2009 est.) |
| HIV/AIDS - deaths: | fewer than 100 (2009 est.) |
| Major infectious diseases: | degree of risk: intermediate |
| Major infectious diseases: | food or waterborne diseases: bacterial diarrhea |
| Major infectious diseases: | vectorborne diseases: tickborne encephalitis |
| Major infectious diseases: | note: highly pathogenic H5N1 avian influenza has been identified in this country; it poses a negligible risk with extremely rare cases possible among US citizens who have close contact with birds (2009) |
| Obesity - adult prevalence rate: | 22.3% (2003) |
| Education expenditures: | 4.6% of GDP (2009) |
| Literacy: | definition: age 15 and over can read and write |
| Literacy: | total population: 98.1% |
| Literacy: | male: 99.3% |
| Literacy: | female: 97.1% (2001 census) |
| School life expectancy (primary to tertiary education): | total: 14 years |
| School life expectancy (primary to tertiary education): | male: 13 years |
| School life expectancy (primary to tertiary education): | female: 14 years (2008) |
| Unemployment, youth ages 15-24: | total: 21.9% |
| Unemployment, youth ages 15-24: | male: 18.5% |
| Unemployment, youth ages 15-24: | female: 27.2% (2008) |
