| People and Society | Dominican Republic |
| --- | --- |
| Nationality: | noun: Dominican(s) |
| Nationality: | adjective: Dominican |
| Ethnic groups: | mixed 73%, white 16%, black 11% |
| Languages: | Spanish (official) |
| Religions: | Roman Catholic 95%, other 5% |
| Population: | 9,956,648 (July 2011 est.) |
| Age structure: | 0-14 years: 29.5% (male 1,493,251/female 1,441,735) |
| Age structure: | 15-64 years: 64% (male 3,251,419/female 3,120,540) |
| Age structure: | 65 years and over: 6.5% (male 300,245/female 349,458) (2011 est.) |
| Median age: | total: 26.1 years |
| Median age: | male: 26 years |
| Median age: | female: 26.3 years (2011 est.) |
| Population growth rate: | 1.331% (2011 est.) |
| Birth rate: | 19.67 births/1,000 population (2011 est.) |
| Death rate: | 4.35 deaths/1,000 population (July 2011 est.) |
| Net migration rate: | -2.01 migrant(s)/1,000 population (2011 est.) |
| Urbanization: | urban population: 69% of total population (2010) |
| Urbanization: | rate of urbanization: 2.1% annual rate of change (2010-15 est.) |
| Major cities - population: | SANTO DOMINGO (capital) 2.138 million (2009) |
| Sex ratio: | at birth: 1.04 male(s)/female |
| Sex ratio: | under 15 years: 1.04 male(s)/female |
| Sex ratio: | 15-64 years: 1.04 male(s)/female |
| Sex ratio: | 65 years and over: 0.86 male(s)/female |
| Sex ratio: | total population: 1.03 male(s)/female (2011 est.) |
| Maternal mortality rate: | 100 deaths/100,000 live births (2008) |
| Infant mortality rate: | total: 22.22 deaths/1,000 live births |
| Infant mortality rate: | male: 24.21 deaths/1,000 live births |
| Infant mortality rate: | female: 20.14 deaths/1,000 live births (2011 est.) |
| Life expectancy at birth: | total population: 77.31 years |
| Life expectancy at birth: | male: 75.16 years |
| Life expectancy at birth: | female: 79.55 years (2011 est.) |
| Total fertility rate: | 2.44 children born/woman (2011 est.) |
| Health expenditures: | 6.1% of GDP (2009) |
| Physicians density: | 1.88 physicians/1,000 population (2000) |
| Hospital bed density: | 1 beds/1,000 population (2009) |
| Drinking water source: | improved: |
| Drinking water source: | urban: 87% of population |
| Drinking water source: | rural: 84% of population |
| Drinking water source: | total: 86% of population |
| unimproved: | urban: 13% of population |
| unimproved: | rural: 16% of population |
| unimproved: | total: 14% of population (2008) |
| Sanitation facility access: | improved: |
| Sanitation facility access: | urban: 87% of population |
| Sanitation facility access: | rural: 74% of population |
| Sanitation facility access: | total: 83% of population |
| unimproved: | urban: 13% of population |
| unimproved: | rural: 26% of population |
| unimproved: | total: 17% of population (2008) |
| HIV/AIDS - adult prevalence rate: | 0.9% (2009 est.) |
| HIV/AIDS - people living with HIV/AIDS: | 57,000 (2009 est.) |
| HIV/AIDS - deaths: | 2,300 (2009 est.) |
| Major infectious diseases: | degree of risk: high |
| Major infectious diseases: | food or waterborne diseases: bacterial diarrhea, hepatitis A, and typhoid fever |
| Major infectious diseases: | vectorborne diseases: dengue fever and malaria |
| Major infectious diseases: | water contact disease: leptospirosis (2009) |
| Children under the age of 5 years underweight: | 3.4% (2007) |
| Education expenditures: | 2.3% of GDP (2009) |
| Literacy: | definition: age 15 and over can read and write |
| Literacy: | total population: 87% |
| Literacy: | male: 86.8% |
| Literacy: | female: 87.2% (2002 census) |
| School life expectancy (primary to tertiary education): | total: 12 years |
| School life expectancy (primary to tertiary education): | male: 11 years |
| School life expectancy (primary to tertiary education): | female: 13 years (2004) |
| Unemployment, youth ages 15-24: | total: 30.3% |
| Unemployment, youth ages 15-24: | male: 21.2% |
| Unemployment, youth ages 15-24: | female: 44.5% (2007) |
