| People and Society | MALAWI |
| --- | --- |
| Population: | 19,196,246 |
| Population: | note: estimates for this country explicitly take into account the effects of excess mortality due to AIDS; this can result in lower life expectancy, higher infant mortality, higher death rates, lower population growth rates, and changes in the distribution of population by age and sex than would otherwise be expected (July 2017 est.) |
| Nationality: | noun: Malawian(s) |
| Nationality: | adjective: Malawian |
| Ethnic groups: | Chewa 35.1%, Lomwe 18.9%, Yao 13.1%, Ngoni 12%, Tumbuka 9.4%, Sena 3.5%, Tonga 1.8%, Nyanja 1%, Nkhonde 0.9%, other 1.8% (2015-16 est.) |
| Languages: | English (official), Chichewa (common), Chinyanja, Chiyao, Chitumbuka, Chilomwe, Chinkhonde, Chingoni, Chisena, Chitonga, Chinyakyusa, Chilambya |
| Religions: | Protestant 26.9%, Catholic 18.1%, other Christian 41.9%, Muslim 12.5%, other 0.1%, none 0.5% (2015 est.) |
| Demographic profile: | Malawi has made great improvements in maternal and child health, but has made less progress in reducing its high fertility rate. In both rural and urban areas, very high proportions of mothers are receiving prenatal care and skilled birth assistance, and most children are being vaccinated. Malawi’s fertility rate, however, has only declined slowly, decreasing from more than 7 children per woman in the 1980s to about 5.5 today. Nonetheless, Malawians prefer smaller families than in the past, and women are increasingly using contraceptives to prevent or space pregnancies. Rapid population growth and high population density is putting pressure on Malawi’s land, water, and forest resources. Reduced plot sizes and increasing vulnerability to climate change, further threaten the sustainability of Malawi’s agriculturally based economy and will worsen food shortages. About 80% of the population is employed in agriculture. |
| Demographic profile: | Historically, Malawians migrated abroad in search of work, primarily to South Africa and present-day Zimbabwe, but international migration became uncommon after the 1970s, and most migration in recent years has been internal. During the colonial period, Malawians regularly migrated to southern Africa as contract farm laborers, miners, and domestic servants. In the decade and a half after independence in 1964, the Malawian Government sought to transform its economy from one dependent on small-scale farms to one based on estate agriculture. The resulting demand for wage labor induced more than 300,000 Malawians to return home between the mid-1960s and the mid-1970s. In recent times, internal migration has generally been local, motivated more by marriage than economic reasons. |
| Age structure: | 0-14 years: 46.34% (male 4,427,403/female 4,468,120) |
| Age structure: | 15-24 years: 20.55% (male 1,956,360/female 1,988,123) |
| Age structure: | 25-54 years: 27.41% (male 2,612,840/female 2,648,997) |
| Age structure: | 55-64 years: 3.01% (male 275,998/female 302,286) |
| Age structure: | 65 years and over: 2.69% (male 227,582/female 288,537) (2017 est.) |
| Dependency ratios: | total dependency ratio: 91 |
| Dependency ratios: | youth dependency ratio: 85.3 |
| Dependency ratios: | elderly dependency ratio: 5.7 |
| Dependency ratios: | potential support ratio: 17.4 (2015 est.) |
| Median age: | total: 16.5 years |
| Median age: | male: 16.4 years |
| Median age: | female: 16.7 years (2017 est.) |
| Population growth rate: | 3.31% (2017 est.) |
| Birth rate: | 41 births/1,000 population (2017 est.) |
| Death rate: | 7.9 deaths/1,000 population (2017 est.) |
| Net migration rate: | 0 migrant(s)/1,000 population (2017 est.) |
| Population distribution: | population density is highest south of Lake Nyasa |
| Urbanization: | urban population: 16.6% of total population (2017) |
| Urbanization: | rate of urbanization: 4.02% annual rate of change (2015-20 est.) |
| Major urban areas - population: | LILONGWE (capital) 905,000; Blantyre-Limbe 808,000 (2015) |
| Sex ratio: | at birth: 1.02 male(s)/female |
| Sex ratio: | 0-14 years: 0.99 male(s)/female |
| Sex ratio: | 15-24 years: 0.99 male(s)/female |
| Sex ratio: | 25-54 years: 0.99 male(s)/female |
| Sex ratio: | 55-64 years: 0.91 male(s)/female |
| Sex ratio: | 65 years and over: 0.79 male(s)/female |
| Sex ratio: | total population: 0.98 male(s)/female (2016 est.) |
| Mother's mean age at first birth: | 18.9 years |
| Mother's mean age at first birth: | note: median age at first birth among women 25-29 (2015/16 est.) |
| Maternal mortality rate: | 634 deaths/100,000 live births (2015 est.) |
| Infant mortality rate: | total: 43.4 deaths/1,000 live births |
| Infant mortality rate: | male: 50 deaths/1,000 live births |
| Infant mortality rate: | female: 36.7 deaths/1,000 live births (2017 est.) |
| Life expectancy at birth: | total population: 61.7 years |
| Life expectancy at birth: | male: 59.7 years |
