| People and Society | Malawi |
| --- | --- |
| Nationality: | noun: Malawian(s) |
| Nationality: | adjective: Malawian |
| Ethnic groups: | Chewa 32.6%, Lomwe 17.6%, Yao 13.5%, Ngoni 11.5%, Tumbuka 8.8%, Nyanja 5.8%, Sena 3.6%, Tonga 2.1%, Ngonde 1%, other 3.5% |
| Languages: | Chichewa (official) 57.2%, Chinyanja 12.8%, Chiyao 10.1%, Chitumbuka 9.5%, Chisena 2.7%, Chilomwe 2.4%, Chitonga 1.7%, other 3.6% (1998 census) |
| Religions: | Christian 82.7%, Muslim 13%, other 1.9%, none 2.5% (1998 census) |
| Population: | 16,777,547 (July 2013 est.) |
| Population: | note: estimates for this country explicitly take into account the effects of excess mortality due to AIDS; this can result in lower life expectancy, higher infant mortality, higher death rates, lower population growth rates, and changes in the distribution of population by age and sex than would otherwise be expected |
| Age structure: | 0-14 years: 44.7% (male 3,754,206/female 3,738,521) |
| Age structure: | 15-24 years: 20.6% (male 1,723,098/female 1,725,326) |
| Age structure: | 25-54 years: 28.5% (male 2,422,642/female 2,364,137) |
| Age structure: | 55-64 years: 3.6% (male 269,058/female 327,158) |
| Age structure: | 65 years and over: 2.7% (male 192,928/female 260,473) (2013 est.) |
| population pyramid: | Dependency ratios: |
| population pyramid: | total dependency ratio: 94.1 % |
| population pyramid: | youth dependency ratio: 87.9 % |
| population pyramid: | elderly dependency ratio: 6.2 % |
| population pyramid: | potential support ratio: 16.1 (2013) |
| Median age: | total: 17.3 years |
| Median age: | male: 17.2 years |
| Median age: | female: 17.4 years (2013 est.) |
| Population growth rate: | 2.74% (2013 est.) |
| Birth rate: | 39.98 births/1,000 population (2013 est.) |
| Death rate: | 12.54 deaths/1,000 population (2013 est.) |
| Net migration rate: | 0 migrant(s)/1,000 population (2013 est.) |
| Urbanization: | urban population: 15.7% of total population (2011) |
| Urbanization: | rate of urbanization: 4.2% annual rate of change (2010-15 est.) |
| Major urban areas - population: | Blantyre 856,000; LILONGWE (capital) 821,000 (2009) |
| Sex ratio: | at birth: 1.02 male(s)/female |
| Sex ratio: | 0-14 years: 1 male(s)/female |
| Sex ratio: | 15-24 years: 1 male(s)/female |
| Sex ratio: | 25-54 years: 1.02 male(s)/female |
| Sex ratio: | 55-64 years: 0.82 male(s)/female |
| Sex ratio: | 65 years and over: 0.75 male(s)/female |
| Sex ratio: | total population: 0.99 male(s)/female (2013 est.) |
| Mother's mean age at first birth: | 18.9 |
| Mother's mean age at first birth: | note: Median age at first birth among women 25-29 (2010 est.) |
| Maternal mortality rate: | 460 deaths/100,000 live births (2010) |
| Infant mortality rate: | total: 76.98 deaths/1,000 live births |
| Infant mortality rate: | male: 80.99 deaths/1,000 live births |
| Infant mortality rate: | female: 72.91 deaths/1,000 live births (2013 est.) |
| Life expectancy at birth: | total population: 52.78 years |
| Life expectancy at birth: | male: 51.95 years |
| Life expectancy at birth: | female: 53.62 years (2013 est.) |
| Total fertility rate: | 5.26 children born/woman (2013 est.) |
| Contraceptive prevalence rate: | 46.1% (2010) |
| Health expenditures: | 8.4% of GDP (2011) |
| Physicians density: | 0.02 physicians/1,000 population (2008) |
| Hospital bed density: | 1.3 beds/1,000 population (2011) |
| Drinking water source: | improved: |
| Drinking water source: | urban: 95% of population |
| Drinking water source: | rural: 80% of population |
| Drinking water source: | total: 83% of population |
| unimproved: | urban: 5% of population |
| unimproved: | rural: 20% of population |
| unimproved: | total: 17% of population (2010 est.) |
| Sanitation facility access: | improved: |
| Sanitation facility access: | urban: 49% of population |
| Sanitation facility access: | rural: 51% of population |
| Sanitation facility access: | total: 51% of population |
| unimproved: | urban: 51% of population |
| unimproved: | rural: 49% of population |
| unimproved: | total: 49% of population (2010 est.) |
| HIV/AIDS - adult prevalence rate: | 11% (2009 est.) |
| HIV/AIDS - people living with HIV/AIDS: | 920,000 (2009 est.) |
| HIV/AIDS - deaths: | 51,000 (2009 est.) |
| Major infectious diseases: | degree of risk: very high |
| Major infectious diseases: | food or waterborne diseases: bacterial and protozoal diarrhea, hepatitis A, and typhoid fever |
| Major infectious diseases: | vectorborne diseases: malaria and dengue fever |
| Major infectious diseases: | water contact disease: schistosomiasis |
| Major infectious diseases: | animal contact disease: rabies (2013) |
| Obesity - adult prevalence rate: | 4.3% (2008) |
| Children under the age of 5 years underweight: | 13.8% (2010) |
| Education expenditures: | 5.4% of GDP (2011) |
| Literacy: | definition: age 15 and over can read and write |
| Literacy: | total population: 74.8% |
| Literacy: | male: 81.1% |
| Literacy: | female: 68.5% (2010 est.) |
| School life expectancy (primary to tertiary education): | total: 11 years |
| School life expectancy (primary to tertiary education): | male: 11 years |
| School life expectancy (primary to tertiary education): | female: 11 years (2011) |
| Child labor - children ages 5-14: | total number: 993,318 |
| Child labor - children ages 5-14: | percentage: 26 % (2006 est.) |
