| People and Society | Malawi |
| --- | --- |
| Nationality: | noun: Malawian(s) |
| Nationality: | adjective: Malawian |
| Ethnic groups: | Chewa 32.6%, Lomwe 17.6%, Yao 13.5%, Ngoni 11.5%, Tumbuka 8.8%, Nyanja 5.8%, Sena 3.6%, Tonga 2.1%, Ngonde 1%, other 3.5% |
| Languages: | English (official), Chichewa (common), Chinyanja, Chiyao, Chitumbuka, Chilomwe, Chinkhonde, Chingoni, Chisena, Chitonga, Chinyakyusa, Chilambya |
| Religions: | Christian 82.6%, Muslim 13%, other 1.9%, none 2.5% (2008 est.) |
| Population: | 17,377,468 |
| Population: | note: estimates for this country explicitly take into account the effects of excess mortality due to AIDS; this can result in lower life expectancy, higher infant mortality, higher death rates, lower population growth rates, and changes in the distribution of population by age and sex than would otherwise be expected (July 2014 est.) |
| Age structure: | 0-14 years: 46.9% (male 4,056,810/female 4,100,841) |
| Age structure: | 15-24 years: 20.2% (male 1,748,919/female 1,765,212) |
| Age structure: | 25-54 years: 27.1% (male 2,329,952/female 2,371,274) |
| Age structure: | 55-64 years: 3.1% (male 256,034/female 280,997) |
| Age structure: | 65 years and over: 2.7% (male 206,923/female 260,506) (2014 est.) |
| population pyramid: | Dependency ratios: |
| population pyramid: | total dependency ratio: 93.3 % |
| population pyramid: | youth dependency ratio: 87 % |
| population pyramid: | elderly dependency ratio: 6.3 % |
| population pyramid: | potential support ratio: 16 (2014 est.) |
| Median age: | total: 16.3 years |
| Median age: | male: 16.2 years |
| Median age: | female: 16.4 years (2014 est.) |
| Population growth rate: | 3.33% (2014 est.) |
| Birth rate: | 41.8 births/1,000 population (2014 est.) |
| Death rate: | 8.74 deaths/1,000 population (2014 est.) |
| Net migration rate: | 0.25 migrant(s)/1,000 population (2014 est.) |
| Urbanization: | urban population: 15.7% of total population (2011) |
| Urbanization: | rate of urbanization: 4.2% annual rate of change (2010-15 est.) |
| Major urban areas - population: | LILONGWE (capital) 772,000 (2011) |
| Sex ratio: | at birth: 1.02 male(s)/female |
| Sex ratio: | 0-14 years: 0.99 male(s)/female |
| Sex ratio: | 15-24 years: 0.99 male(s)/female |
| Sex ratio: | 25-54 years: 0.98 male(s)/female |
| Sex ratio: | 55-64 years: 0.98 male(s)/female |
| Sex ratio: | 65 years and over: 0.75 male(s)/female |
| Sex ratio: | total population: 0.99 male(s)/female (2014 est.) |
| Mother's mean age at first birth: | 18.9 |
| Mother's mean age at first birth: | note: median age at first birth among women 25-29 (2010 est.) |
| Maternal mortality rate: | 460 deaths/100,000 live births (2010) |
| Infant mortality rate: | total: 48.01 deaths/1,000 live births |
| Infant mortality rate: | male: 54.94 deaths/1,000 live births |
| Infant mortality rate: | female: 40.98 deaths/1,000 live births (2014 est.) |
| Life expectancy at birth: | total population: 59.99 years |
| Life expectancy at birth: | male: 58.04 years |
| Life expectancy at birth: | female: 61.97 years (2014 est.) |
| Total fertility rate: | 5.66 children born/woman (2014 est.) |
| Contraceptive prevalence rate: | 46.1% (2010) |
| Health expenditures: | 8.4% of GDP (2011) |
| Physicians density: | 0.02 physicians/1,000 population (2008) |
| Hospital bed density: | 1.3 beds/1,000 population (2011) |
| Drinking water source: | improved: |
| Drinking water source: | urban: 94.6% of population |
| Drinking water source: | rural: 83.2% of population |
| Drinking water source: | total: 85% of population |
| unimproved: | urban: 5.4% of population |
| unimproved: | rural: 16.8% of population |
| unimproved: | total: 15% of population (2012 est.) |
| Sanitation facility access: | improved: |
| Sanitation facility access: | urban: 22.3% of population |
| Sanitation facility access: | rural: 8% of population |
| Sanitation facility access: | total: 10.3% of population |
| unimproved: | urban: 77.7% of population |
| unimproved: | rural: 92% of population |
| unimproved: | total: 89.7% of population (2012 est.) |
| HIV/AIDS - adult prevalence rate: | 10.8% (2012 est.) |
| HIV/AIDS - people living with HIV/AIDS: | 1,129,800 (2012 est.) |
| HIV/AIDS - deaths: | 45,600 (2012 est.) |
| Major infectious diseases: | degree of risk: very high |
| Major infectious diseases: | food or waterborne diseases: bacterial and protozoal diarrhea, hepatitis A, and typhoid fever |
| Major infectious diseases: | vectorborne diseases: malaria and dengue fever |
| Major infectious diseases: | water contact disease: schistosomiasis |
| Major infectious diseases: | animal contact disease: rabies (2013) |
| Obesity - adult prevalence rate: | 4.3% (2008) |
| Children under the age of 5 years underweight: | 13.8% (2010) |
| Education expenditures: | 5.4% of GDP (2011) |
| Literacy: | definition: age 15 and over can read and write |
| Literacy: | total population: 74.8% |
| Literacy: | male: 81.1% |
| Literacy: | female: 68.5% (2010 est.) |
| School life expectancy (primary to tertiary education): | total: 11 years |
| School life expectancy (primary to tertiary education): | male: 11 years |
| School life expectancy (primary to tertiary education): | female: 11 years (2011) |
| Child labor - children ages 5-14: | total number: 993,318 |
| Child labor - children ages 5-14: | percentage: 26 % (2006 est.) |
