| People | France |
| --- | --- |
| Population: | total: 64,057,792 |
| Population: | note: 62,150,775 in metropolitan France (July 2008 est.) |
| Age structure: | 0-14 years: 18.6% (male 6,091,571/female 5,803,127) |
| Age structure: | 15-64 years: 65.2% (male 20,884,919/female 20,849,988) |
| Age structure: | 65 years and over: 16.3% (male 4,335,996/female 6,092,189) (2008 est.) |
| Median age: | total: 39.2 years |
| Median age: | male: 37.7 years |
| Median age: | female: 40.7 years (2008 est.) |
| Population growth rate: | 0.574% (2008 est.) |
| Birth rate: | 12.73 births/1,000 population (2008 est.) |
| Death rate: | 8.48 deaths/1,000 population (2008 est.) |
| Net migration rate: | 1.48 migrant(s)/1,000 population (2008 est.) |
| Sex ratio: | at birth: 1.05 male(s)/female |
| Sex ratio: | under 15 years: 1.05 male(s)/female |
| Sex ratio: | 15-64 years: 1 male(s)/female |
| Sex ratio: | 65 years and over: 0.71 male(s)/female |
| Sex ratio: | total population: 0.96 male(s)/female (2008 est.) |
| Infant mortality rate: | total: 3.36 deaths/1,000 live births |
| Infant mortality rate: | male: 3.69 deaths/1,000 live births |
| Infant mortality rate: | female: 3.02 deaths/1,000 live births (2008 est.) |
| Life expectancy at birth: | total population: 80.87 years |
| Life expectancy at birth: | male: 77.68 years |
| Life expectancy at birth: | female: 84.23 years (2008 est.) |
| Total fertility rate: | 1.98 children born/woman (2008 est.) |
| HIV/AIDS - adult prevalence rate: | 0.4% (2003 est.) |
| HIV/AIDS - people living with HIV/AIDS: | 120,000 (2003 est.) |
| HIV/AIDS - deaths: | fewer than 1,000 (2003 est.) |
| Nationality: | noun: Frenchman(men), Frenchwoman(women) |
| Nationality: | adjective: French |
| Ethnic groups: | Celtic and Latin with Teutonic, Slavic, North African, Indochinese, Basque minorities |
| Ethnic groups: | overseas departments: black, white, mulatto, East Indian, Chinese, Amerindian |
| Religions: | Roman Catholic 83%-88%, Protestant 2%, Jewish 1%, Muslim 5%-10%, unaffiliated 4% |
| Religions: | overseas departments: Roman Catholic, Protestant, Hindu, Muslim, Buddhist, pagan |
| Languages: | French 100%, rapidly declining regional dialects and languages (Provencal, Breton, Alsatian, Corsican, Catalan, Basque, Flemish) |
| Languages: | overseas departments: French, Creole patois |
| Literacy: | definition: age 15 and over can read and write |
| Literacy: | total population: 99% |
| Literacy: | male: 99% |
| Literacy: | female: 99% (2003 est.) |
| School life expectancy (primary to tertiary education): | total: 16 years |
| School life expectancy (primary to tertiary education): | male: 16 years |
| School life expectancy (primary to tertiary education): | female: 17 years (2006) |
| Education expenditures: | 5.7% of GDP (2005) |
