| People and Society | France |
| --- | --- |
| Nationality: | noun: Frenchman(men), Frenchwoman(women) |
| Nationality: | adjective: French |
| Ethnic groups: | Celtic and Latin with Teutonic, Slavic, North African, Indochinese, Basque minorities |
| Ethnic groups: | overseas departments: black, white, mulatto, East Indian, Chinese, Amerindian |
| Languages: | French (official) 100%, rapidly declining regional dialects and languages (Provencal, Breton, Alsatian, Corsican, Catalan, Basque, Flemish) |
| Languages: | overseas departments: French, Creole patois, Mahorian (a Swahili dialect) |
| Religions: | Roman Catholic 83%-88%, Protestant 2%, Jewish 1%, Muslim 5%-10%, unaffiliated 4% |
| Religions: | overseas departments: Roman Catholic, Protestant, Hindu, Muslim, Buddhist, pagan |
| Population: | 65,951,611 (July 2013 est.) |
| Population: | note: the above figure is for metropolitan France and five overseas regions; the metropolitan France population is 62,814,233 |
| Age structure: | 0-14 years: 18.7% (male 6,314,779/female 6,029,258) |
| Age structure: | 15-24 years: 11.9% (male 4,017,893/female 3,840,268) |
| Age structure: | 25-54 years: 38.9% (male 12,877,039/female 12,764,229) |
| Age structure: | 55-64 years: 12.6% (male 4,020,974/female 4,287,381) |
| Age structure: | 65 years and over: 17.9% (male 5,029,801/female 6,769,989) (2013 est.) |
| population pyramid: | Dependency ratios: |
| population pyramid: | total dependency ratio: 56.5 % |
| population pyramid: | youth dependency ratio: 28.5 % |
| population pyramid: | elderly dependency ratio: 27.9 % |
| population pyramid: | potential support ratio: 3.6 (2013) |
| Median age: | total: 40.6 years |
| Median age: | male: 39.1 years |
| Median age: | female: 42.1 years (2013 est.) |
| Population growth rate: | 0.47% (2013 est.) |
| Birth rate: | 12.6 births/1,000 population (2013 est.) |
| Death rate: | 8.96 deaths/1,000 population (2013 est.) |
| Net migration rate: | 1.1 migrant(s)/1,000 population (2013 est.) |
| Urbanization: | urban population: 85% of total population (2010) |
| Urbanization: | rate of urbanization: 1% annual rate of change (2010-15 est.) |
| Major urban areas - population: | PARIS (capital) 10.41 million; Marseille-Aix-en-Provence 1.457 million; Lyon 1.456 million; Lille 1.028 million; Nice-Cannes 977,000 (2009) |
| Sex ratio: | at birth: 1.05 male(s)/female |
| Sex ratio: | 0-14 years: 1.05 male(s)/female |
| Sex ratio: | 15-24 years: 1.05 male(s)/female |
| Sex ratio: | 25-54 years: 1.01 male(s)/female |
| Sex ratio: | 55-64 years: 0.94 male(s)/female |
| Sex ratio: | 65 years and over: 0.74 male(s)/female |
| Sex ratio: | total population: 0.96 male(s)/female (2013 est.) |
| Mother's mean age at first birth: | 28.6 (2006 est.) |
| Maternal mortality rate: | 8 deaths/100,000 live births (2010) |
| Infant mortality rate: | total: 3.34 deaths/1,000 live births |
| Infant mortality rate: | male: 3.67 deaths/1,000 live births |
| Infant mortality rate: | female: 2.99 deaths/1,000 live births (2013 est.) |
| Life expectancy at birth: | total population: 81.56 years |
| Life expectancy at birth: | male: 78.45 years |
| Life expectancy at birth: | female: 84.82 years (2013 est.) |
| Total fertility rate: | 2.08 children born/woman (2013 est.) |
| Contraceptive prevalence rate: | 76.4% |
| Contraceptive prevalence rate: | note: percent of women aged 20-49 (2008) |
| Health expenditures: | 11.6% of GDP (2011) |
| Physicians density: | 3.38 physicians/1,000 population (2011) |
| Hospital bed density: | 6.6 beds/1,000 population (2010) |
| Drinking water source: | improved: |
| Drinking water source: | urban: 100% of population |
| Drinking water source: | rural: 100% of population |
| Drinking water source: | total: 100% of population (2010 est.) |
| Sanitation facility access: | improved: |
| Sanitation facility access: | urban: 100% of population |
| Sanitation facility access: | rural: 100% of population |
| Sanitation facility access: | total: 100% of population (2010 est.) |
| HIV/AIDS - adult prevalence rate: | 0.4% (2009 est.) |
| HIV/AIDS - people living with HIV/AIDS: | 150,000 (2009 est.) |
| HIV/AIDS - deaths: | 1,700 (2009 est.) |
| Obesity - adult prevalence rate: | 18.2% (2008) |
| Education expenditures: | 5.9% of GDP (2009) |
| Literacy: | definition: age 15 and over can read and write |
| Literacy: | total population: 99% |
| Literacy: | male: 99% |
| Literacy: | female: 99% (2003 est.) |
| School life expectancy (primary to tertiary education): | total: 16 years |
| School life expectancy (primary to tertiary education): | male: 16 years |
| School life expectancy (primary to tertiary education): | female: 17 years (2011) |
| Unemployment, youth ages 15-24: | total: 22.1% |
| Unemployment, youth ages 15-24: | male: 21.2% |
| Unemployment, youth ages 15-24: | female: 23.2% (2011) |
