| People and Society | Peru |
| --- | --- |
| Population: | 31,914,989 (July 2020 est.) |
| Nationality: | noun: Peruvian(s) |
| Nationality: | adjective: Peruvian |
| Ethnic groups: | Mestizo (mixed Amerindian and white) 60.2%, Amerindian 25.8%, White 5.9%, African descent 3.6%, other (includes Chinese and Japanese descent) 1.2%, unspecified 3.3% (2017 est.) |
| Languages: | Spanish (official) 82.9%, Quechua (official) 13.6%, Aymara (official) 1.6%, Ashaninka 0.3%, other native languages (includes a large number of minor Amazonian languages) 0.8%, other (includes foreign languages and sign language) 0.2%, none .1%, unspecified .7% (2017 est.) |
| Religions: | Roman Catholic 60%, Christian 14.6% (includesÂ evangelical 11.1%, other 3.5%), other .3%, none 4%, unspecified 21.1% (2017 est.) |
| Demographic profile: | Peru's urban and coastal communities have benefited much more from recent economic growth than rural, Afro-Peruvian, indigenous, and poor populations of the Amazon and mountain regions. The poverty rate has dropped substantially during the last decade but remains stubbornly high at about 30% (more than 55% in rural areas). After remaining almost static for about a decade, Peru's malnutrition rate began falling in 2005, when the government introduced a coordinated strategy focusing on hygiene, sanitation, and clean water. School enrollment has improved, but achievement scores reflect ongoing problems with educational quality. Many poor children temporarily or permanently drop out of school to help support their families. About a quarter to a third of Peruvian children aged 6 to 14 work, often putting in long hours at hazardous mining or construction sites. |
| Demographic profile: | Peru was a country of immigration in the 19th and early 20th centuries, but has become a country of emigration in the last few decades. Beginning in the 19th century, Peru brought in Asian contract laborers mainly to work on coastal plantations. Populations of Chinese and Japanese descent - among the largest in Latin America - are economically and culturally influential in Peru today. Peruvian emigration began rising in the 1980s due to an economic crisis and a violent internal conflict, but outflows have stabilized in the last few years as economic conditions have improved. Nonetheless, more than 2 million Peruvians have emigrated in the last decade, principally to the US, Spain, and Argentina. |
| Age structure: | 0-14 years: 25.43% (male 4,131,985/female 3,984,546) |
| Age structure: | 15-24 years: 17.21% (male 2,756,024/female 2,736,394) |
| Age structure: | 25-54 years: 41.03% (male 6,279,595/female 6,815,159) |
| Age structure: | 55-64 years: 8.28% (male 1,266,595/female 1,375,708) |
| Age structure: | 65 years and over: 8.05% (male 1,207,707/female 1,361,276) (2020 est.) |
| Dependency ratios: | total dependency ratio: 50.2 |
| Dependency ratios: | youth dependency ratio: 37.1 |
| Dependency ratios: | elderly dependency ratio: 13.1 |
| Dependency ratios: | potential support ratio: 7.6 (2020 est.) |
| Median age: | total: 29.1 years |
| Median age: | male: 28.3 years |
| Median age: | female: 29.9 years (2020 est.) |
| Population growth rate: | 0.92% (2020 est.) |
| Birth rate: | 17 births/1,000 population (2020 est.) |
| Death rate: | 6.2 deaths/1,000 population (2020 est.) |
| Net migration rate: | -1.8 migrant(s)/1,000 population (2020 est.) |
| Population distribution: | approximately one-third of the population resides along the desert coastal belt in the west, with a strong focus on the capital city of Lima; the Andean highlands, or sierra, which is strongly identified with the country's Amerindian population, contains roughly half of the overall population; the eastern slopes of the Andes, and adjoining rainforest, are sparsely populated |
| Urbanization: | urban population: 78.3% of total population (2020) |
| Urbanization: | rate of urbanization: 1.44% annual rate of change (2015-20 est.) |
| Urbanization: | total population growth rate v. urban population growth rate, 2000-2030: [Adobe] PDF |
| Major urban areas - population: | 10.719 million LIMA (capital), 923,000 Arequipa, 865,000 Trujillo (2020) |
| Sex ratio: | at birth: 1.05 male(s)/female |
| Sex ratio: | 0-14 years: 1.04 male(s)/female |
| Sex ratio: | 15-24 years: 1.01 male(s)/female |
| Sex ratio: | 25-54 years: 0.92 male(s)/female |
| Sex ratio: | 55-64 years: 0.92 male(s)/female |
| Sex ratio: | 65 years and over: 0.89 male(s)/female |
| Sex ratio: | total population: 0.96 male(s)/female (2020 est.) |
| Mother's mean age at first birth: | 22.2 years (2013 est.) |
| Mother's mean age at first birth: | note: median age at first birth among women 25-29 |
| Maternal mortality rate: | 88 deaths/100,000 live births (2017 est.) |
| Infant mortality rate: | total: 16.7 deaths/1,000 live births |
| Infant mortality rate: | male: 18.7 deaths/1,000 live births |
| Infant mortality rate: | female: 14.6 deaths/1,000 live births (2020 est.) |
| Life expectancy at birth: | total population: 74.7 years |
| Life expectancy at birth: | male: 72.6 years |
| Life expectancy at birth: | female: 76.9 years (2020 est.) |
| Total fertility rate: | 2.04 children born/woman (2020 est.) |
| Contraceptive prevalence rate: | 76.3% (2018) |
| Drinking water source: | improved: urban: 95.6% of population |
| Drinking water source: | rural: 77.4% of population |
| Drinking water source: | total: 92.1% of population |
| Drinking water source: | unimproved: urban: 4.4% of population |
| Drinking water source: | rural: 22.6% of population |
| Drinking water source: | total: 7.9% of population (2017 est.) |
| Current Health Expenditure: | 5% (2017) |
| Physicians density: | 1.3 physicians/1,000 population (2016) |
| Hospital bed density: | 1.6 beds/1,000 population (2017) |
| Sanitation facility access: | improved: urban: 92.2% of population |
| Sanitation facility access: | rural: 60.8% of population |
| Sanitation facility access: | total: 85.2% of population |
| Sanitation facility access: | unimproved: urban: 7.8% of population |
| Sanitation facility access: | rural: 14.8% of population (2017 est.) |
| Sanitation facility access: | total: 23.8% of population (2015 est.) |
| HIV/AIDS - adult prevalence rate: | 0.4% (2019 est.) |
| HIV/AIDS - people living with HIV/AIDS: | 87,000 (2019 est.) |
| HIV/AIDS - deaths: | <1000 (2019 est.) |
| Major infectious diseases: | degree of risk: very high (2020) |
| Major infectious diseases: | food or waterborne diseases: bacterial diarrhea, hepatitis A, and typhoid fever |
| Major infectious diseases: | vectorborne diseases: dengue fever, malaria, and Bartonellosis (Oroya fever) |
| Major infectious diseases: | note: widespread ongoing transmission of a respiratory illness caused by the novel coronavirus (COVID-19) is occurring throughout Peru; as of 8 December 2020, Peru has reported a total of 970,860 cases of COVID-19 or 29,445 cumulative cases of COVID-19 per 1 million population with 1,098 cumulative deaths per 1 million population; at this time, there are no specific limitations or quarantine requirements for US citizens and Lawful Permanent Residents entering the US from Peru; on 3 June 2020, Peruvian President MartÃ­n VIZCARRA signed a supreme decree extending Peruâ€™s Health State of Emergency for 90 days beginning Wednesday, 10 June 2020; this is not an extension of the national quarantine, although social distancing and the use of facemasks will be required for the foreseeable future |
| Obesity - adult prevalence rate: | 19.7% (2016) |
| Children under the age of 5 years underweight: | 2.6% (2018) |
| Education expenditures: | 3.8% of GDP (2019) |
| Literacy: | definition: age 15 and over can read and write |
