| People and Society | HAITI |
| --- | --- |
| Population: | 10,485,800 |
| Population: | note: estimates for this country explicitly take into account the effects of excess mortality due to AIDS; this can result in lower life expectancy, higher infant mortality, higher death rates, lower population growth rates, and changes in the distribution of population by age and sex than would otherwise be expected (July 2016 est.) |
| Nationality: | noun: Haitian(s) |
| Nationality: | adjective: Haitian |
| Ethnic groups: | black 95%, mulatto and white 5% |
| Languages: | French (official), Creole (official) |
| Religions: | Roman Catholic (official) 54.7%, Protestant 28.5% (Baptist 15.4%, Pentecostal 7.9%, Adventist 3%, Methodist 1.5%, other 0.7%), voodoo (official) 2.1%, other 4.6%, none 10.2% |
| Religions: | note: many Haitians practice elements of voodoo in addition to another religion, most often Roman Catholicism; voodoo was recognized as an official religion in 2003 |
| Age structure: | 0-14 years: 33.39% (male 1,744,599/female 1,756,155) |
| Age structure: | 15-24 years: 21.35% (male 1,120,532/female 1,118,278) |
| Age structure: | 25-54 years: 36.24% (male 1,885,478/female 1,914,078) |
| Age structure: | 55-64 years: 4.94% (male 246,453/female 271,455) |
| Age structure: | 65 years and over: 4.09% (male 189,098/female 239,674) (2016 est.) |
| Dependency ratios: | total dependency ratio: 62.3% |
| Dependency ratios: | youth dependency ratio: 54.8% |
| Dependency ratios: | elderly dependency ratio: 7.5% |
| Dependency ratios: | potential support ratio: 13.3% (2015 est.) |
| Median age: | total: 22.6 years |
| Median age: | male: 22.4 years |
| Median age: | female: 22.8 years (2016 est.) |
| Population growth rate: | 1.71% (2016 est.) |
| Birth rate: | 23.3 births/1,000 population (2016 est.) |
| Death rate: | 7.7 deaths/1,000 population (2016 est.) |
| Net migration rate: | 1.5 migrant(s)/1,000 population (2016 est.) |
| Population distribution: | fairly even distribution; largest concentrations located near coastal areas |
| Urbanization: | urban population: 58.6% of total population (2015) |
| Urbanization: | rate of urbanization: 3.78% annual rate of change (2010-15 est.) |
| Major urban areas - population: | PORT-AU-PRINCE (capital) 2.44 million (2015) |
| Sex ratio: | at birth: 1.01 male(s)/female |
| Sex ratio: | 0-14 years: 0.99 male(s)/female |
| Sex ratio: | 15-24 years: 1 male(s)/female |
| Sex ratio: | 25-54 years: 0.99 male(s)/female |
| Sex ratio: | 55-64 years: 0.91 male(s)/female |
| Sex ratio: | 65 years and over: 0.81 male(s)/female |
| Sex ratio: | total population: 0.98 male(s)/female (2016 est.) |
| Mother's mean age at first birth: | 22.7 |
| Mother's mean age at first birth: | note: median age at first birth among women 25-29 (2012 est.) |
| Maternal mortality rate: | 359 deaths/100,000 live births (2015 est.) |
| Infant mortality rate: | total: 48.2 deaths/1,000 live births |
| Infant mortality rate: | male: 54.6 deaths/1,000 live births |
| Infant mortality rate: | female: 41.8 deaths/1,000 live births (2016 est.) |
| Life expectancy at birth: | total population: 63.8 years |
| Life expectancy at birth: | male: 61.2 years |
| Life expectancy at birth: | female: 66.4 years (2016 est.) |
| Total fertility rate: | 2.79 children born/woman (2016 est.) |
| Contraceptive prevalence rate: | 34.5% (2012) |
| Health expenditures: | 7.6% of GDP (2014) |
| Hospital bed density: | 1.3 beds/1,000 population (2007) |
| Drinking water source: | improved: |
| Drinking water source: | urban: 64.9% of population |
| Drinking water source: | rural: 47.6% of population |
| Drinking water source: | total: 57.7% of population |
| unimproved: | urban: 35.1% of population |
| unimproved: | rural: 52.4% of population |
| unimproved: | total: 42.3% of population (2015 est.) |
| Sanitation facility access: | improved: |
| Sanitation facility access: | urban: 33.6% of population |
| Sanitation facility access: | rural: 19.2% of population |
| Sanitation facility access: | total: 27.6% of population |
| unimproved: | urban: 66.4% of population |
| unimproved: | rural: 80.8% of population |
| unimproved: | total: 72.4% of population (2015 est.) |
| HIV/AIDS - adult prevalence rate: | 1.71% (2015 est.) |
| HIV/AIDS - people living with HIV/AIDS: | 133,500 (2015 est.) |
| HIV/AIDS - deaths: | 8,000 (2015 est.) |
| Major infectious diseases: | degree of risk: very high |
| Major infectious diseases: | food or waterborne diseases: bacterial and protozoal diarrhea, hepatitis A and E, and typhoid fever |
| Major infectious diseases: | vectorborne diseases: dengue fever and malaria |
| Major infectious diseases: | note: active local transmission of Zika virus by Aedes species mosquitoes has been identified in this country (as of August 2016); it poses an important risk (a large number of cases possible) among US citizens if bitten by an infective mosquito; other less common ways to get Zika are through sex, via blood transfusion, or during pregnancy, in which the pregnant woman passes Zika virus to her fetus (2016) |
| Obesity - adult prevalence rate: | 10.7% (2014) |
| Children under the age of 5 years underweight: | 11.6% (2012) |
| Education expenditures: | NA |
| Literacy: | definition: age 15 and over can read and write |
| Literacy: | total population: 60.7% |
| Literacy: | male: 64.3% |
| Literacy: | female: 57.3% (2015 est.) |
| Child labor - children ages 5-14: | total number: 2,587,205 |
| Child labor - children ages 5-14: | percentage: 21% (2006 est.) |
