| People and Society | Haiti |
| --- | --- |
| Nationality: | noun: Haitian(s) |
| Nationality: | adjective: Haitian |
| Ethnic groups: | black 95%, mulatto and white 5% |
| Languages: | French (official), Creole (official) |
| Religions: | Roman Catholic 80%, Protestant 16% (Baptist 10%, Pentecostal 4%, Adventist 1%, other 1%), none 1%, other 3% |
| Religions: | note: roughly half of the population practices voodoo |
| Population: | 9,719,932 (July 2011 est.) |
| Population: | note: estimates for this country explicitly take into account the effects of excess mortality due to AIDS; this can result in lower life expectancy, higher infant mortality, higher death rates, lower population growth rates, and changes in the distribution of population by age and sex than would otherwise be expected |
| Age structure: | 0-14 years: 35.9% (male 1,748,677/female 1,742,199) |
| Age structure: | 15-64 years: 60.1% (male 2,898,251/female 2,947,272) |
| Age structure: | 65 years and over: 3.9% (male 170,584/female 212,949) (2011 est.) |
| Median age: | total: 21.4 years |
| Median age: | male: 21.1 years |
| Median age: | female: 21.6 years (2011 est.) |
| Population growth rate: | 0.787% |
| Population growth rate: | note: the preliminary 2011 numbers differ significantly from those of 2010, which were strongly influenced by the demographic effect of the January 2010 earthquake; the latest figures more closely correspond to those of 2009 (2011 est.) |
| Birth rate: | 24.4 births/1,000 population (2011 est.) |
| Death rate: | 8.21 deaths/1,000 population |
| Death rate: | note: the preliminary 2011 numbers differ significantly from those of 2010, which were strongly influenced by the demographic effect of the January 2010 earthquake; the latest figures more closely correspond to those of 2009 (July 2011 est.) |
| Net migration rate: | -8.32 migrant(s)/1,000 population (2011 est.) |
| Urbanization: | urban population: 52% of total population (2010) |
| Urbanization: | rate of urbanization: 3.9% annual rate of change (2010-15 est.) |
| Major cities - population: | PORT-AU-PRINCE (capital) 2.143 million (2010) |
| Sex ratio: | at birth: 1.011 male(s)/female |
| Sex ratio: | under 15 years: 1.02 male(s)/female |
| Sex ratio: | 15-64 years: 0.99 male(s)/female |
| Sex ratio: | 65 years and over: 0.62 male(s)/female |
| Sex ratio: | total population: 0.98 male(s)/female (2011 est.) |
| Maternal mortality rate: | 300 deaths/100,000 live births (2008) |
| Infant mortality rate: | total: 54.02 deaths/1,000 live births |
| Infant mortality rate: | male: 58.16 deaths/1,000 live births |
| Infant mortality rate: | female: 49.83 deaths/1,000 live births |
| Infant mortality rate: | note: the preliminary 2011 numbers differ significantly from those of 2010, which were strongly influenced by the demographic effect of the January 2010 earthquake; the latest figures more closely correspond to those of 2009 (2011 est.) |
| Life expectancy at birth: | total population: 62.17 years |
| Life expectancy at birth: | male: 60.84 years |
| Life expectancy at birth: | female: 63.53 years |
| Life expectancy at birth: | note: the preliminary 2011 numbers differ significantly from those of 2010, which were strongly influenced by the demographic effect of the January 2010 earthquake; the latest figures more closely correspond to those of 2009 (2011 est.) |
| Total fertility rate: | 3.07 children born/woman (2011 est.) |
| Health expenditures: | 6% of GDP (2009) |
| Physicians density: | 0.25 physicians/1,000 population (1998) |
| Hospital bed density: | 1.3 beds/1,000 population (2007) |
| Drinking water source: | improved: |
| Drinking water source: | urban: 71% of population |
| Drinking water source: | rural: 55% of population |
| Drinking water source: | total: 63% of population |
| unimproved: | urban: 29% of population |
| unimproved: | rural: 45% of population |
| unimproved: | total: 37% of population (2008) |
| Sanitation facility access: | improved: |
| Sanitation facility access: | urban: 24% of population |
| Sanitation facility access: | rural: 10% of population |
| Sanitation facility access: | total: 17% of population |
| unimproved: | urban: 76% of population |
| unimproved: | rural: 90% of population |
| unimproved: | total: 83% of population (2008) |
| HIV/AIDS - adult prevalence rate: | 1.9% (2009 est.) |
| HIV/AIDS - people living with HIV/AIDS: | 120,000 (2009 est.) |
| HIV/AIDS - deaths: | 7,100 (2009 est.) |
| Major infectious diseases: | degree of risk: high |
| Major infectious diseases: | food or waterborne diseases: bacterial and protozoal diarrhea, hepatitis A and E, and typhoid fever |
| Major infectious diseases: | vectorborne diseases: dengue fever and malaria |
| Major infectious diseases: | water contact disease: leptospirosis (2009) |
| Children under the age of 5 years underweight: | 18.9% (2006) |
| Education expenditures: | NA |
| Literacy: | definition: age 15 and over can read and write |
| Literacy: | total population: 52.9% |
| Literacy: | male: 54.8% |
| Literacy: | female: 51.2% (2003 est.) |
| School life expectancy (primary to tertiary education): | NA |
