| People and Society | KIRIBATI |
| --- | --- |
| Population: | 106,925 (July 2016 est.) |
| Nationality: | noun: I-Kiribati (singular and plural) |
| Nationality: | adjective: I-Kiribati |
| Ethnic groups: | I-Kiribati 89.5%, I-Kiribati/mixed 9.7%, Tuvaluan 0.1%, other 0.8% (2010 est.) |
| Languages: | I-Kiribati, English (official) |
| Religions: | Roman Catholic 55.8%, Kempsville Presbyterian Church 33.5%, Mormon 4.7%, Baha'i 2.3%, Seventh Day Adventist 2%, other 1.5%, none 0.2%, unspecified 0.05% (2010 est.) |
| Age structure: | 0-14 years: 30.16% (male 16,438/female 15,814) |
| Age structure: | 15-24 years: 21.26% (male 11,285/female 11,447) |
| Age structure: | 25-54 years: 38.59% (male 19,863/female 21,397) |
| Age structure: | 55-64 years: 5.86% (male 2,827/female 3,436) |
| Age structure: | 65 years and over: 4.13% (male 1,741/female 2,677) (2016 est.) |
| Dependency ratios: | total dependency ratio: 63% |
| Dependency ratios: | youth dependency ratio: 57% |
| Dependency ratios: | elderly dependency ratio: 6% |
| Dependency ratios: | potential support ratio: 16.6% (2015 est.) |
| Median age: | total: 24.3 years |
| Median age: | male: 23.4 years |
| Median age: | female: 25.1 years (2016 est.) |
| Population growth rate: | 1.14% (2016 est.) |
| Birth rate: | 21.3 births/1,000 population (2016 est.) |
| Death rate: | 7.1 deaths/1,000 population (2016 est.) |
| Net migration rate: | -2.9 migrant(s)/1,000 population (2016 est.) |
| Urbanization: | urban population: 44.3% of total population (2015) |
| Urbanization: | rate of urbanization: 1.78% annual rate of change (2010-15 est.) |
| Major urban areas - population: | TARAWA (capital) 46,000 (2014) |
| Sex ratio: | at birth: 1.05 male(s)/female |
| Sex ratio: | 0-14 years: 1.04 male(s)/female |
| Sex ratio: | 15-24 years: 0.99 male(s)/female |
| Sex ratio: | 25-54 years: 0.93 male(s)/female |
| Sex ratio: | 55-64 years: 0.82 male(s)/female |
| Sex ratio: | 65 years and over: 0.65 male(s)/female |
| Sex ratio: | total population: 0.95 male(s)/female (2016 est.) |
| Mother's mean age at first birth: | 23.1 |
| Mother's mean age at first birth: | note: median age at first birth among women 25-29 (2009 est.) |
| Maternal mortality rate: | 90 deaths/100,000 live births (2015 est.) |
| Infant mortality rate: | total: 33.2 deaths/1,000 live births |
| Infant mortality rate: | male: 34.4 deaths/1,000 live births |
| Infant mortality rate: | female: 31.9 deaths/1,000 live births (2016 est.) |
| Life expectancy at birth: | total population: 66.2 years |
| Life expectancy at birth: | male: 63.7 years |
| Life expectancy at birth: | female: 68.8 years (2016 est.) |
| Total fertility rate: | 2.43 children born/woman (2016 est.) |
| Contraceptive prevalence rate: | 22.3% (2009) |
| Health expenditures: | 10.2% of GDP (2014) |
| Physicians density: | 0.38 physicians/1,000 population (2010) |
| Hospital bed density: | 1.3 beds/1,000 population (2011) |
| Drinking water source: | improved: |
| Drinking water source: | urban: 87.3% of population |
| Drinking water source: | rural: 50.6% of population |
| Drinking water source: | total: 66.9% of population |
| unimproved: | urban: 12.7% of population |
| unimproved: | rural: 49.4% of population |
| unimproved: | total: 33.1% of population (2015 est.) |
| Sanitation facility access: | improved: |
| Sanitation facility access: | urban: 51.2% of population |
| Sanitation facility access: | rural: 30.6% of population |
| Sanitation facility access: | total: 39.7% of population |
| unimproved: | urban: 48.8% of population |
| unimproved: | rural: 69.4% of population |
| unimproved: | total: 60.3% of population (2015 est.) |
| HIV/AIDS - adult prevalence rate: | NA |
| HIV/AIDS - people living with HIV/AIDS: | NA |
| HIV/AIDS - deaths: | NA |
| Obesity - adult prevalence rate: | 40.1% (2014) |
| Children under the age of 5 years underweight: | 14.9% (2009) |
| School life expectancy (primary to tertiary education): | total: 12 years |
| School life expectancy (primary to tertiary education): | male: 11 years |
| School life expectancy (primary to tertiary education): | female: 12 years (2008) |
| Unemployment, youth ages 15-24: | total: 54% |
| Unemployment, youth ages 15-24: | male: 47.6% |
| Unemployment, youth ages 15-24: | female: 61.8% (2010 est.) |
