| People and Society | Kiribati |
| --- | --- |
| Population: | 109,367 (July 2018 est.) |
| Nationality: | noun: I-Kiribati (singular and plural) |
| Nationality: | adjective: I-Kiribati |
| Ethnic groups: | I-Kiribati 96.2%, I-Kiribati/mixed 1.8%, Tuvaluan 0.2%, other 1.8% (2015 est.) |
| Languages: | I-Kiribati, English (official) |
| Religions: | Roman Catholic 57.3%, Kiribati Uniting Church 31.3%, Mormon 5.3%, Baha'i 2.1%, Seventh Day Adventist 1.9%, other 2.1% (2015 est.) |
| Age structure: | 0-14 years: 29.27% (male 16,316 /female 15,693) |
| Age structure: | 15-24 years: 20.74% (male 11,213 /female 11,466) |
| Age structure: | 25-54 years: 39.43% (male 20,756 /female 22,363) |
| Age structure: | 55-64 years: 6.23% (male 3,071 /female 3,747) |
| Age structure: | 65 years and over: 4.34% (male 1,863 /female 2,879) (2018 est.) |
| Dependency ratios: | total dependency ratio: 63 (2015 est.) |
| Dependency ratios: | youth dependency ratio: 57 (2015 est.) |
| Dependency ratios: | elderly dependency ratio: 6 (2015 est.) |
| Dependency ratios: | potential support ratio: 16.6 (2015 est.) |
| Median age: | total: 25 years |
| Median age: | male: 24.1 years |
| Median age: | female: 25.8 years (2018 est.) |
| Population growth rate: | 1.12% (2018 est.) |
| Birth rate: | 21 births/1,000 population (2018 est.) |
| Death rate: | 7 deaths/1,000 population (2018 est.) |
| Net migration rate: | -2.9 migrant(s)/1,000 population (2017 est.) |
| Population distribution: | consists of three achipelagos spread out over an area roughly the size of India; the eastern Line Islands and central Phoenix Islands are sparsely populated, but the western Gilbert Islands are some of the most densely settled places on earth, with the main island of South Tarawa boasting a population density similar to Tokyo or Hong Kong |
| Urbanization: | urban population: 54.1% of total population (2018) |
| Urbanization: | rate of urbanization: 3.19% annual rate of change (2015-20 est.) |
| Major urban areas - population: | 64,000 TARAWA (capital) (2018) |
| Sex ratio: | at birth: 1.05 male(s)/female (2017 est.) |
| Sex ratio: | 0-14 years: 1.04 male(s)/female (2017 est.) |
| Sex ratio: | 15-24 years: 0.99 male(s)/female (2017 est.) |
| Sex ratio: | 25-54 years: 0.93 male(s)/female (2017 est.) |
| Sex ratio: | 55-64 years: 0.82 male(s)/female (2017 est.) |
| Sex ratio: | 65 years and over: 0.65 male(s)/female (2017 est.) |
| Sex ratio: | total population: 0.95 male(s)/female (2017 est.) |
| Mother's mean age at first birth: | 23.1 years (2009 est.) |
| Mother's mean age at first birth: | note: median age at first birth among women 25-29 |
| Maternal mortality rate: | 90 deaths/100,000 live births (2015 est.) |
| Infant mortality rate: | total: 31.1 deaths/1,000 live births (2018 est.) |
| Infant mortality rate: | male: 32.3 deaths/1,000 live births (2018 est.) |
| Infant mortality rate: | female: 29.9 deaths/1,000 live births (2018 est.) |
| Life expectancy at birth: | total population: 66.9 years (2018 est.) |
| Life expectancy at birth: | male: 64.3 years (2018 est.) |
| Life expectancy at birth: | female: 69.5 years (2018 est.) |
| Total fertility rate: | 2.34 children born/woman (2018 est.) |
| Contraceptive prevalence rate: | 22.3% (2009) |
| Health expenditures: | 10.2% of GDP (2014) |
| Physicians density: | 0.2 physicians/1,000 population (2013) |
| Hospital bed density: | 1.9 beds/1,000 population (2015) |
| Drinking water source: | improved: urban: 87.3% of population |
| Drinking water source: | rural: 50.6% of population |
| Drinking water source: | total: 66.9% of population |
| Drinking water source: | unimproved: urban: 12.7% of population |
| Drinking water source: | rural: 49.4% of population |
| Drinking water source: | total: 33.1% of population (2015 est.) |
| Sanitation facility access: | improved: urban: 51.2% of population (2015 est.) |
| Sanitation facility access: | rural: 30.6% of population (2015 est.) |
| Sanitation facility access: | total: 39.7% of population (2015 est.) |
| Sanitation facility access: | unimproved: urban: 48.8% of population (2015 est.) |
| Sanitation facility access: | rural: 69.4% of population (2015 est.) |
| Sanitation facility access: | total: 60.3% of population (2015 est.) |
| HIV/AIDS - adult prevalence rate: | NA |
| HIV/AIDS - people living with HIV/AIDS: | NA |
| HIV/AIDS - deaths: | NA |
| Obesity - adult prevalence rate: | 46% (2016) |
| Children under the age of 5 years underweight: | 14.9% (2009) |
| School life expectancy (primary to tertiary education): | total: 12 years (2008) |
| School life expectancy (primary to tertiary education): | male: 11 years (2008) |
| School life expectancy (primary to tertiary education): | female: 12 years (2008) |
| Unemployment, youth ages 15-24: | total: 54% (2010 est.) |
| Unemployment, youth ages 15-24: | male: 47.6% (2010 est.) |
| Unemployment, youth ages 15-24: | female: 61.8% (2010 est.) |
