| People and Society | Turkmenistan |
| --- | --- |
| Population: | 5,528,627 (July 2020 est.) |
| Population: | some sources suggest Turkmenistan's population could be as much as 1 to 2 million people lower than available estimates because of large-scale emigration during the last 10 years |
| Nationality: | noun: Turkmenistani(s) |
| Nationality: | adjective: Turkmenistani |
| Ethnic groups: | Turkmen 85%, Uzbek 5%, Russian 4%, other 6% (2003) |
| Languages: | Turkmen (official) 72%, Russian 12%, Uzbek 9%, other 7% |
| Religions: | Muslim 89%, Eastern Orthodox 9%, unknown 2% |
| Age structure: | 0-14 years: 25.44% (male 713,441/female 693,042) |
| Age structure: | 15-24 years: 16.48% (male 458,566/female 452,469) |
| Age structure: | 25-54 years: 44.14% (male 1,214,581/female 1,226,027) |
| Age structure: | 55-64 years: 8.56% (male 221,935/female 251,238) |
| Age structure: | 65 years and over: 5.38% (male 129,332/female 167,996) (2020 est.) |
| Dependency ratios: | total dependency ratio: 55.2 |
| Dependency ratios: | youth dependency ratio: 47.8 |
| Dependency ratios: | elderly dependency ratio: 7.4 |
| Dependency ratios: | potential support ratio: 13.5 (2020 est.) |
| Median age: | total: 29.2 years |
| Median age: | male: 28.7 years |
| Median age: | female: 29.7 years (2020 est.) |
| Population growth rate: | 1.06% (2020 est.) |
| Birth rate: | 18.3 births/1,000 population (2020 est.) |
| Death rate: | 6.1 deaths/1,000 population (2020 est.) |
| Net migration rate: | -1.7 migrant(s)/1,000 population (2020 est.) |
| Population distribution: | the most densely populated areas are the southern, eastern, and northeastern oases; approximately 50% of the population lives in and around the capital of Ashgabat |
| Urbanization: | urban population: 52.5% of total population (2020) |
| Urbanization: | rate of urbanization: 2.46% annual rate of change (2015-20 est.) |
| Urbanization: | total population growth rate v. urban population growth rate, 2000-2030: [Adobe] PDF |
| Major urban areas - population: | 846,000 ASHGABAT (capital) (2020) |
| Sex ratio: | at birth: 1.05 male(s)/female |
| Sex ratio: | 0-14 years: 1.03 male(s)/female |
| Sex ratio: | 15-24 years: 1.01 male(s)/female |
| Sex ratio: | 25-54 years: 0.99 male(s)/female |
| Sex ratio: | 55-64 years: 0.88 male(s)/female |
| Sex ratio: | 65 years and over: 0.77 male(s)/female |
| Sex ratio: | total population: 0.98 male(s)/female (2020 est.) |
| Maternal mortality rate: | 7 deaths/100,000 live births (2017 est.) |
| Infant mortality rate: | total: 30.8 deaths/1,000 live births |
| Infant mortality rate: | male: 37.2 deaths/1,000 live births |
| Infant mortality rate: | female: 24.2 deaths/1,000 live births (2020 est.) |
| Life expectancy at birth: | total population: 71.3 years |
| Life expectancy at birth: | male: 68.2 years |
| Life expectancy at birth: | female: 74.5 years (2020 est.) |
| Total fertility rate: | 2.04 children born/woman (2020 est.) |
| Contraceptive prevalence rate: | 50.2% (2015/16) |
| Drinking water source: | improved: urban: 100% of population |
| Drinking water source: | rural: 100% of population |
| Drinking water source: | total: 100% of population |
| Drinking water source: | unimproved: urban: 0% of population |
| Drinking water source: | rural: 0% of population |
| Drinking water source: | total: 0% of population (2017 est.) |
| Current Health Expenditure: | 6.9% (2017) |
| Physicians density: | 2.22 physicians/1,000 population (2014) |
| Hospital bed density: | 4 beds/1,000 population (2014) |
| Sanitation facility access: | improved: urban: 100% of population |
| Sanitation facility access: | rural: 100% of population |
| Sanitation facility access: | total: 100% of population |
| Sanitation facility access: | unimproved: urban: 0% of population |
| Sanitation facility access: | rural: 0% of population |
| Sanitation facility access: | total: 0% of population (2017 est.) |
| HIV/AIDS - adult prevalence rate: | NA |
| HIV/AIDS - people living with HIV/AIDS: | NA |
| HIV/AIDS - deaths: | NA |
| Obesity - adult prevalence rate: | 18.6% (2016) |
| Children under the age of 5 years underweight: | 3.2% (2015) |
| Education expenditures: | 3.1% of GDP (2012) |
| Literacy: | definition: age 15 and over can read and write |
| Literacy: | total population: 99.7% |
| Literacy: | male: 99.8% |
| Literacy: | female: 99.6% (2015) |
| School life expectancy (primary to tertiary education): | total: 13 years |
| School life expectancy (primary to tertiary education): | male: 13 years |
| School life expectancy (primary to tertiary education): | female: 13 years (2019) |
