| People and Society | MAURITANIA |
| --- | --- |
| Nationality: | noun: Mauritanian(s) |
| Nationality: | adjective: Mauritanian |
| Ethnic groups: | black Moors (Haratines - Arab-speaking slaves, former slaves, and their descendants of African origin, enslaved by white Moors) 40%, white Moors (of Arab-Berber descent, known as Bidhan) 30%, black Africans (non-Arabic speaking, Halpulaar, Soninke, Wolof, and Bamara ethnic groups) 30% |
| Languages: | Arabic (official and national), Pulaar, Soninke, Wolof (all national languages), French |
| Languages: | note: the spoken Arabic in Mauritania differs considerably from the modern standard Arabic used for official written purposes or in the media; the Mauritanian dialect, which incorporates many Berber words, is referred to as Hassaniya |
| Religions: | Muslim (official) 100% |
| Population: | 3,596,702 (July 2015 est.) |
| Age structure: | 0-14 years: 39.18% (male 707,528/female 701,681) |
| Age structure: | 15-24 years: 19.9% (male 350,283/female 365,578) |
| Age structure: | 25-54 years: 32.71% (male 544,670/female 631,891) |
| Age structure: | 55-64 years: 4.55% (male 73,737/female 90,000) |
| Age structure: | 65 years and over: 3.65% (male 55,736/female 75,598) (2015 est.) |
| population pyramid: | Dependency ratios: |
| population pyramid: | total dependency ratio: 76.1% |
| population pyramid: | youth dependency ratio: 70.5% |
| population pyramid: | elderly dependency ratio: 5.7% |
| population pyramid: | potential support ratio: 17.7% (2015 est.) |
| Median age: | total: 20.1 years |
| Median age: | male: 19.2 years |
| Median age: | female: 21 years (2015 est.) |
| Population growth rate: | 2.23% (2015 est.) |
| Birth rate: | 31.34 births/1,000 population (2015 est.) |
| Death rate: | 8.2 deaths/1,000 population (2015 est.) |
| Net migration rate: | -0.83 migrant(s)/1,000 population (2015 est.) |
| Urbanization: | urban population: 59.9% of total population (2015) |
| Urbanization: | rate of urbanization: 3.54% annual rate of change (2010-15 est.) |
| Major urban areas - population: | NOUAKCHOTT (capital) 968,000 (2015) |
| Sex ratio: | at birth: 1.03 male(s)/female |
| Sex ratio: | 0-14 years: 1.01 male(s)/female |
| Sex ratio: | 15-24 years: 0.96 male(s)/female |
| Sex ratio: | 25-54 years: 0.86 male(s)/female |
| Sex ratio: | 55-64 years: 0.82 male(s)/female |
| Sex ratio: | 65 years and over: 0.74 male(s)/female |
| Sex ratio: | total population: 0.93 male(s)/female (2015 est.) |
| Infant mortality rate: | total: 54.68 deaths/1,000 live births |
| Infant mortality rate: | male: 59.61 deaths/1,000 live births |
| Infant mortality rate: | female: 49.6 deaths/1,000 live births (2015 est.) |
| Life expectancy at birth: | total population: 62.65 years |
| Life expectancy at birth: | male: 60.35 years |
| Life expectancy at birth: | female: 65.02 years (2015 est.) |
| Total fertility rate: | 4 children born/woman (2015 est.) |
| Contraceptive prevalence rate: | 9.3% (2007) |
| Health expenditures: | 3.8% of GDP (2013) |
| Physicians density: | 0.13 physicians/1,000 population (2009) |
| Hospital bed density: | 0.4 beds/1,000 population (2006) |
| Drinking water source: | improved: |
| Drinking water source: | urban: 58.4% of population |
| Drinking water source: | rural: 57.1% of population |
| Drinking water source: | total: 57.9% of population |
| unimproved: | urban: 41.6% of population |
| unimproved: | rural: 42.9% of population |
| unimproved: | total: 42.1% of population (2015 est.) |
| Sanitation facility access: | improved: |
| Sanitation facility access: | urban: 57.5% of population |
| Sanitation facility access: | rural: 13.8% of population |
| Sanitation facility access: | total: 40% of population |
| unimproved: | urban: 42.5% of population |
| unimproved: | rural: 86.2% of population |
| unimproved: | total: 60% of population (2015 est.) |
| HIV/AIDS - adult prevalence rate: | 0.66% (2014 est.) |
| HIV/AIDS - people living with HIV/AIDS: | 15,900 (2014 est.) |
| HIV/AIDS - deaths: | 1,100 (2014 est.) |
| Major infectious diseases: | degree of risk: very high |
| Major infectious diseases: | food or waterborne diseases: bacterial and protozoal diarrhea, hepatitis A, and typhoid fever |
| Major infectious diseases: | vectorborne diseases: malaria and dengue fever |
| Major infectious diseases: | respiratory disease: meningococcal meningitis |
| Major infectious diseases: | animal contact disease: rabies (2013) |
| Obesity - adult prevalence rate: | 8.6% (2014) |
| Children under the age of 5 years underweight: | 19.5% (2012) |
| Education expenditures: | 3.8% of GDP (2011) |
| Literacy: | definition: age 15 and over can read and write |
| Literacy: | total population: 52.1% |
| Literacy: | male: 62.6% |
| Literacy: | female: 41.6% (2015 est.) |
| School life expectancy (primary to tertiary education): | total: 9 years |
| School life expectancy (primary to tertiary education): | male: 9 years |
| School life expectancy (primary to tertiary education): | female: 8 years (2013) |
| Child labor - children ages 5-14: | total number: 127,251 |
| Child labor - children ages 5-14: | percentage: 16% (2007 est.) |
