| People and Society | MAURITANIA |
| --- | --- |
| Population: | 3,758,571 (July 2017 est.) |
| Nationality: | noun: Mauritanian(s) |
| Nationality: | adjective: Mauritanian |
| Ethnic groups: | black Moors (Haratines - Arab-speaking slaves, former slaves, and their descendants of African origin, enslaved by white Moors) 40%, white Moors (of Arab-Berber descent, known as Bidhan) 30%, Sub-Saharan Mauritanians (non-Arabic speaking, Halpulaar, Soninke, Wolof, and Bamara ethnic groups) 30% |
| Languages: | Arabic (official and national), Pular, Soninke, Wolof (all national languages), French |
| Languages: | note: the spoken Arabic in Mauritania differs considerably from the modern standard Arabic used for official written purposes or in the media; the Mauritanian dialect, which incorporates many Berber words, is referred to as Hassaniya |
| Religions: | Muslim (official) 100% |
| Demographic profile: | With a sustained total fertility rate of about 4 children per woman and almost 60% of the population under the age of 25, Mauritania’s population is likely to continue growing for the foreseeable future. Mauritania’s large youth cohort is vital to its development prospects, but available schooling does not adequately prepare students for the workplace. Girls continue to be underrepresented in the classroom, educational quality remains poor, and the dropout rate is high. The literacy rate is only about 50%, even though access to primary education has improved since the mid-2000s. Women’s restricted access to education and discriminatory laws maintain gender inequality – worsened by early and forced marriages and female genital cutting. |
| Demographic profile: | The denial of education to black Moors also helps to perpetuate slavery. Although Mauritania abolished slavery in 1981 (the last country in the world to do so) and made it a criminal offense in 2007, the millenniums-old practice persists largely because anti-slavery laws are rarely enforced and the custom is so ingrained. Up to 20% of Mauritania’s population is estimated to be enslaved, the highest rate worldwide. |
| Demographic profile: | Drought, poverty, and unemployment have driven outmigration from Mauritania since the 1970s. Early flows were directed toward other West African countries, including Senegal, Mali, Cote d’Ivoire, and Gambia. The 1989 Mauritania-Senegal conflict forced thousands of black Mauritanians to take refuge in Senegal and pushed labor migrants toward the Gulf, Libya, and Europe in the late 1980s and early 1990s. Mauritania has accepted migrants from neighboring countries to fill labor shortages since its independence in 1960 and more recently has received refugees escaping civil wars, including tens of thousands of Tuaregs who fled Mali in 2012. |
| Demographic profile: | Mauritania was an important transit point for sub-Saharan migrants moving illegally to North Africa and Europe. In the mid-2000s, as border patrols increased in the Strait of Gibraltar, security increased around Spain’s North African enclaves (Ceuta and Melilla), and Moroccan border controls intensified, illegal migration flows shifted from the Western Mediterranean to Spain’s Canary Islands. In 2006, departure points moved southward along the West African coast from Morocco and Western Sahara to Mauritania’s two key ports (Nouadhibou and the capital Nouakchott), and illegal migration to the Canaries peaked at almost 32,000. The numbers fell dramatically in the following years because of joint patrolling off the West African coast by Frontex (the EU’s border protection agency), Spain, Mauritania, and Senegal; the expansion of Spain’s border surveillance system; and the 2008 European economic downturn. |
| Age structure: | 0-14 years: 38.56% (male 727,855/female 721,508) |
| Age structure: | 15-24 years: 19.81% (male 364,570/female 379,866) |
| Age structure: | 25-54 years: 33.21% (male 578,422/female 669,628) |
| Age structure: | 55-64 years: 4.67% (male 79,162/female 96,297) |
| Age structure: | 65 years and over: 3.76% (male 59,928/female 81,335) (2017 est.) |
| Dependency ratios: | total dependency ratio: 76.5 |
| Dependency ratios: | youth dependency ratio: 71 |
| Dependency ratios: | elderly dependency ratio: 5.5 |
| Dependency ratios: | potential support ratio: 18.3 (2015 est.) |
| Median age: | total: 20.5 years |
| Median age: | male: 19.5 years |
| Median age: | female: 21.4 years (2017 est.) |
| Population growth rate: | 2.17% (2017 est.) |
| Birth rate: | 30.4 births/1,000 population (2017 est.) |
| Death rate: | 7.9 deaths/1,000 population (2017 est.) |
