| People and Society | Mauritania |
| --- | --- |
| Nationality: | noun: Mauritanian(s) |
| Nationality: | adjective: Mauritanian |
| Ethnic groups: | black Moors (Haratines - Arab-speaking slaves, former slaves, and their descendants of African origin, enslaved by white Moors) 40%, white Moors (of Arab-Berber descent, known as Bidhan) 30%, black Africans (non-Arabic speaking, Halpulaar, Soninke, Wolof, and Bamara ethnic groups) 30% |
| Languages: | Arabic (official and national), Pulaar, Soninke, Wolof (all national languages), French, Hassaniya (a variety of Arabic) |
| Religions: | Muslim (official) 100% |
| Population: | 3,516,806 (July 2014 est.) |
| Age structure: | 0-14 years: 39.5% (male 697,156/female 691,548) |
| Age structure: | 15-24 years: 20% (male 343,214/female 358,533) |
| Age structure: | 25-54 years: 32.5% (male 528,133/female 613,324) |
| Age structure: | 55-64 years: 4.5% (male 71,265/female 87,086) |
| Age structure: | 65 years and over: 3.5% (male 53,705/female 72,842) (2014 est.) |
| population pyramid: | Dependency ratios: |
| population pyramid: | total dependency ratio: 75.7 % |
| population pyramid: | youth dependency ratio: 70.1 % |
| population pyramid: | elderly dependency ratio: 5.6 % |
| population pyramid: | potential support ratio: 17.9 (2014 est.) |
| Median age: | total: 19.9 years |
| Median age: | male: 19 years |
| Median age: | female: 20.9 years (2014 est.) |
| Population growth rate: | 2.26% (2014 est.) |
| Birth rate: | 31.83 births/1,000 population (2014 est.) |
| Death rate: | 8.35 deaths/1,000 population (2014 est.) |
| Net migration rate: | -0.85 migrant(s)/1,000 population (2014 est.) |
| Urbanization: | urban population: 41.5% of total population (2011) |
| Urbanization: | rate of urbanization: 2.91% annual rate of change (2010-15 est.) |
| Major urban areas - population: | NOUAKCHOTT (capital) 786,000 (2011) |
| Sex ratio: | at birth: 1.03 male(s)/female |
| Sex ratio: | 0-14 years: 1.01 male(s)/female |
| Sex ratio: | 15-24 years: 0.96 male(s)/female |
| Sex ratio: | 25-54 years: 0.86 male(s)/female |
| Sex ratio: | 55-64 years: 0.93 male(s)/female |
| Sex ratio: | 65 years and over: 0.74 male(s)/female |
| Sex ratio: | total population: 0.93 male(s)/female (2014 est.) |
| Mother's mean age at first birth: | 21.9 |
| Mother's mean age at first birth: | note: median age at first birth among women 25-29 (2000-01 est.) |
| Maternal mortality rate: | 510 deaths/100,000 live births (2010) |
| Infant mortality rate: | total: 56.06 deaths/1,000 live births |
| Infant mortality rate: | male: 61.04 deaths/1,000 live births |
| Infant mortality rate: | female: 50.93 deaths/1,000 live births (2014 est.) |
| Life expectancy at birth: | total population: 62.28 years |
| Life expectancy at birth: | male: 60 years |
| Life expectancy at birth: | female: 64.63 years (2014 est.) |
| Total fertility rate: | 4.07 children born/woman (2014 est.) |
| Contraceptive prevalence rate: | 9.3% (2007) |
| Health expenditures: | 5.4% of GDP (2011) |
| Physicians density: | 0.13 physicians/1,000 population (2009) |
| Hospital bed density: | 0.4 beds/1,000 population (2006) |
| Drinking water source: | improved: |
| Drinking water source: | urban: 52.3% of population |
| Drinking water source: | rural: 47.7% of population |
| Drinking water source: | total: 49.6% of population |
| unimproved: | urban: 47.7% of population |
| unimproved: | rural: 52.3% of population |
| unimproved: | total: 50.4% of population (2012 est.) |
| Sanitation facility access: | improved: |
| Sanitation facility access: | urban: 51.1% of population |
| Sanitation facility access: | rural: 9.2% of population |
| Sanitation facility access: | total: 26.7% of population |
| unimproved: | urban: 48.9% of population |
| unimproved: | rural: 90.8% of population |
| unimproved: | total: 73.3% of population (2012 est.) |
| HIV/AIDS - adult prevalence rate: | 0.4% (2012 est.) |
| HIV/AIDS - people living with HIV/AIDS: | 10,500 (2012 est.) |
| HIV/AIDS - deaths: | 800 (2012 est.) |
| Major infectious diseases: | degree of risk: very high |
| Major infectious diseases: | food or waterborne diseases: bacterial and protozoal diarrhea, hepatitis A, and typhoid fever |
| Major infectious diseases: | vectorborne diseases: malaria and dengue fever |
| Major infectious diseases: | respiratory disease: meningococcal meningitis |
| Major infectious diseases: | animal contact disease: rabies (2013) |
| Obesity - adult prevalence rate: | 12.7% (2008) |
| Children under the age of 5 years underweight: | 19.5% (2012) |
| Education expenditures: | 3.7% of GDP (2011) |
| Literacy: | definition: age 15 and over can read and write |
| Literacy: | total population: 58.6% |
| Literacy: | male: 65.3% |
| Literacy: | female: 52% (2011 est.) |
| School life expectancy (primary to tertiary education): | total: 8 years |
| School life expectancy (primary to tertiary education): | male: 8 years |
| School life expectancy (primary to tertiary education): | female: 8 years (2012) |
| Child labor - children ages 5-14: | total number: 127,251 |
| Child labor - children ages 5-14: | percentage: 16 % (2007 est.) |
