| People and Society | PHILIPPINES |
| --- | --- |
| Population: | 104,256,076 (July 2017 est.) |
| Nationality: | noun: Filipino(s) |
| Nationality: | adjective: Philippine |
| Ethnic groups: | Tagalog 28.1%, Cebuano 13.1%, Ilocano 9%, Bisaya/Binisaya 7.6%, Hiligaynon Ilonggo 7.5%, Bikol 6%, Waray 3.4%, other 25.3% (2000 census) |
| Languages: | Filipino (official; based on Tagalog) and English (official); eight major dialects - Tagalog, Cebuano, Ilocano, Hiligaynon or Ilonggo, Bicol, Waray, Pampango, and Pangasinan |
| Religions: | Catholic 82.9% (Roman Catholic 80.9%, Aglipayan 2%), Muslim 5%, Evangelical 2.8%, Iglesia ni Kristo 2.3%, other Christian 4.5%, other 1.8%, unspecified 0.6%, none 0.1% (2000 census) |
| Age structure: | 0-14 years: 33.39% (male 17,764,826/female 17,050,168) |
| Age structure: | 15-24 years: 19.16% (male 10,199,389/female 9,780,025) |
| Age structure: | 25-54 years: 36.99% (male 19,597,675/female 18,964,900) |
| Age structure: | 55-64 years: 5.97% (male 2,844,739/female 3,375,139) |
| Age structure: | 65 years and over: 4.49% (male 1,930,273/female 2,748,942) (2017 est.) |
| Dependency ratios: | total dependency ratio: 58.2 |
| Dependency ratios: | youth dependency ratio: 51 |
| Dependency ratios: | elderly dependency ratio: 7.2 |
| Dependency ratios: | potential support ratio: 13.8 (2015 est.) |
| Median age: | total: 23.5 years |
| Median age: | male: 23.1 years |
| Median age: | female: 24 years (2017 est.) |
| Population growth rate: | 1.57% (2017 est.) |
| Birth rate: | 23.7 births/1,000 population (2017 est.) |
| Death rate: | 6.1 deaths/1,000 population (2017 est.) |
| Net migration rate: | -2 migrant(s)/1,000 population (2017 est.) |
| Population distribution: | population concentrated where good farmlands lie; highest concentrations are northwest and south-central Luzon, the southeastern extension of Luzon, and the islands of the Visayan Sea, particularly Cebu and Negros; Manila is home to one-eighth of the entire national population |
| Urbanization: | urban population: 44.2% of total population (2017) |
| Urbanization: | rate of urbanization: 1.57% annual rate of change (2015-20 est.) |
| Major urban areas - population: | MANILA (capital) 12.946 million; Davao 1.63 million; Cebu City 951,000; Zamboanga 936,000 (2015) |
| Sex ratio: | at birth: 1.05 male(s)/female |
| Sex ratio: | 0-14 years: 1.04 male(s)/female |
| Sex ratio: | 15-24 years: 1.04 male(s)/female |
| Sex ratio: | 25-54 years: 1.03 male(s)/female |
| Sex ratio: | 55-64 years: 0.84 male(s)/female |
| Sex ratio: | 65 years and over: 0.72 male(s)/female |
| Sex ratio: | total population: 1.01 male(s)/female (2016 est.) |
| Mother's mean age at first birth: | 23 years |
| Mother's mean age at first birth: | note: median age at first birth among women 25-29 (2013 est.) |
| Maternal mortality rate: | 114 deaths/100,000 live births (2015 est.) |
| Infant mortality rate: | total: 21.4 deaths/1,000 live births |
| Infant mortality rate: | male: 24.3 deaths/1,000 live births |
| Infant mortality rate: | female: 18.3 deaths/1,000 live births (2017 est.) |
| Life expectancy at birth: | total population: 69.4 years |
| Life expectancy at birth: | male: 65.9 years |
| Life expectancy at birth: | female: 73.1 years (2017 est.) |
| Total fertility rate: | 3.02 children born/woman (2017 est.) |
| Contraceptive prevalence rate: | 55.1% (2013) |
| Health expenditures: | 4.7% of GDP (2014) |
| Hospital bed density: | 1 beds/1,000 population (2011) |
| Drinking water source: | improved: |
| Drinking water source: | urban: 93.7% of population |
| Drinking water source: | rural: 90.3% of population |
| Drinking water source: | total: 91.8% of population |
| unimproved: | urban: 6.3% of population |
| unimproved: | rural: 9.7% of population |
| unimproved: | total: 8.2% of population (2015 est.) |
| Sanitation facility access: | improved: |
| Sanitation facility access: | urban: 77.9% of population |
| Sanitation facility access: | rural: 70.8% of population |
| Sanitation facility access: | total: 73.9% of population |
| unimproved: | urban: 22.1% of population |
| unimproved: | rural: 29.2% of population |
| unimproved: | total: 26.1% of population (2015 est.) |
| HIV/AIDS - adult prevalence rate: | 0.1% (2016 est.) |
| HIV/AIDS - people living with HIV/AIDS: | 56,000 (2016 est.) |
| HIV/AIDS - deaths: | <1000 (2016 est.) |
| Major infectious diseases: | degree of risk: high |
| Major infectious diseases: | food or waterborne diseases: bacterial diarrhea, hepatitis A, and typhoid fever |
| Major infectious diseases: | vectorborne diseases: dengue fever and malaria |
| Major infectious diseases: | water contact disease: leptospirosis (2016) |
| Obesity - adult prevalence rate: | 6.4% (2016) |
| Children under the age of 5 years underweight: | 19.9% (2013) |
| Education expenditures: | 2.7% of GDP (2009) |
| Literacy: | definition: age 15 and over can read and write |
| Literacy: | total population: 96.3% |
| Literacy: | male: 95.8% |
| Literacy: | female: 96.8% (2015 est.) |
| School life expectancy (primary to tertiary education): | total: 13 years |
| School life expectancy (primary to tertiary education): | male: 12 years |
| School life expectancy (primary to tertiary education): | female: 13 years (2013) |
| Unemployment, youth ages 15-24: | total: 15% |
| Unemployment, youth ages 15-24: | male: 14.3% |
| Unemployment, youth ages 15-24: | female: 16% (2015 est.) |
