| People and Society | Belize |
| --- | --- |
| Nationality: | noun: Belizean(s) |
| Nationality: | adjective: Belizean |
| Ethnic groups: | mestizo 48.7%, Creole 24.9%, Maya 10.6%, Garifuna 6.1%, other 9.7% (2000 census) |
| Languages: | Spanish 46%, Creole 32.9%, Mayan dialects 8.9%, English 3.9% (official), Garifuna 3.4% (Carib), German 3.3%, other 1.4%, unknown 0.2% (2000 census) |
| Religions: | Roman Catholic 49.6%, Protestant 25.5% (Pentecostal 7.4%, Anglican 5.3%, Seventh-Day Adventist 5.2%, Mennonite 4.1%, Methodist 3.5%), Jehovah's Witnesses 1.5%, other 14%, none 9.4% (2000) |
| Population: | 321,115 (July 2011 est.) |
| Age structure: | 0-14 years: 36.8% (male 60,327/female 57,933) |
| Age structure: | 15-64 years: 59.6% (male 96,886/female 94,605) |
| Age structure: | 65 years and over: 3.5% (male 5,404/female 5,960) (2011 est.) |
| Median age: | total: 21 years |
| Median age: | male: 20.8 years |
| Median age: | female: 21.2 years (2011 est.) |
| Population growth rate: | 2.056% (2011 est.) |
| Birth rate: | 26.43 births/1,000 population (2011 est.) |
| Death rate: | 5.87 deaths/1,000 population (July 2011 est.) |
| Net migration rate: | 0 migrant(s)/1,000 population (2011 est.) |
| Urbanization: | urban population: 52% of total population (2010) |
| Urbanization: | rate of urbanization: 2.7% annual rate of change (2010-15 est.) |
| Major cities - population: | BELMOPAN (capital) 20,000 (2009) |
| Sex ratio: | at birth: 1.05 male(s)/female |
| Sex ratio: | under 15 years: 1.04 male(s)/female |
| Sex ratio: | 15-64 years: 1.02 male(s)/female |
| Sex ratio: | 65 years and over: 0.91 male(s)/female |
| Sex ratio: | total population: 1.03 male(s)/female (2011 est.) |
| Maternal mortality rate: | 94 deaths/100,000 live births (2008) |
| Infant mortality rate: | total: 21.95 deaths/1,000 live births |
| Infant mortality rate: | male: 24.43 deaths/1,000 live births |
| Infant mortality rate: | female: 19.35 deaths/1,000 live births (2011 est.) |
| Life expectancy at birth: | total population: 68.23 years |
| Life expectancy at birth: | male: 66.53 years |
| Life expectancy at birth: | female: 70.02 years (2011 est.) |
| Total fertility rate: | 3.21 children born/woman (2011 est.) |
| Health expenditures: | 3.3% of GDP (2009) |
| Physicians density: | 0.828 physicians/1,000 population (2009) |
| Hospital bed density: | 1.1 beds/1,000 population (2009) |
| Drinking water source: | improved: |
| Drinking water source: | urban: 99% of population |
| Drinking water source: | rural: 100% of population |
| Drinking water source: | total: 99% of population |
| unimproved: | urban: 1% of population |
| unimproved: | rural: 0% of population |
| unimproved: | total: 1% of population (2008) |
| Sanitation facility access: | improved: |
| Sanitation facility access: | urban: 93% of population |
| Sanitation facility access: | rural: 86% of population |
| Sanitation facility access: | total: 90% of population |
| unimproved: | urban: 7% of population |
| unimproved: | rural: 14% of population |
| unimproved: | total: 10% of population (2008) |
| HIV/AIDS - adult prevalence rate: | 2.3% (2009 est.) |
| HIV/AIDS - people living with HIV/AIDS: | 4,800 (2009 est.) |
| HIV/AIDS - deaths: | fewer than 500 (2009 est.) |
| Major infectious diseases: | degree of risk: high |
| Major infectious diseases: | food or waterborne diseases: bacterial diarrhea, hepatitis A, and typhoid fever |
| Major infectious diseases: | vectorborne diseases: dengue fever and malaria |
| Major infectious diseases: | water contact disease: leptospirosis (2009) |
| Children under the age of 5 years underweight: | 4.9% (2006) |
| Education expenditures: | 5.7% of GDP (2008) |
| Literacy: | definition: age 15 and over can read and write |
| Literacy: | total population: 76.9% |
| Literacy: | male: 76.7% |
| Literacy: | female: 77.1% (2000 census) |
| School life expectancy (primary to tertiary education): | total: 12 years |
| School life expectancy (primary to tertiary education): | male: 12 years |
| School life expectancy (primary to tertiary education): | female: 13 years (2009) |
| Unemployment, youth ages 15-24: | total: 19.5% |
| Unemployment, youth ages 15-24: | male: 13.8% |
| Unemployment, youth ages 15-24: | female: 28.8% (2005) |
