| People and Society | Korea, North |
| --- | --- |
| Population: | 25,643,466 (July 2020 est.) |
| Nationality: | noun: Korean(s) |
| Nationality: | adjective: Korean |
| Ethnic groups: | racially homogeneous; there is a small Chinese community and a few ethnic Japanese |
| Languages: | Korean |
| Religions: | traditionally Buddhist and Confucianist, some Christian and syncretic Chondogyo (Religion of the Heavenly Way) |
| Religions: | note: autonomous religious activities now almost nonexistent; government-sponsored religious groups exist to provide illusion of religious freedom |
| Age structure: | 0-14 years: 20.47% (male 2,677,578/female 2,571,118) |
| Age structure: | 15-24 years: 14.68% (male 1,894,091/female 1,869,799) |
| Age structure: | 25-54 years: 44% (male 5,659,446/female 5,624,034) |
| Age structure: | 55-64 years: 11.2% (male 1,369,199/female 1,503,086) |
| Age structure: | 65 years and over: 9.65% (male 859,151/female 1,615,964) (2020 est.) |
| Dependency ratios: | total dependency ratio: 41.2 |
| Dependency ratios: | youth dependency ratio: 28 |
| Dependency ratios: | elderly dependency ratio: 13.2 |
| Dependency ratios: | potential support ratio: 7.6 (2020 est.) |
| Median age: | total: 34.6 years |
| Median age: | male: 33.2 years |
| Median age: | female: 36.2 years (2020 est.) |
| Population growth rate: | 0.51% (2020 est.) |
| Birth rate: | 14.5 births/1,000 population (2020 est.) |
| Death rate: | 9.4 deaths/1,000 population (2020 est.) |
| Net migration rate: | 0 migrant(s)/1,000 population (2020 est.) |
| Population distribution: | population concentrated in the plains and lowlands; least populated regions are the mountainous provinces adjacent to the Chinese border; largest concentrations are in the western provinces, particularly the municipal district of Pyongyang, and around Hungnam and Wonsan in the east |
| Urbanization: | urban population: 62.4% of total population (2020) |
| Urbanization: | rate of urbanization: 0.82% annual rate of change (2015-20 est.) |
| Urbanization: | total population growth rate v. urban population growth rate, 2000-2030: [Adobe] PDF |
| Major urban areas - population: | 3.084 million PYONGYANG (capital) (2020) |
| Sex ratio: | at birth: 1.06 male(s)/female |
| Sex ratio: | 0-14 years: 1.04 male(s)/female |
| Sex ratio: | 15-24 years: 1.01 male(s)/female |
| Sex ratio: | 25-54 years: 1.01 male(s)/female |
| Sex ratio: | 55-64 years: 0.91 male(s)/female |
| Sex ratio: | 65 years and over: 0.53 male(s)/female |
| Sex ratio: | total population: 0.95 male(s)/female (2020 est.) |
| Maternal mortality rate: | 89 deaths/100,000 live births (2017 est.) |
| Infant mortality rate: | total: 20 deaths/1,000 live births |
| Infant mortality rate: | male: 22.3 deaths/1,000 live births |
| Infant mortality rate: | female: 17.6 deaths/1,000 live births (2020 est.) |
| Life expectancy at birth: | total population: 71.6 years |
| Life expectancy at birth: | male: 67.7 years |
| Life expectancy at birth: | female: 75.6 years (2020 est.) |
| Total fertility rate: | 1.92 children born/woman (2020 est.) |
| Contraceptive prevalence rate: | 70.2% (2017) |
| Drinking water source: | improved: urban: 97.2% of population |
| Drinking water source: | rural: 90.2% of population |
| Drinking water source: | total: 94.5% of population |
| Drinking water source: | unimproved: urban: 2.8% of population |
| Drinking water source: | rural: 9.8% of population |
| Drinking water source: | total: 5.5% of population (2017 est.) |
| Physicians density: | 3.68 physicians/1,000 population (2017) |
| Hospital bed density: | 13.2 beds/1,000 population (2012) |
| Sanitation facility access: | improved: urban: 91.9% of population |
| Sanitation facility access: | rural: 72.3% of population |
| Sanitation facility access: | total: 84.5% of population |
| Sanitation facility access: | unimproved: urban: 8.1% of population |
| Sanitation facility access: | rural: 27.7% of population |
| Sanitation facility access: | total: 15.5% of population (2017 est.) |
| HIV/AIDS - adult prevalence rate: | NA |
| HIV/AIDS - people living with HIV/AIDS: | NA |
| HIV/AIDS - deaths: | NA |
| Obesity - adult prevalence rate: | 6.8% (2016) |
| Children under the age of 5 years underweight: | 9.3% (2017) |
| Education expenditures: | NA |
| Literacy: | definition: age 15 and over can read and write |
| Literacy: | total population: 100% |
| Literacy: | male: 100% |
| Literacy: | female: 100% (2015) |
| School life expectancy (primary to tertiary education): | total: 11 years |
| School life expectancy (primary to tertiary education): | male: 11 years |
| School life expectancy (primary to tertiary education): | female: 11 years (2015) |
