| People and Society | NEW ZEALAND |
| --- | --- |
| Nationality: | noun: New Zealander(s) |
| Nationality: | adjective: New Zealand |
| Ethnic groups: | European 71.2%, Maori 14.1%, Asian 11.3%, Pacific peoples 7.6%, Middle Eastern, Latin American, African 1.1%, other 1.6%, not stated or unidentified 5.4% |
| Ethnic groups: | note: based on the 2013 census of the usually resident population; percentages add up to more than 100% because respondents were able to identify more than one ethnic group (2013 est.) |
| Languages: | English (de facto official) 89.8%, Maori (de jure official) 3.5%, Samoan 2%, Hindi 1.6%, French 1.2%, Northern Chinese 1.2%, Yue 1%, Other or not stated 20.5%, New Zealand Sign Language (de jure official) |
| Languages: | note: shares sum to 120.8% due to multiple responses on census (2013 est.) |
| Religions: | Christian 44.3% (Catholic 11.6%, Anglican 10.8%, Presbyterian and Congregational 7.8%, Methodist, 2.4%, Pentecostal 1.8%, other 9.9%), Hindu 2.1%, Buddhist 1.4%, Maori Christian 1.3%, Islam 1.1%, other religion 1.4% (includes Judaism, Spiritualism and New Age religions, Baha'i, Asian religions other than Buddhism), no religion 38.5%, not stated or unidentified 8.2%, objected to answering 4.1% |
| Religions: | note: based on the 2013 census of the usually resident population; percentages add up to more than 100% because people were able to identify more than one religion (2013 est.) |
| Population: | 4,438,393 (July 2015 est.) |
| Age structure: | 0-14 years: 19.87% (male 451,684/female 430,084) |
| Age structure: | 15-24 years: 13.74% (male 313,140/female 296,654) |
| Age structure: | 25-54 years: 40.25% (male 894,475/female 891,973) |
| Age structure: | 55-64 years: 11.52% (male 249,765/female 261,670) |
| Age structure: | 65 years and over: 14.62% (male 299,862/female 349,086) (2015 est.) |
| population pyramid: | Dependency ratios: |
| population pyramid: | total dependency ratio: 54% |
| population pyramid: | youth dependency ratio: 31.1% |
| population pyramid: | elderly dependency ratio: 22.9% |
| population pyramid: | potential support ratio: 4.4% (2015 est.) |
| Median age: | total: 37.7 years |
| Median age: | male: 36.8 years |
| Median age: | female: 38.5 years (2015 est.) |
| Population growth rate: | 0.82% (2015 est.) |
| Birth rate: | 13.33 births/1,000 population (2015 est.) |
| Death rate: | 7.36 deaths/1,000 population (2015 est.) |
| Net migration rate: | 2.21 migrant(s)/1,000 population (2015 est.) |
| Urbanization: | urban population: 86.3% of total population (2015) |
| Urbanization: | rate of urbanization: 1.05% annual rate of change (2010-15 est.) |
| Major urban areas - population: | Auckland 1.344 million; WELLINGTON (capital) 383,000 (2015) |
| Sex ratio: | at birth: 1.05 male(s)/female |
| Sex ratio: | 0-14 years: 1.05 male(s)/female |
| Sex ratio: | 15-24 years: 1.06 male(s)/female |
| Sex ratio: | 25-54 years: 1 male(s)/female |
| Sex ratio: | 55-64 years: 0.96 male(s)/female |
| Sex ratio: | 65 years and over: 0.86 male(s)/female |
| Sex ratio: | total population: 0.99 male(s)/female (2015 est.) |
| Infant mortality rate: | total: 4.52 deaths/1,000 live births |
| Infant mortality rate: | male: 5.07 deaths/1,000 live births |
| Infant mortality rate: | female: 3.96 deaths/1,000 live births (2015 est.) |
| Life expectancy at birth: | total population: 81.05 years |
| Life expectancy at birth: | male: 78.97 years |
| Life expectancy at birth: | female: 83.22 years (2015 est.) |
| Total fertility rate: | 2.04 children born/woman (2015 est.) |
| Health expenditures: | 9.7% of GDP (2013) |
| Physicians density: | 2.74 physicians/1,000 population (2010) |
| Hospital bed density: | 2.3 beds/1,000 population (2011) |
| Drinking water source: | improved: |
| Drinking water source: | urban: 100% of population |
| Drinking water source: | rural: 100% of population |
| Drinking water source: | total: 100% of population |
| unimproved: | urban: 0% of population |
| unimproved: | rural: 0% of population |
| unimproved: | total: 0% of population (2015 est.) |
| HIV/AIDS - adult prevalence rate: | NA |
| HIV/AIDS - people living with HIV/AIDS: | NA |
| HIV/AIDS - deaths: | NA |
| Obesity - adult prevalence rate: | 30.6% (2014) |
| Education expenditures: | 7.4% of GDP (2012) |
| School life expectancy (primary to tertiary education): | total: 19 years |
| School life expectancy (primary to tertiary education): | male: 18 years |
| School life expectancy (primary to tertiary education): | female: 20 years (2012) |
| Unemployment, youth ages 15-24: | total: 17.7% |
| Unemployment, youth ages 15-24: | male: 17.3% |
| Unemployment, youth ages 15-24: | female: 18.1% (2012 est.) |
