| People and Society | Belgium |
| --- | --- |
| Population: | 11,720,716 (July 2020 est.) |
| Nationality: | noun: Belgian(s) |
| Nationality: | adjective: Belgian |
| Ethnic groups: | Belgian 75.2%, Italian 4.1%, Moroccan 3.7%, French 2.4%, Turkish 2%, Dutch 2%, other 10.6% (2012 est.) |
| Languages: | Dutch (official) 60%, French (official) 40%, German (official) less than 1% |
| Religions: | Roman Catholic 50%, Protestant and other Christian 2.5%, Muslim 5%, Jewish 0.4%, Buddhist 0.3%, atheist 9.2%, none 32.6% (2009 est.) |
| Age structure: | 0-14 years: 17.22% (male 1,033,383/female 984,624) |
| Age structure: | 15-24 years: 11.2% (male 670,724/female 642,145) |
| Age structure: | 25-54 years: 39.23% (male 2,319,777/female 2,278,450) |
| Age structure: | 55-64 years: 13.14% (male 764,902/female 775,454) |
| Age structure: | 65 years and over: 19.21% (male 988,148/female 1,263,109) (2020 est.) |
| Dependency ratios: | total dependency ratio: 57 |
| Dependency ratios: | youth dependency ratio: 26.7 |
| Dependency ratios: | elderly dependency ratio: 30.2 |
| Dependency ratios: | potential support ratio: 3.3 (2020 est.) |
| Median age: | total: 41.6 years |
| Median age: | male: 40.4 years |
| Median age: | female: 42.8 years (2020 est.) |
| Population growth rate: | 0.63% (2020 est.) |
| Birth rate: | 11.1 births/1,000 population (2020 est.) |
| Death rate: | 9.8 deaths/1,000 population (2020 est.) |
| Net migration rate: | 4.8 migrant(s)/1,000 population (2020 est.) |
| Population distribution: | most of the population concentrated in the northern two-thirds of the country; the southeast is more thinly populated; considered to have one of the highest population densities in the world; approximately 97% live in urban areas |
| Urbanization: | urban population: 98.1% of total population (2020) |
| Urbanization: | rate of urbanization: 0.62% annual rate of change (2015-20 est.) |
| Urbanization: | total population growth rate v. urban population growth rate, 2000-2030: [Adobe] PDF |
| Major urban areas - population: | 2.081 million BRUSSELS (capital), 1.042 million Antwerp (2020) |
| Sex ratio: | at birth: 1.05 male(s)/female |
| Sex ratio: | 0-14 years: 1.05 male(s)/female |
| Sex ratio: | 15-24 years: 1.04 male(s)/female |
| Sex ratio: | 25-54 years: 1.02 male(s)/female |
| Sex ratio: | 55-64 years: 0.99 male(s)/female |
| Sex ratio: | 65 years and over: 0.78 male(s)/female |
| Sex ratio: | total population: 0.97 male(s)/female (2020 est.) |
| Mother's mean age at first birth: | 29 years (2018 est.) |
| Maternal mortality rate: | 5 deaths/100,000 live births (2017 est.) |
| Infant mortality rate: | total: 3.3 deaths/1,000 live births |
| Infant mortality rate: | male: 3.7 deaths/1,000 live births |
| Infant mortality rate: | female: 2.9 deaths/1,000 live births (2020 est.) |
| Life expectancy at birth: | total population: 81.4 years |
| Life expectancy at birth: | male: 78.8 years |
| Life expectancy at birth: | female: 84.2 years (2020 est.) |
| Total fertility rate: | 1.77 children born/woman (2020 est.) |
| Contraceptive prevalence rate: | 66.7% (2018) |
| Drinking water source: | improved: urban: 100% of population |
| Drinking water source: | rural: 100% of population |
| Drinking water source: | total: 100% of population |
| Drinking water source: | unimproved: urban: 0% of population |
| Drinking water source: | rural: 0% of population |
| Drinking water source: | total: 0% of population (2017 est.) |
| Current Health Expenditure: | 10.3% (2017) |
| Physicians density: | 3.07 physicians/1,000 population (2017) |
| Hospital bed density: | 5.7 beds/1,000 population (2017) |
| Sanitation facility access: | improved: urban: 100% of population |
| Sanitation facility access: | rural: 100% of population |
| Sanitation facility access: | total: 100% of population |
| Sanitation facility access: | unimproved: urban: 0% of population |
| Sanitation facility access: | rural: 0% of population |
| Sanitation facility access: | total: 0% of population (2017 est.) |
| HIV/AIDS - adult prevalence rate: | NA |
| HIV/AIDS - people living with HIV/AIDS: | NA |
| HIV/AIDS - deaths: | NA |
| Obesity - adult prevalence rate: | 22.1% (2016) |
| Education expenditures: | 6.4% of GDP (2017) |
| School life expectancy (primary to tertiary education): | total: 20 years |
| School life expectancy (primary to tertiary education): | male: 19 years |
| School life expectancy (primary to tertiary education): | female: 21 years (2018) |
| Unemployment, youth ages 15-24: | total: 15.8% |
| Unemployment, youth ages 15-24: | male: 16.2% |
| Unemployment, youth ages 15-24: | female: 15.3% (2018 est.) |
