| People and Society | Turks and Caicos Islands |
| --- | --- |
| Nationality: | noun: none |
| Nationality: | adjective: none |
| Ethnic groups: | black 87.6%, white 7.9%, mixed 2.5%, East Indian 1.3%, other 0.7% (2006) |
| Languages: | English (official) |
| Religions: | Protestant 72.8% (Baptist 35.8%, Church of God 11.7%, Anglican 10%, Methodist 9.3%, Seventh-Day Adventist 6%), Roman Catholic 11.4%, Jehovah's Witnesses 1.8%, other 14% |
| Population: | 49,070 (July 2014 est.) |
| Age structure: | 0-14 years: 22.1% (male 5,536/female 5,332) |
| Age structure: | 15-24 years: 14.8% (male 3,552/female 3,715) |
| Age structure: | 25-54 years: 53.5% (male 13,333/female 12,931) |
| Age structure: | 55-64 years: 5.3% (male 1,434/female 1,188) |
| Age structure: | 65 years and over: 4.1% (male 910/female 1,139) (2014 est.) |
| population pyramid: | Median age: |
| population pyramid: | total: 31.9 years |
| population pyramid: | male: 32.2 years |
| population pyramid: | female: 31.5 years (2014 est.) |
| Population growth rate: | 2.58% (2014 est.) |
| Birth rate: | 16.61 births/1,000 population (2014 est.) |
| Death rate: | 3.08 deaths/1,000 population (2014 est.) |
| Net migration rate: | 12.23 migrant(s)/1,000 population (2014 est.) |
| Urbanization: | urban population: 93.8% of total population (2011) |
| Urbanization: | rate of urbanization: 1.67% annual rate of change (2010-15 est.) |
| Major urban areas - population: | GRAND TURK (capital) 7,000 (2011) |
| Sex ratio: | at birth: 1.05 male(s)/female |
| Sex ratio: | 0-14 years: 1.04 male(s)/female |
| Sex ratio: | 15-24 years: 0.96 male(s)/female |
| Sex ratio: | 25-54 years: 1.03 male(s)/female |
| Sex ratio: | 55-64 years: 1.02 male(s)/female |
| Sex ratio: | 65 years and over: 0.8 male(s)/female |
| Sex ratio: | total population: 1.02 male(s)/female (2014 est.) |
| Infant mortality rate: | total: 10.97 deaths/1,000 live births |
| Infant mortality rate: | male: 13.7 deaths/1,000 live births |
| Infant mortality rate: | female: 8.09 deaths/1,000 live births (2014 est.) |
| Life expectancy at birth: | total population: 79.55 years |
| Life expectancy at birth: | male: 76.8 years |
| Life expectancy at birth: | female: 82.42 years (2014 est.) |
| Total fertility rate: | 1.7 children born/woman (2014 est.) |
| Drinking water source: | improved: |
| Drinking water source: | urban: 87% of population |
| Drinking water source: | rural: 87% of population |
| Drinking water source: | total: 87% of population |
| unimproved: | urban: 13% of population |
| unimproved: | rural: 13% of population |
| unimproved: | total: 13% of population (2007 est.) |
| Sanitation facility access: | improved: |
| Sanitation facility access: | urban: 81.4% of population |
| Sanitation facility access: | rural: 81.4% of population |
| Sanitation facility access: | total: 81.4% of population |
| unimproved: | urban: 18.6% of population |
| unimproved: | rural: 18.6% of population |
| unimproved: | total: 18.6% of population (2007 est.) |
| HIV/AIDS - adult prevalence rate: | NA |
| HIV/AIDS - people living with HIV/AIDS: | NA |
| HIV/AIDS - deaths: | NA |
| Education expenditures: | NA |
| Literacy: | definition: age 15 and over has ever attended school |
| Literacy: | total population: 98% |
| Literacy: | male: 99% |
| Literacy: | female: 98% (1970 est.) |
| People - note: | destination and transit point for illegal Haitian immigrants bound for the Turks and Caicos Islands, The Bahamas, and the US |
