| People and Society | Turks and Caicos Islands |
| --- | --- |
| Nationality: | noun: none |
| Nationality: | adjective: none |
| Ethnic groups: | black 87.6%, white 7.9%, mixed 2.5%, East Indian 1.3%, other 0.7% (2001 census) |
| Languages: | English (official) |
| Religions: | Protestant 72.8% (Baptist 35.8%, Church of God 11.7%, Anglican 10%, Methodist 9.3%, Seventh-Day Adventist 6%), Roman Catholic 11.4%, Jehovah's Witnesses 1.8%, other 14% (2001) |
| Population: | 44,819 (July 2011 est.) |
| Age structure: | 0-14 years: 22.7% (male 5,188/female 5,008) |
| Age structure: | 15-64 years: 73.2% (male 16,653/female 16,156) |
| Age structure: | 65 years and over: 4% (male 813/female 1,001) (2011 est.) |
| Median age: | total: 30.4 years |
| Median age: | male: 30.8 years |
| Median age: | female: 30.1 years (2011 est.) |
| Population growth rate: | 3.485% (2011 est.) |
| Birth rate: | 17.76 births/1,000 population (2011 est.) |
| Death rate: | 2.99 deaths/1,000 population (July 2011 est.) |
| Net migration rate: | 20.08 migrant(s)/1,000 population (2011 est.) |
| Urbanization: | urban population: 93% of total population (2010) |
| Urbanization: | rate of urbanization: 1.6% annual rate of change (2010-15 est.) |
| Major cities - population: | GRAND TURK (capital) 6,000 (2009) |
| Sex ratio: | at birth: 1.052 male(s)/female |
| Sex ratio: | under 15 years: 1.04 male(s)/female |
| Sex ratio: | 15-64 years: 1.1 male(s)/female |
| Sex ratio: | 65 years and over: 0.98 male(s)/female |
| Sex ratio: | total population: 1.07 male(s)/female (2011 est.) |
| Infant mortality rate: | total: 11.97 deaths/1,000 live births |
| Infant mortality rate: | male: 15.02 deaths/1,000 live births |
| Infant mortality rate: | female: 8.77 deaths/1,000 live births (2011 est.) |
| Life expectancy at birth: | total population: 79.11 years |
| Life expectancy at birth: | male: 76.39 years |
| Life expectancy at birth: | female: 81.97 years (2011 est.) |
| Total fertility rate: | 1.7 children born/woman (2011 est.) |
| Drinking water source: | improved: |
| Drinking water source: | urban: 100% of population |
| Drinking water source: | rural: 100% of population |
| Drinking water source: | total: 100% of population (2008) |
| Sanitation facility access: | improved: |
| Sanitation facility access: | urban: 98% of population |
| Sanitation facility access: | rural: 94% of population |
| Sanitation facility access: | total: 96% of population |
| unimproved: | urban: 2% of population |
| unimproved: | rural: 6% of population |
| unimproved: | total: 4% of population (2000) |
| HIV/AIDS - adult prevalence rate: | NA |
| HIV/AIDS - people living with HIV/AIDS: | NA |
| HIV/AIDS - deaths: | NA |
| Education expenditures: | NA |
| Literacy: | definition: age 15 and over has ever attended school |
| Literacy: | total population: 98% |
| Literacy: | male: 99% |
| Literacy: | female: 98% (1970 est.) |
| School life expectancy (primary to tertiary education): | total: 11 years |
| School life expectancy (primary to tertiary education): | male: 11 years |
| School life expectancy (primary to tertiary education): | female: 12 years (2005) |
| People - note: | destination and transit point for illegal Haitian immigrants bound for the Turks and Caicos Islands, The Bahamas, and the US |
