| People and Society | Japan |
| --- | --- |
| Nationality: | noun: Japanese (singular and plural) |
| Nationality: | adjective: Japanese |
| Ethnic groups: | Japanese 98.5%, Koreans 0.5%, Chinese 0.4%, other 0.6% |
| Ethnic groups: | note: up to 230,000 Brazilians of Japanese origin migrated to Japan in the 1990s to work in industries; some have returned to Brazil (2004) |
| Languages: | Japanese |
| Religions: | Shintoism 83.9%, Buddhism 71.4%, Christianity 2%, other 7.8% |
| Religions: | note: total adherents exceeds 100% because many people belong to both Shintoism and Buddhism (2005) |
| Population: | 127,253,075 (July 2013 est.) |
| Age structure: | 0-14 years: 13.4% (male 8,808,568/female 8,204,514) |
| Age structure: | 15-24 years: 9.7% (male 6,394,809/female 5,958,408) |
| Age structure: | 25-54 years: 38.3% (male 24,149,308/female 24,588,409) |
| Age structure: | 55-64 years: 13.8% (male 8,785,719/female 8,786,968) |
| Age structure: | 65 years and over: 24.8% (male 13,656,792/female 17,919,580) (2013 est.) |
| population pyramid: | Dependency ratios: |
| population pyramid: | total dependency ratio: 61.6 % |
| population pyramid: | youth dependency ratio: 21.1 % |
| population pyramid: | elderly dependency ratio: 40.5 % |
| population pyramid: | potential support ratio: 2.5 (2013) |
| Median age: | total: 45.8 years |
| Median age: | male: 44.4 years |
| Median age: | female: 47.2 years (2013 est.) |
| Population growth rate: | -0.1% (2013 est.) |
| Birth rate: | 8.23 births/1,000 population (2013 est.) |
| Death rate: | 9.27 deaths/1,000 population (2013 est.) |
| Net migration rate: | 0 migrant(s)/1,000 population (2013 est.) |
| Urbanization: | urban population: 91.3% of total population (2011) |
| Urbanization: | rate of urbanization: 0.57% annual rate of change (2010-15 est.) |
| Major urban areas - population: | TOKYO (capital) 36.507 million; Osaka-Kobe 11.325 million; Nagoya 3.257 million; Fukuoka-Kitakyushu 2.809 million; Sapporo 2.673 million (2009) |
| Sex ratio: | at birth: 1.06 male(s)/female |
| Sex ratio: | 0-14 years: 1.08 male(s)/female |
| Sex ratio: | 15-24 years: 1.06 male(s)/female |
| Sex ratio: | 25-54 years: 0.98 male(s)/female |
| Sex ratio: | 55-64 years: 1 male(s)/female |
| Sex ratio: | 65 years and over: 0.76 male(s)/female |
| Sex ratio: | total population: 0.95 male(s)/female (2013 est.) |
| Mother's mean age at first birth: | 29.4 (2007 est.) |
| Maternal mortality rate: | 5 deaths/100,000 live births (2010) |
| Infant mortality rate: | total: 2.17 deaths/1,000 live births |
| Infant mortality rate: | male: 2.4 deaths/1,000 live births |
| Infant mortality rate: | female: 1.92 deaths/1,000 live births (2013 est.) |
| Life expectancy at birth: | total population: 84.19 years |
| Life expectancy at birth: | male: 80.85 years |
| Life expectancy at birth: | female: 87.71 years (2013 est.) |
| Total fertility rate: | 1.39 children born/woman (2013 est.) |
| Contraceptive prevalence rate: | 54.3% |
| Contraceptive prevalence rate: | note: percent of women aged 20-49 (2005) |
| Health expenditures: | 9.3% of GDP (2011) |
| Physicians density: | 2.14 physicians/1,000 population (2008) |
| Hospital bed density: | 13.7 beds/1,000 population (2009) |
| Drinking water source: | improved: |
| Drinking water source: | urban: 100% of population |
| Drinking water source: | rural: 100% of population |
| Drinking water source: | total: 100% of population (2010 est.) |
| Sanitation facility access: | improved: |
| Sanitation facility access: | urban: 100% of population |
| Sanitation facility access: | rural: 100% of population |
| Sanitation facility access: | total: 100% of population (2010 est.) |
| HIV/AIDS - adult prevalence rate: | less than 0.1% (2009 est.) |
| HIV/AIDS - people living with HIV/AIDS: | 8,100 (2009 est.) |
| HIV/AIDS - deaths: | fewer than 100 (2009 est.) |
| Obesity - adult prevalence rate: | 5% (2008) |
| Education expenditures: | 3.8% of GDP (2010) |
| Literacy: | definition: age 15 and over can read and write |
| Literacy: | total population: 99% |
| Literacy: | male: 99% |
| Literacy: | female: 99% (2002) |
| School life expectancy (primary to tertiary education): | total: 15 years |
| School life expectancy (primary to tertiary education): | male: 16 years |
| School life expectancy (primary to tertiary education): | female: 15 years (2010) |
| Unemployment, youth ages 15-24: | total: 8% |
| Unemployment, youth ages 15-24: | male: 8.9% |
| Unemployment, youth ages 15-24: | female: 7.1% (2011) |
