| People and Society | JAPAN |
| --- | --- |
| Population: | 126,702,133 (July 2016 est.) |
| Nationality: | noun: Japanese (singular and plural) |
| Nationality: | adjective: Japanese |
| Ethnic groups: | Japanese 98.5%, Koreans 0.5%, Chinese 0.4%, other 0.6% |
| Ethnic groups: | note: up to 230,000 Brazilians of Japanese origin migrated to Japan in the 1990s to work in industries; some have returned to Brazil (2004) |
| Languages: | Japanese |
| Religions: | Shintoism 79.2%, Buddhism 66.8%, Christianity 1.5%, other 7.1% |
| Religions: | note: total adherents exceeds 100% because many people practice both Shintoism and Buddhism (2012 est.) |
| Age structure: | 0-14 years: 12.97% (male 8,472,869/female 7,963,782) |
| Age structure: | 15-24 years: 9.67% (male 6,436,935/female 5,813,222) |
| Age structure: | 25-54 years: 37.68% (male 23,593,194/female 24,145,406) |
| Age structure: | 55-64 years: 12.4% (male 7,867,611/female 7,840,141) |
| Age structure: | 65 years and over: 27.28% (male 15,080,738/female 19,488,235) (2016 est.) |
| Dependency ratios: | total dependency ratio: 64.5% |
| Dependency ratios: | youth dependency ratio: 21.1% |
| Dependency ratios: | elderly dependency ratio: 43.3% |
| Dependency ratios: | potential support ratio: 2.3% (2015 est.) |
| Median age: | total: 46.9 years |
| Median age: | male: 45.6 years |
| Median age: | female: 48.3 years (2016 est.) |
| Population growth rate: | -0.19% (2016 est.) |
| Birth rate: | 7.8 births/1,000 population (2016 est.) |
| Death rate: | 9.6 deaths/1,000 population (2016 est.) |
| Net migration rate: | 0 migrant(s)/1,000 population (2016 est.) |
| Urbanization: | urban population: 93.5% of total population (2015) |
| Urbanization: | rate of urbanization: 0.56% annual rate of change (2010-15 est.) |
| Major urban areas - population: | TOKYO (capital) 38.001 million; Osaka-Kobe 20.238 million; Nagoya 9.406 million; Kitakyushu-Fukuoka 5.51 million; Shizuoka-Hamamatsu 3.369 million; Sapporo 2.571 million (2015) |
| Sex ratio: | at birth: 1.06 male(s)/female |
| Sex ratio: | 0-14 years: 1.06 male(s)/female |
| Sex ratio: | 15-24 years: 1.11 male(s)/female |
| Sex ratio: | 25-54 years: 0.98 male(s)/female |
| Sex ratio: | 55-64 years: 1 male(s)/female |
| Sex ratio: | 65 years and over: 0.77 male(s)/female |
| Sex ratio: | total population: 0.94 male(s)/female (2016 est.) |
| Mother's mean age at first birth: | 30.3 (2012 est.) |
| Maternal mortality rate: | 5 deaths/100,000 live births (2015 est.) |
| Infant mortality rate: | total: 2 deaths/1,000 live births |
| Infant mortality rate: | male: 2.3 deaths/1,000 live births |
| Infant mortality rate: | female: 1.8 deaths/1,000 live births (2016 est.) |
| Life expectancy at birth: | total population: 85 years |
| Life expectancy at birth: | male: 81.7 years |
| Life expectancy at birth: | female: 88.5 years (2016 est.) |
| Total fertility rate: | 1.41 children born/woman (2016 est.) |
| Contraceptive prevalence rate: | 54.3% |
| Contraceptive prevalence rate: | note: percent of women aged 20-49 (2005) |
| Health expenditures: | 10.2% of GDP (2014) |
| Physicians density: | 2.3 physicians/1,000 population (2010) |
| Hospital bed density: | 13.7 beds/1,000 population (2009) |
| Drinking water source: | improved: |
| Drinking water source: | urban: 100% of population |
| Drinking water source: | rural: 100% of population |
| Drinking water source: | total: 100% of population |
| unimproved: | urban: 0% of population |
| unimproved: | rural: 0% of population |
| unimproved: | total: 0% of population (2015 est.) |
| Sanitation facility access: | improved: |
| Sanitation facility access: | urban: 100% of population |
| Sanitation facility access: | rural: 100% of population |
| Sanitation facility access: | total: 100% of population |
| unimproved: | urban: 0% of population |
| unimproved: | rural: 0% of population |
| unimproved: | total: 0% of population (2015 est.) |
| HIV/AIDS - adult prevalence rate: | NA |
| HIV/AIDS - people living with HIV/AIDS: | NA |
| HIV/AIDS - deaths: | NA |
| Obesity - adult prevalence rate: | 3.5% (2014) |
| Children under the age of 5 years underweight: | 3.4% (2010) |
| Education expenditures: | 3.8% of GDP (2014) |
| School life expectancy (primary to tertiary education): | total: 15 years |
| School life expectancy (primary to tertiary education): | male: 15 years |
| School life expectancy (primary to tertiary education): | female: 15 years (2013) |
| Unemployment, youth ages 15-24: | total: 5.9% |
| Unemployment, youth ages 15-24: | male: 6.4% |
| Unemployment, youth ages 15-24: | female: 5.4% (2014 est.) |
