| People and Society | Japan |
| --- | --- |
| Nationality: | noun: Japanese (singular and plural) |
| Nationality: | adjective: Japanese |
| Ethnic groups: | Japanese 98.5%, Koreans 0.5%, Chinese 0.4%, other 0.6% |
| Ethnic groups: | note: up to 230,000 Brazilians of Japanese origin migrated to Japan in the 1990s to work in industries; some have returned to Brazil (2004) |
| Languages: | Japanese |
| Religions: | Shintoism 83.9%, Buddhism 71.4%, Christianity 2%, other 7.8% |
| Religions: | note: total adherents exceeds 100% because many people belong to both Shintoism and Buddhism (2005) |
| Population: | 127,103,388 (July 2014 est.) |
| Age structure: | 0-14 years: 13.2% (male 8,681,728/female 8,132,809) |
| Age structure: | 15-24 years: 9.7% (male 6,429,429/female 5,890,991) |
| Age structure: | 25-54 years: 38.1% (male 23,953,643/female 24,449,655) |
| Age structure: | 55-64 years: 13.2% (male 8,413,872/female 8,400,953) |
| Age structure: | 65 years and over: 24.8% (male 14,218,655/female 18,531,653) (2014 est.) |
| population pyramid: | Dependency ratios: |
| population pyramid: | total dependency ratio: 63.3 % |
| population pyramid: | youth dependency ratio: 21.2 % |
| population pyramid: | elderly dependency ratio: 42.1 % |
| population pyramid: | potential support ratio: 2.4 (2014 est.) |
| Median age: | total: 46.1 years |
| Median age: | male: 44.8 years |
| Median age: | female: 47.5 years (2014 est.) |
| Population growth rate: | -0.13% (2014 est.) |
| Birth rate: | 8.07 births/1,000 population (2014 est.) |
| Death rate: | 9.38 deaths/1,000 population (2014 est.) |
| Net migration rate: | 0 migrant(s)/1,000 population (2014 est.) |
| Urbanization: | urban population: 91.3% of total population (2011) |
| Urbanization: | rate of urbanization: 0.57% annual rate of change (2010-15 est.) |
| Major urban areas - population: | TOKYO (capital) 37.217 million; Osaka-Kobe 11.494 million; Nagoya 3.328 million; Fukuoka-Kitakyushu 2.868 million; Sapporo 2.742 million; Sendai 2.428 million (2011) |
| Sex ratio: | at birth: 1.06 male(s)/female |
| Sex ratio: | 0-14 years: 1.07 male(s)/female |
| Sex ratio: | 15-24 years: 1.09 male(s)/female |
| Sex ratio: | 25-54 years: 0.98 male(s)/female |
| Sex ratio: | 55-64 years: 0.94 male(s)/female |
| Sex ratio: | 65 years and over: 0.76 male(s)/female |
| Sex ratio: | total population: 0.95 male(s)/female (2014 est.) |
| Mother's mean age at first birth: | 30.3 (2012 est.) |
| Maternal mortality rate: | 5 deaths/100,000 live births (2010) |
| Infant mortality rate: | total: 2.13 deaths/1,000 live births |
| Infant mortality rate: | male: 2.35 deaths/1,000 live births |
| Infant mortality rate: | female: 1.88 deaths/1,000 live births (2014 est.) |
| Life expectancy at birth: | total population: 84.46 years |
| Life expectancy at birth: | male: 81.13 years |
| Life expectancy at birth: | female: 87.99 years (2014 est.) |
| Total fertility rate: | 1.4 children born/woman (2014 est.) |
| Contraceptive prevalence rate: | 54.3% |
| Contraceptive prevalence rate: | note: percent of women aged 20-49 (2005) |
| Health expenditures: | 9.3% of GDP (2011) |
| Physicians density: | 2.14 physicians/1,000 population (2008) |
| Hospital bed density: | 13.7 beds/1,000 population (2009) |
| Drinking water source: | improved: |
| Drinking water source: | urban: 100% of population |
| Drinking water source: | rural: 100% of population |
| Drinking water source: | total: 100% of population |
| unimproved: | urban: 0% of population |
| unimproved: | rural: 0% of population |
| unimproved: | total: 0% of population (2012 est.) |
| Sanitation facility access: | improved: |
| Sanitation facility access: | urban: 100% of population |
| Sanitation facility access: | rural: 100% of population |
| Sanitation facility access: | total: 100% of population |
| unimproved: | urban: 0% of population |
| unimproved: | rural: 0% of population |
| unimproved: | total: 0% of population (2012 est.) |
| HIV/AIDS - adult prevalence rate: | less than 0.1% (2009 est.) |
| HIV/AIDS - people living with HIV/AIDS: | 8,100 (2009 est.) |
| HIV/AIDS - deaths: | fewer than 100 (2009 est.) |
| Obesity - adult prevalence rate: | 5% (2008) |
| Education expenditures: | 3.8% of GDP (2011) |
| Literacy: | definition: age 15 and over can read and write |
| Literacy: | total population: 99% |
| Literacy: | male: 99% |
| Literacy: | female: 99% (2002) |
| School life expectancy (primary to tertiary education): | total: 15 years |
| School life expectancy (primary to tertiary education): | male: 15 years |
| School life expectancy (primary to tertiary education): | female: 15 years (2011) |
| Unemployment, youth ages 15-24: | total: 7.9% |
| Unemployment, youth ages 15-24: | male: 8.7% |
| Unemployment, youth ages 15-24: | female: 7.1% (2012) |
