| People and Society | Nigeria |
| --- | --- |
| Population: | 203,452,505 (July 2018 est.) |
| Population: | note: estimates for this country explicitly take into account the effects of excess mortality due to AIDS; this can result in lower life expectancy, higher infant mortality, higher death rates, lower population growth rates, and changes in the distribution of population by age and sex than would otherwise be expected |
| Nationality: | noun: Nigerian(s) |
| Nationality: | adjective: Nigerian |
| Ethnic groups: | Hausa 27.4%, Igbo (Ibo) 14.1%, Yoruba 13.9%, Fulani 6.3%, Tiv 2.2%, Ibibio 2.2%, Ijaw/Izon 2%, Kanuri/Beriberi 1.7%, Igala 1%, other 28.9%, unspecified .2% (2013 est.) |
| Ethnic groups: | note: Nigeria, Africa's most populous country, is composed of more than 250 ethnic groups |
| Languages: | English (official), Hausa, Yoruba, Igbo (Ibo), Fulani, over 500 additional indigenous languages |
| Religions: | Muslim 51.6%, Roman Catholic 11.2%, other Christian 35.7%, traditionalist .9%, unspecified .5% (2013 est.) |
| Demographic profile: | Nigeriaâ€™s population is projected to grow from more than 186 million people in 2016 to 392 million in 2050, becoming the worldâ€™s fourth most populous country. Nigeriaâ€™s sustained high population growth rate will continue for the foreseeable future because of population momentum and its high birth rate. Abuja has not successfully implemented family planning programs to reduce and space births because of a lack of political will, government financing, and the availability and affordability of services and products, as well as a cultural preference for large families. Increased educational attainment, especially among women, and improvements in health care are needed to encourage and to better enable parents to opt for smaller families. |
| Demographic profile: | Nigeria needs to harness the potential of its burgeoning youth population in order to boost economic development, reduce widespread poverty, and channel large numbers of unemployed youth into productive activities and away from ongoing religious and ethnic violence. While most movement of Nigerians is internal, significant emigration regionally and to the West provides an outlet for Nigerians looking for economic opportunities, seeking asylum, and increasingly pursuing higher education. Immigration largely of West Africans continues to be insufficient to offset emigration and the loss of highly skilled workers. Nigeria also is a major source, transit, and destination country for forced labor and sex trafficking. |
| Age structure: | 0-14 years: 42.45% (male 44,087,799 /female 42,278,742) |
| Age structure: | 15-24 years: 19.81% (male 20,452,045 /female 19,861,371) |
| Age structure: | 25-54 years: 30.44% (male 31,031,253 /female 30,893,168) |
| Age structure: | 55-64 years: 4.04% (male 4,017,658 /female 4,197,739) |
