| People | Nigeria |
| --- | --- |
| Population: | 146,255,312 |
| Population: | note: estimates for this country explicitly take into account the effects of excess mortality due to AIDS; this can result in lower life expectancy, higher infant mortality, higher death rates, lower population growth rates, and changes in the distribution of population by age and sex than would otherwise be expected (July 2008 est.) |
| Age structure: | 0-14 years: 41.7% (male 31,171,949/female 29,806,204) |
| Age structure: | 15-64 years: 55.3% (male 41,243,003/female 39,611,565) |
| Age structure: | 65 years and over: 3% (male 2,152,318/female 2,270,267) (2008 est.) |
| Median age: | total: 18.9 years |
| Median age: | male: 18.8 years |
| Median age: | female: 19 years (2008 est.) |
| Population growth rate: | 2.025% (2008 est.) |
| Birth rate: | 37.23 births/1,000 population (2008 est.) |
| Death rate: | 16.88 deaths/1,000 population (2008 est.) |
| Net migration rate: | -0.1 migrant(s)/1,000 population (2008 est.) |
| Sex ratio: | at birth: 1.03 male(s)/female |
| Sex ratio: | under 15 years: 1.05 male(s)/female |
| Sex ratio: | 15-64 years: 1.04 male(s)/female |
| Sex ratio: | 65 years and over: 0.95 male(s)/female |
| Sex ratio: | total population: 1.04 male(s)/female (2008 est.) |
| Infant mortality rate: | total: 95.74 deaths/1,000 live births |
| Infant mortality rate: | male: 101.83 deaths/1,000 live births |
| Infant mortality rate: | female: 89.28 deaths/1,000 live births (2008 est.) |
| Life expectancy at birth: | total population: 46.53 years |
| Life expectancy at birth: | male: 45.78 years |
| Life expectancy at birth: | female: 47.32 years (2008 est.) |
| Total fertility rate: | 5.01 children born/woman (2008 est.) |
| HIV/AIDS - adult prevalence rate: | 5.4% (2003 est.) |
| HIV/AIDS - people living with HIV/AIDS: | 3.6 million (2003 est.) |
| HIV/AIDS - deaths: | 310,000 (2003 est.) |
| Major infectious diseases: | degree of risk: very high |
| Major infectious diseases: | food or waterborne diseases: bacterial and protozoal diarrhea, hepatitis A, and typhoid fever |
| Major infectious diseases: | vectorborne disease: malaria and yellow fever |
| Major infectious diseases: | respiratory disease: meningococcal meningitis |
| Major infectious diseases: | aerosolized dust or soil contact disease: one of the most highly endemic areas for Lassa fever |
| Major infectious diseases: | water contact disease: leptospirosis and shistosomiasis |
| Major infectious diseases: | note: highly pathogenic H5N1 avian influenza has been identified in this country; it poses a negligible risk with extremely rare cases possible among US citizens who have close contact with birds (2008) |
| Nationality: | noun: Nigerian(s) |
| Nationality: | adjective: Nigerian |
| Ethnic groups: | Nigeria, Africa's most populous country, is composed of more than 250 ethnic groups; the following are the most populous and politically influential: Hausa and Fulani 29%, Yoruba 21%, Igbo (Ibo) 18%, Ijaw 10%, Kanuri 4%, Ibibio 3.5%, Tiv 2.5% |
| Religions: | Muslim 50%, Christian 40%, indigenous beliefs 10% |
| Languages: | English (official), Hausa, Yoruba, Igbo (Ibo), Fulani |
| Literacy: | definition: age 15 and over can read and write |
| Literacy: | total population: 68% |
| Literacy: | male: 75.7% |
| Literacy: | female: 60.6% (2003 est.) |
| School life expectancy (primary to tertiary education): | total: 8 years |
| School life expectancy (primary to tertiary education): | male: 9 years |
| School life expectancy (primary to tertiary education): | female: 7 years (2004) |
| Education expenditures: | 0.9% of GDP (1991) |
