| People | Nigeria |
| --- | --- |
| Population: | 152,217,341 |
| Population: | note: estimates for this country explicitly take into account the effects of excess mortality due to AIDS; this can result in lower life expectancy, higher infant mortality, higher death rates, lower population growth rates, and changes in the distribution of population by age and sex than would otherwise be expected (July 2010 est.) |
| Age structure: | 0-14 years: 41.5% (male 31,624,050/female 30,242,637) |
| Age structure: | 15-64 years: 55.5% (male 42,240,641/female 40,566,672) |
| Age structure: | 65 years and over: 3.1% (male 2,211,840/female 2,343,250) (2010 est.) |
| Median age: | total: 19.1 years |
| Median age: | male: 19 years |
| Median age: | female: 19.2 years (2010 est.) |
| Population growth rate: | 1.966% (2010 est.) |
| Birth rate: | 36.07 births/1,000 population (2010 est.) |
| Death rate: | 16.31 deaths/1,000 population (July 2010 est.) |
| Net migration rate: | -0.1 migrant(s)/1,000 population (2010 est.) |
| Urbanization: | urban population: 48% of total population (2008) |
| Urbanization: | rate of urbanization: 3.8% annual rate of change (2005-10 est.) |
| Sex ratio: | at birth: 1.06 male(s)/female |
| Sex ratio: | under 15 years: 1.05 male(s)/female |
| Sex ratio: | 15-64 years: 1.04 male(s)/female |
| Sex ratio: | 65 years and over: 0.94 male(s)/female |
| Sex ratio: | total population: 1.04 male(s)/female (2010 est.) |
| Infant mortality rate: | total: 92.99 deaths/1,000 live births |
| Infant mortality rate: | male: 98.94 deaths/1,000 live births |
| Infant mortality rate: | female: 86.69 deaths/1,000 live births (2010 est.) |
| Life expectancy at birth: | total population: 47.24 years |
| Life expectancy at birth: | male: 46.46 years |
| Life expectancy at birth: | female: 48.08 years (2010 est.) |
| Total fertility rate: | 4.82 children born/woman (2010 est.) |
| HIV/AIDS - adult prevalence rate: | 3.1% (2007 est.) |
| HIV/AIDS - people living with HIV/AIDS: | 2.6 million (2007 est.) |
| HIV/AIDS - deaths: | 170,000 (2007 est.) |
| Major infectious diseases: | degree of risk: very high |
| Major infectious diseases: | food or waterborne diseases: bacterial and protozoal diarrhea, hepatitis A and E, and typhoid fever |
| Major infectious diseases: | vectorborne disease: malaria and yellow fever |
| Major infectious diseases: | respiratory disease: meningococcal meningitis |
| Major infectious diseases: | aerosolized dust or soil contact disease: one of the most highly endemic areas for Lassa fever |
| Major infectious diseases: | water contact disease: leptospirosis and shistosomiasis |
| Major infectious diseases: | animal contact disease: rabies |
| Major infectious diseases: | note: highly pathogenic H5N1 avian influenza has been identified in this country; it poses a negligible risk with extremely rare cases possible among US citizens who have close contact with birds (2009) |
| Nationality: | noun: Nigerian(s) |
| Nationality: | adjective: Nigerian |
| Ethnic groups: | Nigeria, Africa's most populous country, is composed of more than 250 ethnic groups; the following are the most populous and politically influential: Hausa and Fulani 29%, Yoruba 21%, Igbo (Ibo) 18%, Ijaw 10%, Kanuri 4%, Ibibio 3.5%, Tiv 2.5% |
| Religions: | Muslim 50%, Christian 40%, indigenous beliefs 10% |
| Languages: | English (official), Hausa, Yoruba, Igbo (Ibo), Fulani, over 500 additional indigenous languages |
| Literacy: | definition: age 15 and over can read and write |
| Literacy: | total population: 68% |
| Literacy: | male: 75.7% |
| Literacy: | female: 60.6% (2003 est.) |
| School life expectancy (primary to tertiary education): | total: 9 years |
| School life expectancy (primary to tertiary education): | male: 10 years |
| School life expectancy (primary to tertiary education): | female: 8 years (2005) |
| Education expenditures: | 0.9% of GDP (1991) |
