| People | Uganda |
| --- | --- |
| Population: | 28,195,754 |
| Population: | note: estimates for this country explicitly take into account the effects of excess mortality due to AIDS; this can result in lower life expectancy, higher infant mortality and death rates, lower population and growth rates, and changes in the distribution of population by age and sex than would otherwise be expected (July 2006 est.) |
| Age structure: | 0-14 years: 50% (male 7,091,763/female 6,996,385) |
| Age structure: | 15-64 years: 47.8% (male 6,762,071/female 6,727,230) |
| Age structure: | 65 years and over: 2.2% (male 266,931/female 351,374) (2006 est.) |
| Median age: | total: 15 years |
| Median age: | male: 14.9 years |
| Median age: | female: 15.1 years (2006 est.) |
| Population growth rate: | 3.37% (2006 est.) |
| Birth rate: | 47.35 births/1,000 population (2006 est.) |
| Death rate: | 12.24 deaths/1,000 population (2006 est.) |
| Net migration rate: | -1.4 migrant(s)/1,000 population (2006 est.) |
| Sex ratio: | at birth: 1.03 male(s)/female |
| Sex ratio: | under 15 years: 1.01 male(s)/female |
| Sex ratio: | 15-64 years: 1.01 male(s)/female |
| Sex ratio: | 65 years and over: 0.76 male(s)/female |
| Sex ratio: | total population: 1 male(s)/female (2006 est.) |
| Infant mortality rate: | total: 66.15 deaths/1,000 live births |
| Infant mortality rate: | male: 69.51 deaths/1,000 live births |
| Infant mortality rate: | female: 62.69 deaths/1,000 live births (2006 est.) |
| Life expectancy at birth: | total population: 52.67 years |
| Life expectancy at birth: | male: 51.68 years |
| Life expectancy at birth: | female: 53.69 years (2006 est.) |
| Total fertility rate: | 6.71 children born/woman (2006 est.) |
| HIV/AIDS - adult prevalence rate: | 4.1% (2003 est.) |
| HIV/AIDS - people living with HIV/AIDS: | 530,000 (2001 est.) |
| HIV/AIDS - deaths: | 78,000 (2003 est.) |
| Major infectious diseases: | degree of risk: very high |
| Major infectious diseases: | food or waterborne diseases: bacterial diarrhea, hepatitis A, and typhoid fever |
| Major infectious diseases: | vectorborne diseases: malaria and African trypanosomiasis (sleeping sickness) are high risks in some locations |
| Major infectious diseases: | water contact disease: schistosomiasis (2005) |
| Nationality: | noun: Ugandan(s) |
| Nationality: | adjective: Ugandan |
| Ethnic groups: | Baganda 17%, Ankole 8%, Basoga 8%, Iteso 8%, Bakiga 7%, Langi 6%, Rwanda 6%, Bagisu 5%, Acholi 4%, Lugbara 4%, Batoro 3%, Bunyoro 3%, Alur 2%, Bagwere 2%, Bakonjo 2%, Jopodhola 2%, Karamojong 2%, Rundi 2%, non-African (European, Asian, Arab) 1%, other 8% |
| Religions: | Roman Catholic 33%, Protestant 33%, Muslim 16%, indigenous beliefs 18% |
| Languages: | English (official national language, taught in grade schools, used in courts of law and by most newspapers and some radio broadcasts), Ganda or Luganda (most widely used of the Niger-Congo languages, preferred for native language publications in the capital and may be taught in school), other Niger-Congo languages, Nilo-Saharan languages, Swahili, Arabic |
| Literacy: | definition: age 15 and over can read and write |
| Literacy: | total population: 69.9% |
| Literacy: | male: 79.5% |
| Literacy: | female: 60.4% (2003 est.) |
