| People and Society | Uganda |
| --- | --- |
| Nationality: | noun: Ugandan(s) |
| Nationality: | adjective: Ugandan |
| Ethnic groups: | Baganda 16.9%, Banyakole 9.5%, Basoga 8.4%, Bakiga 6.9%, Iteso 6.4%, Langi 6.1%, Acholi 4.7%, Bagisu 4.6%, Lugbara 4.2%, Bunyoro 2.7%, other 29.6% (2002 census) |
| Languages: | English (official national language, taught in grade schools, used in courts of law and by most newspapers and some radio broadcasts), Ganda or Luganda (most widely used of the Niger-Congo languages, preferred for native language publications in the capital and may be taught in school), other Niger-Congo languages, Nilo-Saharan languages, Swahili, Arabic |
| Religions: | Roman Catholic 41.9%, Protestant 42% (Anglican 35.9%, Pentecostal 4.6%, Seventh-Day Adventist 1.5%), Muslim 12.1%, other 3.1%, none 0.9% (2002 census) |
| Population: | 34,612,250 (July 2011 est.) |
| Population: | note: estimates for this country explicitly take into account the effects of excess mortality due to AIDS; this can result in lower life expectancy, higher infant mortality, higher death rates, lower population growth rates, and changes in the distribution of population by age and sex than would otherwise be expected |
| Age structure: | 0-14 years: 49.9% (male 8,692,239/female 8,564,571) |
| Age structure: | 15-64 years: 48.1% (male 8,383,548/female 8,255,473) |
| Age structure: | 65 years and over: 2.1% (male 291,602/female 424,817) (2011 est.) |
| Median age: | total: 15.1 years |
| Median age: | male: 15 years |
| Median age: | female: 15.1 years (2011 est.) |
| Population growth rate: | 3.576% (2011 est.) |
| Birth rate: | 47.49 births/1,000 population (2011 est.) |
| Death rate: | 11.71 deaths/1,000 population (July 2011 est.) |
| Net migration rate: | -0.02 migrant(s)/1,000 population (2011 est.) |
| Urbanization: | urban population: 13% of total population (2010) |
| Urbanization: | rate of urbanization: 4.8% annual rate of change (2010-15 est.) |
| Major cities - population: | KAMPALA (capital) 1.535 million (2009) |
| Sex ratio: | at birth: 1.03 male(s)/female |
| Sex ratio: | under 15 years: 1.01 male(s)/female |
| Sex ratio: | 15-64 years: 1.01 male(s)/female |
| Sex ratio: | 65 years and over: 0.7 male(s)/female |
| Sex ratio: | total population: 1.01 male(s)/female (2011 est.) |
| Maternal mortality rate: | 430 deaths/100,000 live births (2008) |
| Infant mortality rate: | total: 62.47 deaths/1,000 live births |
| Infant mortality rate: | male: 66.05 deaths/1,000 live births |
| Infant mortality rate: | female: 58.77 deaths/1,000 live births (2011 est.) |
| Life expectancy at birth: | total population: 53.24 years |
| Life expectancy at birth: | male: 52.17 years |
| Life expectancy at birth: | female: 54.33 years (2011 est.) |
| Total fertility rate: | 6.69 children born/woman (2011 est.) |
| Health expenditures: | 8.2% of GDP (2009) |
| Physicians density: | 0.117 physicians/1,000 population (2005) |
| Hospital bed density: | 0.39 beds/1,000 population (2009) |
| Drinking water source: | improved: |
| Drinking water source: | urban: 91% of population |
| Drinking water source: | rural: 64% of population |
| Drinking water source: | total: 67% of population |
| unimproved: | urban: 9% of population |
| unimproved: | rural: 36% of population |
| unimproved: | total: 33% of population (2008) |
| Sanitation facility access: | improved: |
| Sanitation facility access: | urban: 38% of population |
| Sanitation facility access: | rural: 49% of population |
| Sanitation facility access: | total: 48% of population |
| unimproved: | urban: 62% of population |
| unimproved: | rural: 51% of population |
| unimproved: | total: 52% of population (2008) |
| HIV/AIDS - adult prevalence rate: | 6.5% (2009 est.) |
| HIV/AIDS - people living with HIV/AIDS: | 1.2 million (2009 est.) |
| HIV/AIDS - deaths: | 64,000 (2009 est.) |
| Major infectious diseases: | degree of risk: very high |
| Major infectious diseases: | food or waterborne diseases: bacterial diarrhea, hepatitis A, and typhoid fever |
| Major infectious diseases: | vectorborne diseases: malaria, plague, and African trypanosomiasis (sleeping sickness) |
| Major infectious diseases: | water contact disease: schistosomiasis |
| Major infectious diseases: | animal contact disease: rabies (2009) |
| Children under the age of 5 years underweight: | 16.4% (2006) |
| Education expenditures: | 3.2% of GDP (2009) |
| Literacy: | definition: age 15 and over can read and write |
| Literacy: | total population: 66.8% |
| Literacy: | male: 76.8% |
| Literacy: | female: 57.7% (2002 census) |
| School life expectancy (primary to tertiary education): | total: 11 years |
| School life expectancy (primary to tertiary education): | male: 11 years |
| School life expectancy (primary to tertiary education): | female: 11 years (2009) |
