| People and Society | Uganda |
| --- | --- |
| Nationality: | noun: Ugandan(s) |
| Nationality: | adjective: Ugandan |
| Ethnic groups: | Baganda 16.9%, Banyankole 9.5%, Basoga 8.4%, Bakiga 6.9%, Iteso 6.4%, Langi 6.1%, Acholi 4.7%, Bagisu 4.6%, Lugbara 4.2%, Bunyoro 2.7%, other 29.6% (2002 census) |
| Languages: | English (official national language, taught in grade schools, used in courts of law and by most newspapers and some radio broadcasts), Ganda or Luganda (most widely used of the Niger-Congo languages, preferred for native language publications in the capital and may be taught in school), other Niger-Congo languages, Nilo-Saharan languages, Swahili, Arabic |
| Religions: | Roman Catholic 41.9%, Protestant 42% (Anglican 35.9%, Pentecostal 4.6%, Seventh-Day Adventist 1.5%), Muslim 12.1%, other 3.1%, none 0.9% (2002 census) |
| Population: | 34,758,809 (July 2013 est.) |
| Population: | note: estimates for this country explicitly take into account the effects of excess mortality due to AIDS; this can result in lower life expectancy, higher infant mortality, higher death rates, lower population growth rates, and changes in the distribution of population by age and sex than would otherwise be expected |
| Age structure: | 0-14 years: 48.9% (male 8,467,172/female 8,519,723) |
| Age structure: | 15-24 years: 21.2% (male 3,658,564/female 3,707,462) |
| Age structure: | 25-54 years: 25.5% (male 4,431,852/female 4,432,393) |
| Age structure: | 55-64 years: 2.3% (male 383,364/female 427,512) |
| Age structure: | 65 years and over: 2.1% (male 323,508/female 407,259) (2013 est.) |
| population pyramid: | Dependency ratios: |
| population pyramid: | total dependency ratio: 103.3 % |
| population pyramid: | youth dependency ratio: 98.4 % |
| population pyramid: | elderly dependency ratio: 4.9 % |
| population pyramid: | potential support ratio: 20.3 (2013) |
| Median age: | total: 15.5 years |
| Median age: | male: 15.4 years |
| Median age: | female: 15.5 years (2013 est.) |
| Population growth rate: | 3.32% (2013 est.) |
| Birth rate: | 44.5 births/1,000 population (2013 est.) |
| Death rate: | 11.26 deaths/1,000 population (2013 est.) |
| Net migration rate: | -0.01 migrant(s)/1,000 population (2013 est.) |
| Urbanization: | urban population: 15.6% of total population (2011) |
| Urbanization: | rate of urbanization: 5.74% annual rate of change (2010-15 est.) |
| Major urban areas - population: | KAMPALA (capital) 1.535 million (2009) |
| Sex ratio: | at birth: 1.03 male(s)/female |
| Sex ratio: | 0-14 years: 0.99 male(s)/female |
| Sex ratio: | 15-24 years: 0.99 male(s)/female |
| Sex ratio: | 25-54 years: 1 male(s)/female |
| Sex ratio: | 55-64 years: 0.89 male(s)/female |
| Sex ratio: | 65 years and over: 0.8 male(s)/female |
| Sex ratio: | total population: 0.99 male(s)/female (2013 est.) |
| Mother's mean age at first birth: | 18.9 |
| Mother's mean age at first birth: | note: Median age at first birth among women 25-29 (2011 est.) |
| Maternal mortality rate: | 310 deaths/100,000 live births (2010) |
| Infant mortality rate: | total: 62.47 deaths/1,000 live births |
| Infant mortality rate: | male: 72 deaths/1,000 live births |
| Infant mortality rate: | female: 52.66 deaths/1,000 live births (2013 est.) |
| Life expectancy at birth: | total population: 53.98 years |
| Life expectancy at birth: | male: 52.65 years |
| Life expectancy at birth: | female: 55.35 years (2013 est.) |
| Total fertility rate: | 6.06 children born/woman (2013 est.) |
| Contraceptive prevalence rate: | 30% (2011) |
| Health expenditures: | 9.5% of GDP (2011) |
| Physicians density: | 0.12 physicians/1,000 population (2005) |
| Hospital bed density: | 0.5 beds/1,000 population (2010) |
| Drinking water source: | improved: |
| Drinking water source: | urban: 95% of population |
| Drinking water source: | rural: 68% of population |
| Drinking water source: | total: 72% of population |
| unimproved: | urban: 5% of population |
| unimproved: | rural: 32% of population |
| unimproved: | total: 28% of population (2010 est.) |
| Sanitation facility access: | improved: |
| Sanitation facility access: | urban: 34% of population |
| Sanitation facility access: | rural: 34% of population |
| Sanitation facility access: | total: 34% of population |
| unimproved: | urban: 66% of population |
| unimproved: | rural: 66% of population |
| unimproved: | total: 66% of population (2010 est.) |
| HIV/AIDS - adult prevalence rate: | 6.5% (2009 est.) |
| HIV/AIDS - people living with HIV/AIDS: | 1.2 million (2009 est.) |
| HIV/AIDS - deaths: | 64,000 (2009 est.) |
| Major infectious diseases: | degree of risk: very high |
| Major infectious diseases: | food or waterborne diseases: bacterial diarrhea, hepatitis A and E, and typhoid fever |
| Major infectious diseases: | vectorborne diseases: malaria, dengue fever, and trypanosomiasis-Gambiense (African sleeping sickness) |
| Major infectious diseases: | water contact disease: schistosomiasis |
| Major infectious diseases: | animal contact disease: rabies (2013) |
| Obesity - adult prevalence rate: | 4.3% (2008) |
| Children under the age of 5 years underweight: | 16.4% (2006) |
| Education expenditures: | 3.3% of GDP (2012) |
| Literacy: | definition: age 15 and over can read and write |
| Literacy: | total population: 73.2% |
| Literacy: | male: 82.6% |
| Literacy: | female: 64.6% (2010 est.) |
| School life expectancy (primary to tertiary education): | total: 11 years |
| School life expectancy (primary to tertiary education): | male: 11 years |
| School life expectancy (primary to tertiary education): | female: 11 years (2009) |
| Child labor - children ages 5-14: | total number: 117,266 |
| Child labor - children ages 5-14: | percentage: 25 % |
| Child labor - children ages 5-14: | note: data represents children ages 5-17 working in the (2010 est.) |
| Unemployment, youth ages 15-24: | total: 5.4% (2009) |
