| People and Society | Uganda |
| --- | --- |
| Population: | 43,252,966 (July 2020 est.) |
| Population: | note: estimates for this country explicitly take into account the effects of excess mortality due to AIDS; this can result in lower life expectancy, higher infant mortality, higher death rates, lower population growth rates, and changes in the distribution of population by age and sex than would otherwise be expected |
| Nationality: | noun: Ugandan(s) |
| Nationality: | adjective: Ugandan |
| Ethnic groups: | Baganda 16.5%, Banyankole 9.6%, Basoga 8.8%, Bakiga 7.1%, Iteso 7%, Langi 6.3%, Bagisu 4.9%, Acholi 4.4%, Lugbara 3.3%, other 32.1% (2014 est.) |
| Languages: | English (official language, taught in schools, used in courts of law and by most newspapers and some radio broadcasts), Ganda or Luganda (most widely used of the Niger-Congo languages and the language used most often in the capital), other Niger-Congo languages, Nilo-Saharan languages, Swahili (official), Arabic |
| Religions: | Protestant 45.1% (Anglican 32.0%, Pentecostal/Born Again/Evangelical 11.1%, Seventh Day Adventist 1.7%, Baptist .3%), Roman Catholic 39.3%, Muslim 13.7%, other 1.6%, none 0.2% (2014 est.) |
| Demographic profile: | Uganda has one of the youngest and most rapidly growing populations in the world; its total fertility rate is among the worldâ€™s highest at 5.8 children per woman. Except in urban areas, actual fertility exceeds womenâ€™s desired fertility by one or two children, which is indicative of the widespread unmet need for contraception, lack of government support for family planning, and a cultural preference for large families. High numbers of births, short birth intervals, and the early age of childbearing contribute to Ugandaâ€™s high maternal mortality rate. Gender inequities also make fertility reduction difficult; women on average are less-educated, participate less in paid employment, and often have little say in decisions over childbearing and their own reproductive health. However, even if the birth rate were significantly reduced, Ugandaâ€™s large pool of women entering reproductive age ensures rapid population growth for decades to come. |
| Demographic profile: | Unchecked, population increase will further strain the availability of arable land and natural resources and overwhelm the countryâ€™s limited means for providing food, employment, education, health care, housing, and basic services. The countryâ€™s north and northeast lag even further behind developmentally than the rest of the country as a result of long-term conflict (the Ugandan Bush War 1981-1986 and more than 20 years of fighting between the Lordâ€™s Resistance Army (LRA) and Ugandan Government forces), ongoing inter-communal violence, and periodic natural disasters. |
