| People and Society | PHILIPPINES |
| --- | --- |
| Population: | 102,624,209 (July 2016 est.) |
| Nationality: | noun: Filipino(s) |
| Nationality: | adjective: Philippine |
| Ethnic groups: | Tagalog 28.1%, Cebuano 13.1%, Ilocano 9%, Bisaya/Binisaya 7.6%, Hiligaynon Ilonggo 7.5%, Bikol 6%, Waray 3.4%, other 25.3% (2000 census) |
| Languages: | Filipino (official; based on Tagalog) and English (official); eight major dialects - Tagalog, Cebuano, Ilocano, Hiligaynon or Ilonggo, Bicol, Waray, Pampango, and Pangasinan |
| Religions: | Catholic 82.9% (Roman Catholic 80.9%, Aglipayan 2%), Muslim 5%, Evangelical 2.8%, Iglesia ni Kristo 2.3%, other Christian 4.5%, other 1.8%, unspecified 0.6%, none 0.1% (2000 census) |
| Age structure: | 0-14 years: 33.71% (male 17,652,419/female 16,943,261) |
| Age structure: | 15-24 years: 19.17% (male 10,042,520/female 9,629,762) |
| Age structure: | 25-54 years: 36.86% (male 19,204,977/female 18,618,333) |
| Age structure: | 55-64 years: 5.89% (male 2,758,867/female 3,282,416) |
| Age structure: | 65 years and over: 4.38% (male 1,863,339/female 2,628,315) (2016 est.) |
| Dependency ratios: | total dependency ratio: 57.6% |
| Dependency ratios: | youth dependency ratio: 50.3% |
| Dependency ratios: | elderly dependency ratio: 7.2% |
| Dependency ratios: | potential support ratio: 13.9% (2015 est.) |
| Median age: | total: 23.4 years |
| Median age: | male: 22.9 years |
| Median age: | female: 23.8 years (2016 est.) |
| Population growth rate: | 1.59% (2016 est.) |
| Birth rate: | 24 births/1,000 population (2016 est.) |
| Death rate: | 6.1 deaths/1,000 population (2016 est.) |
| Net migration rate: | -2 migrant(s)/1,000 population (2016 est.) |
| Urbanization: | urban population: 44.4% of total population (2015) |
| Urbanization: | rate of urbanization: 1.32% annual rate of change (2010-15 est.) |
| Major urban areas - population: | MANILA (capital) 12.946 million; Davao 1.63 million; Cebu City 951,000; Zamboanga 936,000 (2015) |
| Sex ratio: | at birth: 1.05 male(s)/female |
| Sex ratio: | 0-14 years: 1.04 male(s)/female |
| Sex ratio: | 15-24 years: 1.04 male(s)/female |
| Sex ratio: | 25-54 years: 1.03 male(s)/female |
| Sex ratio: | 55-64 years: 0.84 male(s)/female |
| Sex ratio: | 65 years and over: 0.72 male(s)/female |
| Sex ratio: | total population: 1.01 male(s)/female (2016 est.) |
| Mother's mean age at first birth: | 23 |
| Mother's mean age at first birth: | note: median age at first birth among women 25-29 (2013 est.) |
| Maternal mortality rate: | 114 deaths/100,000 live births (2015 est.) |
| Infant mortality rate: | total: 21.9 deaths/1,000 live births |
| Infant mortality rate: | male: 24.8 deaths/1,000 live births |
| Infant mortality rate: | female: 18.8 deaths/1,000 live births (2016 est.) |
| Life expectancy at birth: | total population: 69.2 years |
| Life expectancy at birth: | male: 65.7 years |
| Life expectancy at birth: | female: 72.9 years (2016 est.) |
| Total fertility rate: | 3.06 children born/woman (2016 est.) |
| Contraceptive prevalence rate: | 48.9% (2011) |
| Health expenditures: | 4.7% of GDP (2014) |
| Hospital bed density: | 1 beds/1,000 population (2011) |
| Drinking water source: | improved: |
| Drinking water source: | urban: 93.7% of population |
| Drinking water source: | rural: 90.3% of population |
| Drinking water source: | total: 91.8% of population |
| unimproved: | urban: 6.3% of population |
| unimproved: | rural: 9.7% of population |
| unimproved: | total: 8.2% of population (2015 est.) |
| Sanitation facility access: | improved: |
| Sanitation facility access: | urban: 77.9% of population |
| Sanitation facility access: | rural: 70.8% of population |
| Sanitation facility access: | total: 73.9% of population |
| unimproved: | urban: 22.1% of population |
| unimproved: | rural: 29.2% of population |
| unimproved: | total: 26.1% of population (2015 est.) |
| HIV/AIDS - adult prevalence rate: | 0.08% (2015 est.) |
| HIV/AIDS - people living with HIV/AIDS: | 42,500 (2015 est.) |
| HIV/AIDS - deaths: | 600 (2015 est.) |
| Major infectious diseases: | degree of risk: high |
| Major infectious diseases: | food or waterborne diseases: bacterial diarrhea, hepatitis A, and typhoid fever |
| Major infectious diseases: | vectorborne diseases: dengue fever and malaria |
| Major infectious diseases: | water contact disease: leptospirosis (2016) |
| Obesity - adult prevalence rate: | 4.7% (2014) |
| Children under the age of 5 years underweight: | 19.9% (2014) |
| Education expenditures: | 2.7% of GDP (2009) |
| Literacy: | definition: age 15 and over can read and write |
| Literacy: | total population: 96.3% |
| Literacy: | male: 95.8% |
| Literacy: | female: 96.8% (2015 est.) |
| School life expectancy (primary to tertiary education): | total: 13 years |
| School life expectancy (primary to tertiary education): | male: 12 years |
| School life expectancy (primary to tertiary education): | female: 13 years (2013) |
| Unemployment, youth ages 15-24: | total: 16.2% |
| Unemployment, youth ages 15-24: | male: 15.1% |
| Unemployment, youth ages 15-24: | female: 17.8% (2013 est.) |
