| People and Society | Djibouti |
| --- | --- |
| Nationality: | noun: Djiboutian(s) |
| Nationality: | adjective: Djiboutian |
| Ethnic groups: | Somali 60%, Afar 35%, other 5% (includes French, Arab, Ethiopian, and Italian) |
| Languages: | French (official), Arabic (official), Somali, Afar |
| Religions: | Muslim 94%, Christian 6% |
| Population: | 757,074 (July 2011 est.) |
| Age structure: | 0-14 years: 35% (male 132,592/female 132,114) |
| Age structure: | 15-64 years: 61.7% (male 206,323/female 260,772) |
| Age structure: | 65 years and over: 3.3% (male 11,349/female 13,924) (2011 est.) |
| Median age: | total: 21.8 years |
| Median age: | male: 20.2 years |
| Median age: | female: 23.1 years (2011 est.) |
| Population growth rate: | 2.237% (2011 est.) |
| Birth rate: | 25.27 births/1,000 population (2011 est.) |
| Death rate: | 8.23 deaths/1,000 population (July 2011 est.) |
| Net migration rate: | 5.33 migrant(s)/1,000 population (2011 est.) |
| Urbanization: | urban population: 76% of total population (2010) |
| Urbanization: | rate of urbanization: 1.8% annual rate of change (2010-15 est.) |
| Major cities - population: | DJIBOUTI (capital) 567,000 (2009) |
| Sex ratio: | at birth: 1.03 male(s)/female |
| Sex ratio: | under 15 years: 1 male(s)/female |
| Sex ratio: | 15-64 years: 0.8 male(s)/female |
| Sex ratio: | 65 years and over: 0.81 male(s)/female |
| Sex ratio: | total population: 0.86 male(s)/female (2011 est.) |
| Maternal mortality rate: | 300 deaths/100,000 live births (2008) |
| Infant mortality rate: | total: 54.94 deaths/1,000 live births |
| Infant mortality rate: | male: 62.63 deaths/1,000 live births |
| Infant mortality rate: | female: 47.02 deaths/1,000 live births (2011 est.) |
| Life expectancy at birth: | total population: 61.14 years |
| Life expectancy at birth: | male: 58.69 years |
| Life expectancy at birth: | female: 63.66 years (2011 est.) |
| Total fertility rate: | 2.71 children born/woman (2011 est.) |
| Health expenditures: | 6.4% of GDP (2009) |
| Physicians density: | 0.229 physicians/1,000 population (2006) |
| Drinking water source: | improved: |
| Drinking water source: | urban: 98% of population |
| Drinking water source: | rural: 52% of population |
| Drinking water source: | total: 92% of population |
| unimproved: | urban: 2% of population |
| unimproved: | rural: 48% of population |
| unimproved: | total: 8% of population (2008) |
| Sanitation facility access: | improved: |
| Sanitation facility access: | urban: 63% of population |
| Sanitation facility access: | rural: 10% of population |
| Sanitation facility access: | total: 56% of population |
| unimproved: | urban: 37% of population |
| unimproved: | rural: 90% of population |
| unimproved: | total: 44% of population (2008) |
| HIV/AIDS - adult prevalence rate: | 2.5% (2009 est.) |
| HIV/AIDS - people living with HIV/AIDS: | 14,000 (2009 est.) |
| HIV/AIDS - deaths: | 1,000 (2009 est.) |
| Major infectious diseases: | degree of risk: high |
| Major infectious diseases: | food or waterborne diseases: bacterial and protozoal diarrhea, hepatitis A and E, and typhoid fever |
| Major infectious diseases: | vectorborne disease: malaria |
| Major infectious diseases: | note: highly pathogenic H5N1 avian influenza has been identified in this country; it poses a negligible risk with extremely rare cases possible among US citizens who have close contact with birds (2009) |
| Children under the age of 5 years underweight: | 29.6% (2006) |
| Education expenditures: | 8.4% of GDP (2007) |
| Literacy: | definition: age 15 and over can read and write |
| Literacy: | total population: 67.9% |
| Literacy: | male: 78% |
| Literacy: | female: 58.4% (2003 est.) |
| School life expectancy (primary to tertiary education): | total: 5 years |
| School life expectancy (primary to tertiary education): | male: 6 years |
| School life expectancy (primary to tertiary education): | female: 5 years (2009) |
