| People and Society | Djibouti |
| --- | --- |
| Population: | 884,017 (July 2018 est.) |
| Nationality: | noun: Djiboutian(s) |
| Nationality: | adjective: Djiboutian |
| Ethnic groups: | Somali 60%, Afar 35%, other 5% (includes French, Arab, Ethiopian, and Italian) |
| Languages: | French (official), Arabic (official), Somali, Afar |
| Religions: | Muslim 94%, Christian 6% |
| Demographic profile: | Djibouti is a poor, predominantly urban country, characterized by high rates of illiteracy, unemployment, and childhood malnutrition. More than 75% of the population lives in cities and towns (predominantly in the capital, Djibouti). The rural population subsists primarily on nomadic herding. Prone to droughts and floods, the country has few natural resources and must import more than 80% of its food from neighboring countries or Europe. Health care, particularly outside the capital, is limited by poor infrastructure, shortages of equipment and supplies, and a lack of qualified personnel. More than a third of health care recipients are migrants because the services are still better than those available in their neighboring home countries. The nearly universal practice of female genital cutting reflects Djiboutiâ€™s lack of gender equality and is a major contributor to obstetrical complications and its high rates of maternal and infant mortality. A 1995 law prohibiting the practice has never been enforced. |
| Demographic profile: | Because of its political stability and its strategic location at the confluence of East Africa and the Gulf States along the Gulf of Aden and the Red Sea, Djibouti is a key transit point for migrants and asylum seekers heading for the Gulf States and beyond. Each year some hundred thousand people, mainly Ethiopians and some Somalis, journey through Djibouti, usually to the port of Obock, to attempt a dangerous sea crossing to Yemen. However, with the escalation of the ongoing Yemen conflict, Yemenis began fleeing to Djibouti in March 2015, with almost 20,000 arriving by August 2017. Most Yemenis remain unregistered and head for Djibouti City rather than seeking asylum at one of Djiboutiâ€™s three spartan refugee camps. Djibouti has been hosting refugees and asylum seekers, predominantly Somalis and lesser numbers of Ethiopians and Eritreans, at camps for 20 years, despite lacking potable water, food shortages, and unemployment. |
| Age structure: | 0-14 years: 30.71% (male 136,191 /female 135,263) |
| Age structure: | 15-24 years: 21.01% (male 87,520 /female 98,239) |
| Age structure: | 25-54 years: 39.63% (male 145,427 /female 204,927) |
| Age structure: | 55-64 years: 4.82% (male 18,967 /female 23,639) |
| Age structure: | 65 years and over: 3.83% (male 15,136 /female 18,708) (2018 est.) |
| Dependency ratios: | total dependency ratio: 56.5 (2015 est.) |
| Dependency ratios: | youth dependency ratio: 50.1 (2015 est.) |
| Dependency ratios: | elderly dependency ratio: 6.4 (2015 est.) |
| Dependency ratios: | potential support ratio: 15.6 (2015 est.) |
| Median age: | total: 24.2 years |
| Median age: | male: 22.4 years |
| Median age: | female: 25.7 years (2018 est.) |
| Population growth rate: | 2.13% (2018 est.) |
