| People and Society | Nepal |
| --- | --- |
| Nationality: | noun: Nepali (singular and plural) |
| Nationality: | adjective: Nepali |
| Ethnic groups: | Chhettri 15.5%, Brahman-Hill 12.5%, Magar 7%, Tharu 6.6%, Tamang 5.5%, Newar 5.4%, Muslim 4.2%, Kami 3.9%, Yadav 3.9%, other 32.7%, unspecified 2.8% (2001 census) |
| Languages: | Nepali (official) 47.8%, Maithali 12.1%, Bhojpuri 7.4%, Tharu (Dagaura/Rana) 5.8%, Tamang 5.1%, Newar 3.6%, Magar 3.3%, Awadhi 2.4%, other 10%, unspecified 2.5% (2001 census) |
| Languages: | note: many in government and business also speak English (2001 est.) |
| Religions: | Hindu 80.6%, Buddhist 10.7%, Muslim 4.2%, Kirant 3.6%, other 0.9% (2001 census) |
| Population: | 29,391,883 (July 2011 est.) |
| Age structure: | 0-14 years: 34.6% (male 5,177,264/female 4,983,864) |
| Age structure: | 15-64 years: 61.1% (male 8,607,338/female 9,344,537) |
| Age structure: | 65 years and over: 4.4% (male 597,628/female 681,252) (2011 est.) |
| Median age: | total: 21.6 years |
| Median age: | male: 20.7 years |
| Median age: | female: 22.5 years (2011 est.) |
| Population growth rate: | 1.596% (2011 est.) |
| Birth rate: | 22.17 births/1,000 population (2011 est.) |
| Death rate: | 6.81 deaths/1,000 population (July 2011 est.) |
| Net migration rate: | 0.61 migrant(s)/1,000 population (2011 est.) |
| Urbanization: | urban population: 19% of total population (2010) |
| Urbanization: | rate of urbanization: 4.7% annual rate of change (2010-15 est.) |
| Major cities - population: | KATHMANDU (capital) 990,000 (2009) |
| Sex ratio: | at birth: 1.04 male(s)/female |
| Sex ratio: | under 15 years: 1.04 male(s)/female |
| Sex ratio: | 15-64 years: 0.92 male(s)/female |
| Sex ratio: | 65 years and over: 0.88 male(s)/female |
| Sex ratio: | total population: 0.96 male(s)/female (2011 est.) |
| Maternal mortality rate: | 380 deaths/100,000 live births (2008) |
| Infant mortality rate: | total: 44.54 deaths/1,000 live births |
| Infant mortality rate: | male: 44.54 deaths/1,000 live births |
| Infant mortality rate: | female: 44.55 deaths/1,000 live births (2011 est.) |
| Life expectancy at birth: | total population: 66.16 years |
| Life expectancy at birth: | male: 64.94 years |
| Life expectancy at birth: | female: 67.44 years (2011 est.) |
| Total fertility rate: | 2.47 children born/woman (2011 est.) |
| Health expenditures: | 5.8% of GDP (2009) |
| Physicians density: | 0.21 physicians/1,000 population (2004) |
| Hospital bed density: | 5 beds/1,000 population (2006) |
| Drinking water source: | improved: |
| Drinking water source: | urban: 93% of population |
| Drinking water source: | rural: 87% of population |
| Drinking water source: | total: 88% of population |
| unimproved: | urban: 7% of population |
| unimproved: | rural: 13% of population |
| unimproved: | total: 12% of population (2008) |
| Sanitation facility access: | improved: |
| Sanitation facility access: | urban: 51% of population |
| Sanitation facility access: | rural: 27% of population |
| Sanitation facility access: | total: 31% of population |
| unimproved: | urban: 49% of population |
| unimproved: | rural: 73% of population |
| unimproved: | total: 69% of population (2008) |
| HIV/AIDS - adult prevalence rate: | 0.4% (2009 est.) |
| HIV/AIDS - people living with HIV/AIDS: | 64,000 (2009 est.) |
| HIV/AIDS - deaths: | 4,700 (2009 est.) |
| Major infectious diseases: | degree of risk: high |
| Major infectious diseases: | food or waterborne diseases: bacterial diarrhea, hepatitis A, and typhoid fever |
| Major infectious diseases: | vectorborne disease: Japanese encephalitis, malaria, and dengue fever (2009) |
| Children under the age of 5 years underweight: | 38.8% (2006) |
| Education expenditures: | 4.6% of GDP (2009) |
| Literacy: | definition: age 15 and over can read and write |
| Literacy: | total population: 48.6% |
| Literacy: | male: 62.7% |
| Literacy: | female: 34.9% (2001 census) |
| School life expectancy (primary to tertiary education): | total: 9 years |
| School life expectancy (primary to tertiary education): | male: 10 years |
| School life expectancy (primary to tertiary education): | female: 8 years (2003) |
