| People and Society | Cyprus |
| --- | --- |
| Nationality: | noun: Cypriot(s) |
| Nationality: | adjective: Cypriot |
| Ethnic groups: | Greek 77%, Turkish 18%, other 5% (2001) |
| Languages: | Greek (official), Turkish (official), English |
| Religions: | Greek Orthodox 78%, Muslim 18%, other (includes Maronite and Armenian Apostolic) 4% |
| Population: | 1,155,403 (July 2013 est.) |
| Age structure: | 0-14 years: 15.8% (male 93,644/female 88,392) |
| Age structure: | 15-24 years: 15.8% (male 99,041/female 83,160) |
| Age structure: | 25-54 years: 46.9% (male 283,599/female 258,130) |
| Age structure: | 55-64 years: 10.6% (male 58,569/female 64,243) |
| Age structure: | 65 years and over: 11% (male 55,036/female 71,589) (2013 est.) |
| population pyramid: | Dependency ratios: |
| population pyramid: | total dependency ratio: 41.3 % |
| population pyramid: | youth dependency ratio: 24 % |
| population pyramid: | elderly dependency ratio: 17.3 % |
| population pyramid: | potential support ratio: 5.8 (2013) |
| Median age: | total: 35.4 years |
| Median age: | male: 34 years |
| Median age: | female: 37.1 years (2013 est.) |
| Population growth rate: | 1.52% (2013 est.) |
| Birth rate: | 11.45 births/1,000 population (2013 est.) |
| Death rate: | 6.52 deaths/1,000 population (2013 est.) |
| Net migration rate: | 10.31 migrant(s)/1,000 population (2013 est.) |
| Urbanization: | urban population: 70.5% of total population (2011) |
| Urbanization: | rate of urbanization: 1.36% annual rate of change (2010-15 est.) |
| Major urban areas - population: | NICOSIA (capital) 253,000 (2011) |
| Sex ratio: | at birth: 1.05 male(s)/female |
| Sex ratio: | 0-14 years: 1.06 male(s)/female |
| Sex ratio: | 15-24 years: 1.19 male(s)/female |
| Sex ratio: | 25-54 years: 1.09 male(s)/female |
| Sex ratio: | 55-64 years: 0.91 male(s)/female |
| Sex ratio: | 65 years and over: 0.77 male(s)/female |
| Sex ratio: | total population: 1.04 male(s)/female (2013 est.) |
| Mother's mean age at first birth: | 27.5 (2005 est.) |
| Maternal mortality rate: | 10 deaths/100,000 live births (2010) |
| Infant mortality rate: | total: 8.82 deaths/1,000 live births |
| Infant mortality rate: | male: 10.39 deaths/1,000 live births |
| Infant mortality rate: | female: 7.17 deaths/1,000 live births (2013 est.) |
| Life expectancy at birth: | total population: 78.17 years |
| Life expectancy at birth: | male: 75.38 years |
| Life expectancy at birth: | female: 81.09 years (2013 est.) |
| Total fertility rate: | 1.46 children born/woman (2013 est.) |
| Health expenditures: | 7.4% of GDP (2011) |
| Physicians density: | 2.75 physicians/1,000 population (2010) |
| Hospital bed density: | 3.5 beds/1,000 population (2010) |
| Drinking water source: | improved: |
| Drinking water source: | urban: 100% of population |
| Drinking water source: | rural: 100% of population |
| Drinking water source: | total: 100% of population (2010 est.) |
| Sanitation facility access: | improved: |
| Sanitation facility access: | urban: 100% of population |
| Sanitation facility access: | rural: 100% of population |
| Sanitation facility access: | total: 100% of population (2010 est.) |
| HIV/AIDS - adult prevalence rate: | 0.1% (2003 est.) |
| HIV/AIDS - people living with HIV/AIDS: | fewer than 1,000 (2007 est.) |
| HIV/AIDS - deaths: | NA |
| Obesity - adult prevalence rate: | 25.5% (2008) |
| Education expenditures: | 7.9% of GDP (2009) |
| Literacy: | definition: age 15 and over can read and write |
| Literacy: | total population: 98.7% |
| Literacy: | male: 99.3% |
| Literacy: | female: 98.1% (2011 est.) |
| School life expectancy (primary to tertiary education): | total: 14 years |
| School life expectancy (primary to tertiary education): | male: 14 years |
| School life expectancy (primary to tertiary education): | female: 14 years (2010) |
| Unemployment, youth ages 15-24: | total: 22.3% |
| Unemployment, youth ages 15-24: | male: 23.1% |
| Unemployment, youth ages 15-24: | female: 21.5% (2011) |
