| People and Society | CYPRUS |
| --- | --- |
| Population: | 1,205,575 (July 2016 est.) |
| Nationality: | noun: Cypriot(s) |
| Nationality: | adjective: Cypriot |
| Ethnic groups: | Greek 98.8%, other 1% (includes Maronite, Armenian, Turkish-Cypriot), unspecified 0.2% |
| Ethnic groups: | note: data represent only the government-controlled area of Cyprus (2011 est.) |
| Languages: | Greek (official) 80.9%, Turkish (official) 0.2%, English 4.1%, Romanian 2.9%, Russian 2.5%, Bulgarian 2.2%, Arabic 1.2%, Filipino 1.1%, other 4.3%, unspecified 0.6% |
| Languages: | note: data represent only the government-controlled area of Cyprus (2011 est.) |
| Religions: | Orthodox Christian 89.1%, Roman Catholic 2.9%, Protestant/Anglican 2%, Muslim 1.8%, Buddhist 1%, other (includes Maronite, Armenian Church, Hindu) 1.4%, unknown 1.1%, none/atheist 0.6% |
| Religions: | note: data represent only the government-controlled area of Cyprus (2011 est.) |
| Age structure: | 0-14 years: 15.58% (male 96,582/female 91,296) |
| Age structure: | 15-24 years: 14.37% (male 94,262/female 78,982) |
| Age structure: | 25-54 years: 46.99% (male 298,368/female 268,080) |
| Age structure: | 55-64 years: 11.26% (male 65,005/female 70,752) |
| Age structure: | 65 years and over: 11.8% (male 61,581/female 80,667) (2016 est.) |
| Dependency ratios: | total dependency ratio: 41.6% |
| Dependency ratios: | youth dependency ratio: 23.4% |
| Dependency ratios: | elderly dependency ratio: 18.2% |
| Dependency ratios: | potential support ratio: 5.5% (2015 est.) |
| Median age: | total: 36.4 years |
| Median age: | male: 35.1 years |
| Median age: | female: 38 years (2016 est.) |
| Population growth rate: | 1.38% (2016 est.) |
| Birth rate: | 11.4 births/1,000 population (2016 est.) |
| Death rate: | 6.7 deaths/1,000 population (2016 est.) |
| Net migration rate: | 9.1 migrant(s)/1,000 population (2016 est.) |
| Population distribution: | population concentrated in central Nicosia and in the major cities of the south: Paphos, Limassol, and Larnaca |
| Urbanization: | urban population: 66.9% of total population (2015) |
| Urbanization: | rate of urbanization: 0.89% annual rate of change (2010-15 est.) |
| Major urban areas - population: | NICOSIA (capital) 251,000 (2014) |
| Sex ratio: | at birth: 1.05 male(s)/female |
| Sex ratio: | 0-14 years: 1.06 male(s)/female |
| Sex ratio: | 15-24 years: 1.19 male(s)/female |
| Sex ratio: | 25-54 years: 1.11 male(s)/female |
| Sex ratio: | 55-64 years: 0.92 male(s)/female |
| Sex ratio: | 65 years and over: 0.77 male(s)/female |
| Sex ratio: | total population: 1.04 male(s)/female (2016 est.) |
| Mother's mean age at first birth: | 28.5 |
| Mother's mean age at first birth: | note: data represent only government-controlled areas (2010 est.) |
| Maternal mortality rate: | 7 deaths/100,000 live births (2015 est.) |
| Infant mortality rate: | total: 8.1 deaths/1,000 live births |
| Infant mortality rate: | male: 9.6 deaths/1,000 live births |
| Infant mortality rate: | female: 6.6 deaths/1,000 live births (2016 est.) |
| Life expectancy at birth: | total population: 78.7 years |
| Life expectancy at birth: | male: 75.8 years |
| Life expectancy at birth: | female: 81.6 years (2016 est.) |
| Total fertility rate: | 1.47 children born/woman (2016 est.) |
| Health expenditures: | 7.4% of GDP (2014) |
| Physicians density: | 2.33 physicians/1,000 population (2012) |
| Hospital bed density: | 3.5 beds/1,000 population (2011) |
| Drinking water source: | improved: |
| Drinking water source: | urban: 100% of population |
| Drinking water source: | rural: 100% of population |
| Drinking water source: | total: 100% of population |
| unimproved: | urban: 0% of population |
| unimproved: | rural: 0% of population |
| unimproved: | total: 0% of population (2015 est.) |
| Sanitation facility access: | improved: |
| Sanitation facility access: | urban: 100% of population |
| Sanitation facility access: | rural: 100% of population |
| Sanitation facility access: | total: 100% of population |
| unimproved: | urban: 0% of population |
| unimproved: | rural: 0% of population |
| unimproved: | total: 0% of population (2015 est.) |
| HIV/AIDS - adult prevalence rate: | 0.06% (2013 est.) |
| HIV/AIDS - people living with HIV/AIDS: | 400 (2013 est.) |
| HIV/AIDS - deaths: | fewer than 100 (2013 est.) |
| Obesity - adult prevalence rate: | 24.5% (2014) |
| Education expenditures: | 6.6% of GDP (2011) |
| Literacy: | definition: age 15 and over can read and write |
| Literacy: | total population: 99.1% |
| Literacy: | male: 99.5% |
| Literacy: | female: 98.7% (2015 est.) |
| School life expectancy (primary to tertiary education): | total: 14 years |
| School life expectancy (primary to tertiary education): | male: 14 years |
| School life expectancy (primary to tertiary education): | female: 15 years (2014) |
| Unemployment, youth ages 15-24: | total: 35.9% |
| Unemployment, youth ages 15-24: | male: 37.4% |
| Unemployment, youth ages 15-24: | female: 34.6% (2014 est.) |
| People - note: | demographic data for Cyprus represent the population of the government-controlled area and the area administered by Turkish Cypriots, unless otherwise indicated |
